,time,Open,High,Low,Close,Volume
0,1620172800000,69.351,100.0,67.8,93.962,31912894.455
1,1620259200000,93.962,179.83,86.627,133.864,48009367.357
2,1620345600000,133.864,145.001,108.391,119.763,31679192.763
3,1620432000000,119.763,135.091,110.0,127.317,17054054.754
4,1620518400000,127.359,129.89,112.0,117.904,10108492.295
5,1620604800000,117.906,129.498,90.0,105.094,15157838.41
6,1620691200000,105.094,117.624,102.142,111.173,8188203.768
7,1620777600000,111.193,114.5,81.0,84.996,8464236.861
8,1620864000000,84.988,94.881,76.142,88.383,11544054.609
9,1620950400000,88.383,109.991,86.447,103.313,10660255.313
10,1621036800000,103.333,114.49,94.666,95.088,9031708.919
11,1621123200000,95.087,103.275,86.918,93.859,6055479.999
12,1621209600000,93.874,94.448,80.66,89.677,5962799.722
13,1621296000000,89.702,95.668,85.936,88.577,4919002.738
14,1621382400000,88.575,90.246,40.0,59.436,16187315.123
15,1621468800000,59.406,80.0,54.436,73.744,10361553.972
16,1621555200000,73.73,78.23,54.389,64.167,9461101.864
17,1621641600000,64.168,64.824,54.0,58.498,6242128.827
18,1621728000000,58.56,65.0,39.792,51.553,10381524.648
19,1621814400000,51.576,75.0,48.783,73.711,11857043.282
20,1621900800000,73.711,83.0,70.013,78.364,14612363.116
21,1621987200000,78.287,83.491,73.715,79.886,6405391.526
22,1622073600000,79.869,79.886,71.068,74.596,4321373.909
23,1622160000000,74.649,79.0,63.44,68.199,7538571.888
24,1622246400000,68.209,70.9,60.928,64.293,4269878.203
25,1622332800000,64.366,68.295,59.844,66.124,3005671.323
26,1622419200000,66.147,70.689,61.858,70.019,3389571.597
27,1622505600000,70.018,71.841,65.609,67.765,2795735.791
28,1622592000000,67.784,70.4,65.767,68.403,2215354.919
29,1622678400000,68.384,72.7,67.115,69.864,2235215.207
30,1622764800000,69.848,69.902,61.343,64.72,2739548.267
31,1622851200000,64.748,67.397,61.646,63.122,2068513.061
32,1622937600000,63.108,65.679,62.736,64.086,1072093.326
33,1623024000000,64.107,65.16,57.225,58.01,1843327.997
34,1623110400000,58.023,59.221,49.432,56.681,3821990.778
35,1623196800000,56.697,62.95,53.549,62.32,3881056.575
36,1623283200000,62.306,63.56,57.005,57.894,2663144.3
37,1623369600000,57.9,60.84,56.068,56.865,1789292.867
38,1623456000000,56.872,56.989,53.049,55.195,1535637.503
39,1623542400000,55.221,60.714,53.685,58.998,1548532.139
40,1623628800000,58.999,60.98,56.118,59.304,1550963.08
41,1623715200000,59.278,60.2,57.222,58.154,1054504.216
42,1623801600000,58.162,58.374,54.864,55.351,1046955.002
43,1623888000000,55.363,57.253,54.265,55.552,684930.561
44,1623974400000,55.55,55.583,50.479,52.568,1087152.934
45,1624060800000,52.584,53.332,50.828,50.864,636772.238
46,1624147200000,50.871,51.527,46.939,50.956,1347207.022
47,1624233600000,50.949,51.44,38.507,39.461,4022053.682
48,1624320000000,39.452,42.8,32.21,36.545,5759701.293
49,1624406400000,36.536,42.978,34.55,40.763,3758417.658
50,1624492800000,40.769,43.558,38.726,43.151,2251950.724
51,1624579200000,43.156,45.499,38.946,39.35,2722988.803
52,1624665600000,39.348,41.006,37.542,40.555,1635775.452
53,1624752000000,40.54,42.497,39.371,42.307,1187877.02
54,1624838400000,42.319,44.558,41.022,43.351,1485357.287
55,1624924800000,43.355,58.821,43.12,56.829,7683256.758
56,1625011200000,56.767,62.673,51.711,57.551,9679613.927
57,1625097600000,57.549,58.329,52.32,53.076,4310884.157
58,1625184000000,53.06,55.23,50.713,53.737,2628027.534
59,1625270400000,53.764,58.5,52.413,56.877,2989769.6
60,1625356800000,56.862,58.941,55.875,56.363,2222049.604
61,1625443200000,56.348,57.009,52.77,53.683,2235251.319
62,1625529600000,53.683,56.888,53.497,54.649,1722006.961
63,1625616000000,54.651,55.549,52.555,52.813,1820444.204
64,1625702400000,52.8,52.974,48.503,49.471,1984565.947
65,1625788800000,49.465,51.35,46.503,50.084,1687011.174
66,1625875200000,50.082,51.4,48.15,49.135,1091653.289
67,1625961600000,49.135,50.514,48.253,49.704,661077.498
68,1626048000000,49.705,50.725,46.683,47.689,1152999.873
69,1626134400000,47.677,48.218,45.037,45.544,1087865.861
70,1626220800000,45.55,47.81,42.525,45.61,1760965.899
71,1626307200000,45.605,47.179,42.241,43.235,1288093.229
72,1626393600000,43.241,43.883,40.6,41.153,1497021.777
73,1626480000000,41.128,43.359,40.255,41.459,1449014.792
74,1626566400000,41.461,43.3,40.924,41.88,1073560.982
75,1626652800000,41.881,43.927,40.582,41.582,2451647.197
76,1626739200000,41.586,42.096,37.738,39.311,2294950.728
77,1626825600000,39.311,43.79,38.579,42.905,2648148.025
78,1626912000000,42.906,44.221,41.898,43.395,2131353.459
79,1626998400000,43.39,46.788,43.059,45.814,2687167.831
80,1627084800000,45.809,51.57,44.957,49.414,3004137.45
81,1627171200000,49.415,49.81,45.858,48.433,1761072.953
82,1627257600000,48.432,55.936,47.469,48.373,5093945.237
83,1627344000000,48.371,50.365,46.145,49.515,3068115.774
84,1627430400000,49.513,51.099,47.916,49.275,2040898.081
85,1627516800000,49.276,50.016,48.301,49.379,1002001.437
86,1627603200000,49.372,51.513,47.339,50.963,2045842.489
87,1627689600000,50.954,52.396,49.572,51.324,1675291.889
88,1627776000000,51.338,54.069,49.055,50.245,2408954.228
89,1627862400000,50.238,52.29,49.273,51.325,1596362.126
90,1627948800000,51.307,52.222,48.374,49.451,1598482.133
91,1628035200000,49.455,52.24,48.521,51.576,1538891.396
