,time,Open,High,Low,Close,Volume
0,1620172800000,0.000833,0.00086,0.000688,0.0007,20712687202.13
1,1620259200000,0.000699,0.000773,0.000659,0.000721,16505077128.54
2,1620345600000,0.000719,0.000786,0.000677,0.000727,18203800564.31
3,1620432000000,0.000727,0.000756,0.000533,0.000549,32834300879.36
4,1620518400000,0.000548,0.000614,0.000526,0.000547,32636944355.16
5,1620604800000,0.000547,0.00061,0.000461,0.000531,55292255764.88
6,1620691200000,0.000532,0.000588,0.000454,0.000463,26331394610.06
7,1620777600000,0.000462,0.000566,0.000401,0.000545,73233398800.78
8,1620864000000,0.000543,0.000628,0.000477,0.00057,75478833094.81
9,1620950400000,0.00057,0.000577,0.000414,0.000442,50371331004.81
10,1621036800000,0.000443,0.000565,0.000428,0.000561,52056770903.39
11,1621123200000,0.00056,0.00066,0.000493,0.000579,67796442176.69
12,1621209600000,0.000579,0.000764,0.00057,0.000682,91600632715.26
13,1621296000000,0.00068,0.000699,0.000569,0.000646,44234483845.31
14,1621382400000,0.000646,0.002949,0.000106,0.000183,293656230868.11
15,1621468800000,0.000183,0.000229,7.7e-05,9.5e-05,220630903938.54
16,1621555200000,9.5e-05,0.000163,8.2e-05,0.000119,255286862910.5
17,1621641600000,0.000119,0.000157,0.00011,0.000137,182651661218.61
18,1621728000000,0.000137,0.000236,0.000124,0.000144,318570824632.98
19,1621814400000,0.000144,0.000146,7.6e-05,7.8e-05,211826793719.85
20,1621900800000,7.9e-05,9.2e-05,6.9e-05,7.1e-05,203672046916.42
21,1621987200000,7.1e-05,7.5e-05,5.8e-05,6e-05,175626658889.65
22,1622073600000,6.1e-05,7.6e-05,6e-05,6.9e-05,129547974682.84
23,1622160000000,6.9e-05,9.4e-05,6.7e-05,8.9e-05,172965773745.56
24,1622246400000,8.9e-05,0.000105,7.9e-05,9.9e-05,167010305316.76
25,1622332800000,9.9e-05,0.000107,8e-05,8.8e-05,142844989669.67
26,1622419200000,8.9e-05,9.9e-05,6e-05,6e-05,209681854232.15
27,1622505600000,6.1e-05,7.4e-05,5.8e-05,6.6e-05,180401393855.62
28,1622592000000,6.6e-05,7.2e-05,5.5e-05,6.1e-05,157147241629.72
29,1622678400000,6.1e-05,6.3e-05,4.9e-05,5.1e-05,176865591870.51
30,1622764800000,5.2e-05,7e-05,5.1e-05,6.1e-05,212062186241.09
31,1622851200000,6.1e-05,6.9e-05,5.2e-05,6.4e-05,201906867987.62
32,1622937600000,6.5e-05,6.6e-05,5.7e-05,5.9e-05,130467400054.28
33,1623024000000,5.9e-05,6.6e-05,5.2e-05,6.5e-05,193570564263.47
34,1623110400000,6.5e-05,8.3e-05,6.3e-05,7e-05,230872465896.87
35,1623196800000,7e-05,7.7e-05,6.1e-05,6.3e-05,176279880117.1
36,1623283200000,6.2e-05,7.6e-05,6.1e-05,7.3e-05,120691386288.13
37,1623369600000,7.3e-05,8.3e-05,7e-05,8e-05,93394303703.91
38,1623456000000,8e-05,8.8e-05,7.3e-05,7.9e-05,101071011645.27
39,1623542400000,8e-05,8.4e-05,6.5e-05,6.9e-05,101225633240.48
40,1623628800000,6.9e-05,7.2e-05,6e-05,6.3e-05,94967760453.19
41,1623715200000,6.2e-05,6.8e-05,5.8e-05,6.5e-05,110580561721.9
42,1623801600000,6.6e-05,8e-05,6.4e-05,7.9e-05,109094214444.22
43,1623888000000,7.8e-05,8.4e-05,7.1e-05,7.8e-05,87718785826.92
44,1623974400000,7.8e-05,0.0001,7.7e-05,9e-05,118671039516.41
45,1624060800000,9.1e-05,9.8e-05,8.6e-05,9.8e-05,80486499321.63
46,1624147200000,9.7e-05,0.00011,8.3e-05,8.7e-05,123829125802.99
47,1624233600000,8.7e-05,0.000132,8.5e-05,0.000129,189071052602.26
48,1624320000000,0.000129,0.000155,0.000106,0.00012,193809032063.75
49,1624406400000,0.000119,0.000129,9.1e-05,0.0001,118254618441.95
50,1624492800000,0.0001,0.00011,9.2e-05,9.7e-05,65885388111.7
51,1624579200000,9.8e-05,0.00012,9.4e-05,0.000117,102436188669.85
52,1624665600000,0.000118,0.00013,0.000108,0.000109,108473427490.4
53,1624752000000,0.000108,0.000113,8.4e-05,8.4e-05,114228147859.31
54,1624838400000,8.4e-05,8.8e-05,7e-05,7.5e-05,152924461516.07
55,1624924800000,7.5e-05,7.6e-05,6.4e-05,6.8e-05,152514883622.87
56,1625011200000,6.9e-05,7.4e-05,6.1e-05,6.2e-05,173703958552.13
57,1625097600000,6.2e-05,7.4e-05,6.2e-05,7.2e-05,127227924301.12
58,1625184000000,7.2e-05,7.8e-05,6.8e-05,6.9e-05,112817766347.47
59,1625270400000,6.9e-05,7.2e-05,6.4e-05,6.4e-05,83009984359.01
