,time,Open,High,Low,Close,Volume
0,1620172800000,303.407,368.0,287.898,361.368,191442.6
1,1620259200000,361.333,379.0,331.0,352.95,89622.76
2,1620345600000,353.173,371.98,323.104,349.084,65004.46
3,1620432000000,349.834,450.671,343.0,442.555,115576.96
4,1620518400000,442.55,456.0,398.468,441.375,109025.44
5,1620604800000,442.812,502.0,386.389,444.022,153194.24
6,1620691200000,444.023,494.214,407.498,492.704,107099.49
7,1620777600000,491.897,534.533,406.0,428.105,196026.6
8,1620864000000,425.681,463.656,362.262,406.073,210222.43
9,1620950400000,404.992,493.126,398.859,475.4,119911.48
10,1621036800000,475.5,487.4,383.42,386.325,108272.5
11,1621123200000,385.654,433.98,326.4,371.762,130111.83
12,1621209600000,371.794,373.675,282.948,313.294,196748.5
13,1621296000000,313.93,363.374,305.425,327.115,144908.57
14,1621382400000,327.918,340.0,23.0,69.077,4448867.59
15,1621468800000,69.269,91.5,56.0,81.502,905274.95
16,1621555200000,81.171,89.552,47.862,64.25,789432.21
17,1621641600000,64.25,66.9,50.311,55.481,1143041.14
18,1621728000000,55.481,59.388,31.0,42.696,1302014.01
19,1621814400000,42.695,62.706,41.917,61.7,836825.43
20,1621900800000,61.577,65.733,51.004,64.025,740400.6
21,1621987200000,64.024,72.1,61.61,70.844,630364.96
22,1622073600000,70.77,70.98,61.15,65.204,443414.89
23,1622160000000,65.103,66.0,48.59,52.003,559402.5
24,1622246400000,52.003,58.625,44.1,46.552,616510.68
25,1622332800000,46.582,54.279,42.7,50.844,370408.64
26,1622419200000,51.009,63.147,46.574,62.748,529260.17
27,1622505600000,62.727,64.262,53.887,59.064,475711.68
28,1622592000000,59.21,67.249,55.327,62.639,362530.11
29,1622678400000,62.546,71.691,60.524,70.0,377855.13
30,1622764800000,70.0,70.331,55.0,61.671,454976.9
31,1622851200000,61.855,68.0,55.2,58.9,436343.05
32,1622937600000,58.8,64.206,58.24,62.723,288279.33
33,1623024000000,62.615,69.128,56.0,57.122,431868.89
34,1623110400000,57.122,58.67,44.0,53.001,686817.95
35,1623196800000,53.068,58.365,48.62,57.683,582950.27
36,1623283200000,57.769,58.3,49.0,51.134,319531.79
37,1623369600000,51.18,52.423,43.991,45.808,263616.6
38,1623456000000,45.807,51.762,41.188,46.673,383003.48
39,1623542400000,46.636,54.422,44.0,52.638,327625.79
40,1623628800000,52.672,57.3,50.555,55.986,313635.76
41,1623715200000,55.949,58.666,52.774,54.533,269008.17
42,1623801600000,54.46,54.911,46.0,46.945,250290.17
43,1623888000000,46.768,50.63,44.282,46.955,390505.24
44,1623974400000,47.016,47.159,37.559,41.435,435949.11
45,1624060800000,41.361,43.2,38.701,38.732,299804.61
46,1624147200000,38.732,42.9,34.25,41.594,592467.49
47,1624233600000,41.594,42.146,28.63,29.43,1368740.83
48,1624320000000,29.385,32.874,23.465,29.03,1458739.69
49,1624406400000,28.985,35.22,26.921,32.273,619463.95
50,1624492800000,32.306,34.972,29.05,33.194,441847.61
51,1624579200000,33.215,34.35,25.5,26.254,786468.94
52,1624665600000,26.245,27.785,22.951,26.9,656867.28
53,1624752000000,26.9,32.324,26.091,32.237,535979.53
54,1624838400000,32.321,38.2,31.507,36.007,905220.61
55,1624924800000,35.952,41.697,35.62,38.723,737026.07
56,1625011200000,38.722,43.5,35.826,42.944,841846.84
57,1625097600000,43.0,43.169,35.69,37.0,579431.86
58,1625184000000,36.96,38.94,33.655,38.587,615729.17
59,1625270400000,38.586,41.441,37.168,40.959,490102.78
60,1625356800000,40.967,46.581,39.7,44.315,502126.52
61,1625443200000,44.233,44.416,38.581,39.865,622863.12
62,1625529600000,39.955,45.408,39.763,44.426,689289.66
63,1625616000000,44.32,47.716,43.251,44.147,480666.06
64,1625702400000,44.147,44.485,35.6,36.723,702535.64
65,1625788800000,36.674,39.25,34.194,37.794,663515.37
66,1625875200000,37.794,39.438,35.234,36.544,459279.58
67,1625961600000,36.57,38.75,35.45,37.473,266173.77
68,1626048000000,37.464,38.47,32.805,33.658,455018.03
69,1626134400000,33.711,34.054,30.026,30.72,474786.95
70,1626220800000,30.725,32.851,28.4,32.197,696458.65
71,1626307200000,32.101,33.794,28.02,29.227,876820.57
72,1626393600000,29.299,30.9,26.821,27.775,602415.18
73,1626480000000,27.749,29.231,26.627,28.549,490461.98
74,1626566400000,28.475,31.842,27.787,28.275,689449.39
75,1626652800000,28.277,29.167,25.25,25.718,642650.08
76,1626739200000,25.8,26.464,22.4,24.641,1097991.46
77,1626825600000,24.702,32.754,23.582,31.538,1341636.32
78,1626912000000,31.551,33.25,29.919,32.545,985573.49
79,1626998400000,32.543,36.65,31.474,36.351,687153.82
80,1627084800000,36.335,39.234,35.59,38.721,735412.82
81,1627171200000,38.721,39.216,35.6,38.942,566676.71
82,1627257600000,38.982,49.114,38.21,40.363,1300604.82
83,1627344000000,40.327,44.1,37.078,43.165,740192.29
84,1627430400000,43.165,45.128,40.839,43.201,488108.85
85,1627516800000,43.2,47.634,41.824,46.788,204287.78
86,1627603200000,46.788,50.849,43.817,50.279,263264.54
87,1627689600000,50.367,54.779,48.58,53.647,182314.2
88,1627776000000,53.729,61.901,52.674,54.8,284145.95
89,1627862400000,54.8,60.499,52.336,57.344,222941.37
90,1627948800000,57.259,58.673,49.111,52.192,237152.82
91,1628035200000,52.192,65.714,49.889,63.256,293843.48
92,1628121600000,63.26,69.628,53.159,68.308,441951.72
93,1628208000000,68.427,74.862,62.974,71.825,229405.2
94,1628294400000,71.792,87.4,70.45,86.389,311813.6
95,1628380800000,86.389,88.0,74.339,78.2,278655.43
96,1628467200000,78.301,88.041,71.35,86.5,295962.36
97,1628553600000,86.447,90.698,80.206,85.2,209802.4
98,1628640000000,85.389,92.614,84.026,86.119,185199.97
99,1628726400000,86.082,90.533,80.646,82.088,99893.22
