,time,Open,High,Low,Close,Volume
0,1620172800000,1.1984,1.203,1.1957,1.2016,235953569.58
1,1620259200000,1.2015,1.2056,1.1992,1.2047,217824097.62
2,1620345600000,1.2046,1.2145,1.2011,1.2121,215696965.3
3,1620432000000,1.2121,1.2137,1.2076,1.2128,156595064.4
4,1620518400000,1.2128,1.2147,1.2073,1.2142,198395650.46
5,1620604800000,1.2141,1.2144,1.197,1.207,279675369.85
6,1620691200000,1.207,1.2157,1.2063,1.2103,244869054.31
7,1620777600000,1.2103,1.2126,1.1981,1.2005,237286088.25
8,1620864000000,1.2006,1.2098,1.188,1.2036,317719955.81
9,1620950400000,1.2036,1.212,1.202,1.2104,199306742.44
10,1621036800000,1.2104,1.2145,1.2089,1.2106,165320667.54
11,1621123200000,1.2106,1.2441,1.2093,1.2119,197367344.14
12,1621209600000,1.2119,1.2308,1.2093,1.2132,253839883.52
13,1621296000000,1.2132,1.2202,1.2131,1.2169,207067943.85
14,1621382400000,1.217,1.5,1.1918,1.2099,509645540.81
15,1621468800000,1.2099,1.2173,1.2006,1.2151,344652064.38
16,1621555200000,1.2151,1.2211,1.2067,1.2119,291797136.23
17,1621641600000,1.2119,1.2131,1.207,1.2121,142679805.11
18,1621728000000,1.2121,1.2157,1.2075,1.2136,209012185.93
19,1621814400000,1.2136,1.218,1.2063,1.2157,227577702.55
20,1621900800000,1.2157,1.2322,1.2151,1.2221,180455000.62
21,1621987200000,1.2222,1.2253,1.215,1.2156,165927546.83
22,1622073600000,1.2155,1.219,1.2129,1.2185,122308713.91
23,1622160000000,1.2185,1.2188,1.2108,1.2149,156946026.41
24,1622246400000,1.215,1.2163,1.2116,1.2133,96307478.39
25,1622332800000,1.2133,1.2157,1.2104,1.2153,73868406.57
26,1622419200000,1.2153,1.2228,1.2138,1.2228,119376641.19
27,1622505600000,1.2227,1.2248,1.2197,1.2214,97800974.31
28,1622592000000,1.2214,1.223,1.2153,1.2197,114175777.8
29,1622678400000,1.2198,1.2201,1.2101,1.2114,117552307.67
30,1622764800000,1.2114,1.2164,1.2084,1.2139,122777012.33
31,1622851200000,1.2139,1.2144,1.2096,1.2112,76573993.8
32,1622937600000,1.2112,1.2137,1.2112,1.2135,47022180.97
33,1623024000000,1.2135,1.2181,1.2131,1.2149,91447691.92
34,1623110400000,1.2149,1.2177,1.2122,1.2147,128981610.13
35,1623196800000,1.2147,1.2199,1.2147,1.2162,98850277.93
36,1623283200000,1.2162,1.2173,1.214,1.2157,80760837.27
37,1623369600000,1.2157,1.2182,1.208,1.2093,73818383.95
38,1623456000000,1.2092,1.2093,1.2054,1.2076,59171853.57
39,1623542400000,1.2076,1.2126,1.2063,1.2125,60925739.35
40,1623628800000,1.2125,1.2126,1.2087,1.2108,84026082.2
41,1623715200000,1.2108,1.213,1.2097,1.2111,77230384.79
42,1623801600000,1.2111,1.2124,1.1988,1.1989,93357817.01
43,1623888000000,1.1988,1.2002,1.1886,1.1894,83079211.55
44,1623974400000,1.1895,1.1909,1.1822,1.1828,89877064.31
45,1624060800000,1.1828,1.1839,1.182,1.1824,45354259.12
46,1624147200000,1.1824,1.187,1.1805,1.1869,75037533.21
47,1624233600000,1.187,1.1944,1.1832,1.1907,135222636.67
48,1624320000000,1.1907,1.194,1.186,1.1936,158502830.46
49,1624406400000,1.1936,1.1952,1.1904,1.1916,102763909.93
50,1624492800000,1.1916,1.1946,1.1912,1.1928,75594369.75
51,1624579200000,1.1928,1.1966,1.1906,1.1906,82381801.83
52,1624665600000,1.1906,1.1907,1.1868,1.1904,61887491.85
53,1624752000000,1.1905,1.1934,1.1898,1.1934,48643507.52
54,1624838400000,1.1934,1.194,1.1906,1.1919,70185874.72
55,1624924800000,1.1919,1.1923,1.1869,1.1902,104662187.82
56,1625011200000,1.1902,1.1909,1.1837,1.1856,77031932.33
57,1625097600000,1.1856,1.1873,1.1827,1.1842,90296604.71
58,1625184000000,1.1842,1.1867,1.1814,1.1862,67873147.21
59,1625270400000,1.1862,1.1874,1.1854,1.1874,37782220.24
60,1625356800000,1.1874,1.19,1.186,1.1873,45942946.84
61,1625443200000,1.1873,1.1874,1.1843,1.1857,65351295.58
62,1625529600000,1.1857,1.1885,1.181,1.182,64423322.01
63,1625616000000,1.1819,1.1855,1.1778,1.1779,73985962.77
64,1625702400000,1.1778,1.1855,1.1759,1.1838,81843228.62
65,1625788800000,1.1837,1.187,1.1818,1.1865,54376471.12
66,1625875200000,1.1865,1.1869,1.1843,1.1852,35665467.47
67,1625961600000,1.1852,1.1873,1.1848,1.1871,31522153.55
68,1626048000000,1.1871,1.1873,1.1835,1.1841,45277207.18
69,1626134400000,1.1841,1.1853,1.1688,1.1694,56187647.15
70,1626220800000,1.1693,1.1726,1.1641,1.1648,60341291.41
71,1626307200000,1.1648,1.1709,1.1614,1.1656,54678863.8
72,1626393600000,1.1656,1.1779,1.1647,1.1755,57512653.71
73,1626480000000,1.1755,1.1756,1.165,1.1694,31719962.87
74,1626566400000,1.1693,1.1727,1.166,1.1686,27497867.1
75,1626652800000,1.1686,1.1735,1.165,1.1661,47677416.63
76,1626739200000,1.1662,1.1667,1.1571,1.1614,57484423.73
77,1626825600000,1.1615,1.1712,1.1565,1.1648,65875319.04
78,1626912000000,1.1647,1.1697,1.1628,1.1645,40926389.9
79,1626998400000,1.1645,1.1684,1.1604,1.1664,41882906.81
80,1627084800000,1.1664,1.1687,1.163,1.1656,34475747.59
81,1627171200000,1.1656,1.168,1.1633,1.168,29961195.53
82,1627257600000,1.1679,1.1778,1.1679,1.1751,91884460.15
83,1627344000000,1.1752,1.1761,1.1639,1.1718,55565986.81
84,1627430400000,1.1717,1.1746,1.1665,1.1719,48514593.14
85,1627516800000,1.1719,1.1775,1.1711,1.1772,40952767.83
86,1627603200000,1.1772,1.1822,1.1707,1.1821,55606952.22
87,1627689600000,1.182,1.1846,1.174,1.1756,37801347.54
88,1627776000000,1.1756,1.1792,1.17,1.171,46453771.02
89,1627862400000,1.171,1.1774,1.1709,1.1733,52628179.36
90,1627948800000,1.1733,1.1756,1.1727,1.175,50100103.66
91,1628035200000,1.1751,1.1752,1.1693,1.1711,66650319.98
92,1628121600000,1.1711,1.1725,1.1649,1.1707,64895129.04
93,1628208000000,1.1707,1.1708,1.1621,1.1656,58101199.65
94,1628294400000,1.1655,1.1661,1.1554,1.1602,62207416.45
95,1628380800000,1.1602,1.1617,1.1553,1.1566,60129879.41
96,1628467200000,1.1567,1.1633,1.1563,1.1592,67512297.11
97,1628553600000,1.1593,1.1603,1.1528,1.157,65180233.16
98,1628640000000,1.1569,1.157,1.1505,1.1519,80286590.05
99,1628726400000,1.1519,1.1547,1.1514,1.1516,34106394.15
