,time,Open,High,Low,Close,Volume
0,1620172800000,15.262,18.394,15.0,17.805,213384.0
1,1620259200000,17.848,20.583,17.105,17.868,449590.42
2,1620345600000,17.869,18.216,16.279,17.118,142480.82
3,1620432000000,17.117,17.976,16.13,16.465,133505.06
4,1620518400000,16.547,16.885,14.942,16.092,217838.51
5,1620604800000,16.091,16.702,12.426,13.959,367411.78
6,1620691200000,13.957,15.373,13.503,15.199,201928.5
7,1620777600000,15.274,15.704,11.726,12.364,353805.24
8,1620864000000,12.436,12.738,6.266,10.536,3107202.76
9,1620950400000,10.535,11.452,10.095,10.942,567165.91
10,1621036800000,10.943,11.217,9.586,9.685,318349.69
11,1621123200000,9.639,10.381,8.346,9.273,250915.34
12,1621209600000,9.279,9.337,7.431,8.225,237583.64
13,1621296000000,8.204,9.088,7.969,8.303,203415.37
14,1621382400000,8.347,8.54,1.746,3.861,24346499.86
15,1621468800000,3.886,7.242,3.421,6.485,1174555.32
16,1621555200000,6.545,7.199,4.05,5.1,704507.92
17,1621641600000,5.122,5.198,3.938,4.58,254166.02
18,1621728000000,4.577,4.869,2.6,3.708,681260.87
19,1621814400000,3.71,4.827,3.402,4.797,719509.96
20,1621900800000,4.782,5.35,3.813,4.515,451169.2
21,1621987200000,4.499,4.816,4.291,4.78,683664.35
22,1622073600000,4.782,4.782,4.155,4.408,597607.93
23,1622160000000,4.354,4.47,3.764,3.952,297883.34
24,1622246400000,3.963,4.283,3.739,4.09,546806.28
25,1622332800000,4.057,4.22,3.812,4.091,586661.0
26,1622419200000,4.091,4.543,3.911,4.507,451427.95
27,1622505600000,4.491,4.557,4.09,4.186,598518.64
28,1622592000000,4.199,4.496,4.092,4.297,281612.07
29,1622678400000,4.272,6.68,4.221,6.186,2535833.78
30,1622764800000,6.19,7.1,5.7,6.017,2174501.52
31,1622851200000,6.057,6.6,5.754,6.062,1000063.81
32,1622937600000,6.035,6.158,5.817,5.935,734048.76
33,1623024000000,5.95,6.491,5.091,5.34,893809.64
34,1623110400000,5.305,5.514,3.8,4.624,2632553.82
35,1623196800000,4.606,4.695,3.852,4.553,862167.47
36,1623283200000,4.553,4.679,3.932,4.125,372676.39
37,1623369600000,4.091,4.186,3.73,3.856,189762.53
38,1623456000000,3.838,3.917,3.363,3.736,318851.3
39,1623542400000,3.711,4.136,3.623,4.087,210754.66
40,1623628800000,4.09,4.521,3.944,4.253,477016.08
41,1623715200000,4.267,4.354,3.93,4.018,324985.83
42,1623801600000,4.007,4.007,3.623,3.701,334081.27
43,1623888000000,3.744,3.971,3.48,3.64,192129.03
44,1623974400000,3.649,3.651,3.128,3.31,267549.34
45,1624060800000,3.321,3.472,3.209,3.241,705887.08
46,1624147200000,3.214,3.264,2.642,3.037,498120.94
47,1624233600000,3.04,3.093,1.244,1.315,4894526.01
48,1624320000000,1.313,1.57,1.117,1.444,6468749.41
49,1624406400000,1.443,2.039,1.354,2.009,5373933.24
50,1624492800000,2.013,2.04,1.7,1.901,1332487.22
51,1624579200000,1.898,1.959,1.415,1.513,917556.06
52,1624665600000,1.515,1.59,1.389,1.579,842701.56
53,1624752000000,1.575,1.818,1.55,1.79,667866.76
54,1624838400000,1.788,1.907,1.698,1.801,405923.48
55,1624924800000,1.806,2.565,1.784,2.403,796917.15
56,1625011200000,2.402,2.479,1.651,2.018,1014850.73
57,1625097600000,2.017,2.017,1.541,1.677,1011414.05
58,1625184000000,1.666,1.728,1.516,1.707,495350.09
59,1625270400000,1.711,1.94,1.665,1.848,485537.5
60,1625356800000,1.851,2.0,1.777,1.833,510936.65
61,1625443200000,1.842,1.842,1.514,1.601,525774.25
62,1625529600000,1.602,1.766,1.597,1.67,539943.75
63,1625616000000,1.667,1.749,1.625,1.629,382194.0
64,1625702400000,1.626,1.628,1.407,1.46,452877.87
65,1625788800000,1.462,1.56,1.4,1.55,266047.43
66,1625875200000,1.542,1.584,1.447,1.495,200329.36
67,1625961600000,1.485,1.576,1.473,1.533,139835.96
68,1626048000000,1.531,1.557,1.371,1.392,310875.29
69,1626134400000,1.382,1.417,1.267,1.298,258673.02
70,1626220800000,1.298,1.314,1.136,1.223,395086.0
71,1626307200000,1.232,1.26,1.034,1.09,574358.47
72,1626393600000,1.093,1.145,1.007,1.008,279661.18
73,1626480000000,1.008,1.03,0.973,0.994,351610.7
74,1626566400000,1.001,1.095,0.994,1.068,527986.07
75,1626652800000,1.065,1.079,0.931,0.948,535743.2
76,1626739200000,0.951,0.972,0.771,0.781,1347024.08
77,1626825600000,0.785,1.059,0.736,0.972,1030911.51
78,1626912000000,0.959,1.007,0.884,0.942,454308.24
79,1626998400000,0.939,1.036,0.9,1.032,459159.31
80,1627084800000,1.035,1.249,0.977,1.134,1122961.66
81,1627171200000,1.137,1.1707,0.98,1.0948,896382.66
82,1627257600000,1.0932,1.357,1.079,1.1021,1604946.83
83,1627344000000,1.099,1.152,0.99,1.133,679723.47
84,1627430400000,1.1289,1.214,1.0541,1.1238,1162385.37
85,1627516800000,1.1289,1.1378,1.0606,1.116,391886.46
86,1627603200000,1.117,1.2441,1.0712,1.236,552012.85
87,1627689600000,1.238,1.323,1.1781,1.2777,683739.33
88,1627776000000,1.279,1.6622,1.25,1.3803,1924947.47
89,1627862400000,1.369,1.5149,1.3295,1.415,789190.49
90,1627948800000,1.4122,1.4535,1.3,1.397,408812.39
91,1628035200000,1.3968,1.599,1.3888,1.5367,584993.32
92,1628121600000,1.539,1.651,1.4438,1.6326,489236.59
93,1628208000000,1.628,2.1323,1.5864,2.0667,942262.08
94,1628294400000,2.0745,2.6452,2.0227,2.5043,1289158.61
95,1628380800000,2.513,2.52,1.9659,2.0669,765437.06
96,1628467200000,2.064,2.4,1.78,2.3649,778898.98
97,1628553600000,2.336,2.564,2.1113,2.273,724148.09
98,1628640000000,2.275,2.9425,2.267,2.7252,1466526.53
99,1628726400000,2.7161,3.0576,2.4,2.5009,923369.28
