,time,Open,High,Low,Close,Volume
0,1620172800000,140.82,154.86,139.56,152.53,1091315.1271
1,1620259200000,152.46,165.63,149.69,153.59,1873546.7512
2,1620345600000,153.63,155.23,146.82,150.33,933789.1635
3,1620432000000,150.39,154.25,143.49,148.1,767341.4548
4,1620518400000,148.1,149.55,140.73,146.5,880624.6058
5,1620604800000,146.51,149.33,129.14,135.71,1155938.1738
6,1620691200000,135.71,143.44,133.79,142.95,1014580.4486
7,1620777600000,142.9,145.59,123.77,127.04,1373711.7437
8,1620864000000,127.09,127.79,87.26,117.82,4298932.3103
9,1620950400000,117.82,124.84,113.82,120.65,1843265.5462
10,1621036800000,120.64,122.85,109.96,110.48,1520986.5139
11,1621123200000,110.46,116.19,100.15,107.81,1753425.6965
12,1621209600000,107.79,107.88,93.35,99.46,2141124.6066
13,1621296000000,99.43,106.02,96.82,100.11,1877765.0226
14,1621382400000,100.13,101.73,55.0,65.28,5711508.3532
15,1621468800000,65.29,95.26,61.13,88.66,5722650.4379
16,1621555200000,88.62,94.99,67.76,76.84,4394753.383
17,1621641600000,76.9,77.43,66.48,72.21,3395285.8229
18,1621728000000,72.23,74.73,55.2,64.88,4404400.1297
19,1621814400000,64.87,78.0,62.24,74.75,4372237.2018
20,1621900800000,74.74,79.76,65.73,72.24,3399202.8305
21,1621987200000,72.28,74.99,70.03,74.5,2469525.8135
22,1622073600000,74.51,74.56,68.86,71.43,1919835.4393
23,1622160000000,71.44,71.8,64.98,66.75,2444585.5519
24,1622246400000,66.74,69.87,64.5,68.24,1921950.2407
25,1622332800000,68.25,69.44,65.25,68.34,1796269.4258
26,1622419200000,68.34,72.92,66.28,72.52,2040700.7409
27,1622505600000,72.52,73.17,68.02,69.18,1611400.0277
28,1622592000000,69.18,72.06,68.15,70.09,1314034.6086
29,1622678400000,70.09,94.05,69.47,89.48,5210285.1494
30,1622764800000,89.47,97.99,84.51,88.0,6430417.6017
31,1622851200000,88.0,93.03,85.85,88.16,2864255.0793
32,1622937600000,88.15,89.05,86.01,86.99,1401268.0488
33,1623024000000,86.98,92.1,80.15,81.99,2876771.7351
34,1623110400000,82.0,83.75,70.36,76.02,4778130.601
35,1623196800000,75.98,78.91,70.89,77.76,3182405.9298
36,1623283200000,77.78,79.13,71.61,73.31,2308661.7351
37,1623369600000,73.32,74.12,69.62,70.8,1554746.0402
38,1623456000000,70.79,71.3,66.0,69.68,1819483.5683
