,time,Open,High,Low,Close,Volume
0,1620172800000,0.32,0.364,0.3143,0.356,18268300.11
1,1620259200000,0.3562,0.387,0.32,0.3282,18910131.44
2,1620345600000,0.328,0.3703,0.32,0.3473,19572191.95
3,1620432000000,0.3473,0.3979,0.3464,0.3537,28483541.25
4,1620518400000,0.3537,0.3566,0.3285,0.3374,11992446.74
5,1620604800000,0.3381,0.35,0.2906,0.3003,12501106.55
6,1620691200000,0.2994,0.3238,0.2826,0.3159,14334037.97
7,1620777600000,0.3163,0.322,0.2596,0.2647,14900452.4
8,1620864000000,0.2634,0.2948,0.2544,0.2797,13909371.49
9,1620950400000,0.2802,0.2952,0.2716,0.2841,11320529.72
10,1621036800000,0.2841,0.3121,0.2797,0.2937,14323544.14
11,1621123200000,0.2939,0.3272,0.2605,0.2823,19403378.5
12,1621209600000,0.2823,0.2829,0.2491,0.2597,11746229.18
13,1621296000000,0.26,0.283,0.2544,0.2636,11090715.43
14,1621382400000,0.2638,0.2706,0.1541,0.1707,28100616.95
15,1621468800000,0.1712,0.2094,0.1557,0.1925,18917826.62
16,1621555200000,0.1923,0.22,0.148,0.1706,18577680.5
17,1621641600000,0.171,0.172,0.1497,0.1596,10230438.09
18,1621728000000,0.1591,0.1639,0.1064,0.1251,17376876.49
19,1621814400000,0.1252,0.18,0.1203,0.1606,26778918.82
20,1621900800000,0.1606,0.1701,0.1403,0.1574,23648804.18
21,1621987200000,0.1581,0.2086,0.1545,0.1934,33420577.33
22,1622073600000,0.1934,0.2416,0.1919,0.195,61168901.11
23,1622160000000,0.1955,0.1992,0.165,0.175,18943692.15
24,1622246400000,0.1748,0.2136,0.1699,0.1829,45501016.09
25,1622332800000,0.1835,0.1899,0.168,0.1819,17347970.56
26,1622419200000,0.1817,0.1868,0.1684,0.1846,12501900.02
27,1622505600000,0.1846,0.1945,0.1689,0.1738,15461140.57
28,1622592000000,0.1739,0.1845,0.17,0.1808,11874546.23
29,1622678400000,0.1808,0.19,0.1765,0.1838,12459150.17
30,1622764800000,0.1841,0.1846,0.1579,0.1685,12027023.83
31,1622851200000,0.1688,0.1756,0.1577,0.1621,6984441.04
32,1622937600000,0.1621,0.2188,0.1607,0.1879,78358527.46
33,1623024000000,0.188,0.1915,0.1605,0.1626,17313463.84
34,1623110400000,0.1626,0.2193,0.1496,0.19,39088165.93
35,1623196800000,0.1911,0.3573,0.1828,0.253,382169623.55
36,1623283200000,0.2528,0.294,0.2233,0.2315,163003949.38
37,1623369600000,0.2324,0.25,0.1971,0.2013,52759425.27
38,1623456000000,0.2009,0.2038,0.1835,0.1889,20324125.55
39,1623542400000,0.1887,0.2792,0.1869,0.2414,125468871.68
40,1623628800000,0.2412,0.2533,0.22,0.2369,60850362.63
41,1623715200000,0.2371,0.2488,0.2172,0.2217,36323495.77
42,1623801600000,0.2221,0.23,0.2026,0.2053,21910985.69
