,time,Open,High,Low,Close,Volume
0,1620172800000,12.532,14.0,12.376,13.524,440048.38
1,1620259200000,13.528,16.59,12.989,15.037,660615.482
2,1620345600000,15.036,25.3,15.0,18.747,6511772.25
3,1620432000000,18.73,22.918,17.626,19.433,2216507.613
4,1620518400000,19.457,19.48,17.25,17.946,493146.302
5,1620604800000,17.946,19.8,15.0,15.783,636682.729
6,1620691200000,15.771,21.794,15.3,20.55,812090.031
7,1620777600000,20.494,21.55,14.5,15.007,677744.677
8,1620864000000,15.055,17.724,13.6,15.788,452072.699
9,1620950400000,15.789,16.8,15.087,15.565,467658.213
10,1621036800000,15.564,16.071,13.821,13.83,273352.04
11,1621123200000,13.894,15.197,12.36,13.719,325106.988
12,1621209600000,13.715,13.715,11.071,11.637,730320.875
13,1621296000000,11.637,14.061,11.536,13.19,536439.563
14,1621382400000,13.188,13.5,6.01,8.01,1041723.366
15,1621468800000,8.01,10.437,7.211,9.657,589417.912
16,1621555200000,9.664,10.073,6.712,7.892,617591.554
17,1621641600000,7.892,8.099,6.916,6.991,338931.889
18,1621728000000,6.993,7.549,5.03,6.111,473526.08
19,1621814400000,6.135,7.7,5.755,7.69,511207.897
20,1621900800000,7.691,8.285,6.926,7.723,453095.432
21,1621987200000,7.723,8.895,7.504,8.268,550693.216
22,1622073600000,8.268,8.27,7.01,7.629,323780.363
23,1622160000000,7.622,7.67,6.3,6.815,383372.788
24,1622246400000,6.847,7.9,6.3,6.661,555754.992
25,1622332800000,6.662,7.7,6.26,7.275,266658.284
26,1622419200000,7.301,7.6,6.7,7.571,238396.175
27,1622505600000,7.571,7.655,7.079,7.302,211311.325
28,1622592000000,7.327,7.938,7.157,7.746,228156.38
29,1622678400000,7.695,10.912,7.467,10.053,1726548.454
30,1622764800000,10.021,10.61,8.224,8.641,715262.503
31,1622851200000,8.642,9.795,7.32,7.845,725870.997
32,1622937600000,7.827,8.2,7.782,8.008,370358.025
33,1623024000000,8.0,8.359,6.941,7.025,327573.07
34,1623110400000,6.999,7.266,6.279,7.118,349372.757
35,1623196800000,7.118,7.423,6.6,7.372,286264.623
36,1623283200000,7.398,7.478,6.801,7.077,212624.631
37,1623369600000,7.073,7.933,6.842,7.185,578472.651
38,1623456000000,7.147,7.186,6.4,6.623,488739.83
39,1623542400000,6.635,7.165,6.496,7.073,158251.894
40,1623628800000,7.07,7.5,6.833,7.387,238421.374
41,1623715200000,7.387,7.565,7.1,7.211,142024.318
42,1623801600000,7.193,7.582,6.85,6.96,779707.907
43,1623888000000,6.975,7.188,6.75,6.869,172325.486
44,1623974400000,6.869,6.877,6.25,6.576,116288.494
45,1624060800000,6.576,6.647,6.289,6.423,543638.095
46,1624147200000,6.413,6.437,5.634,6.225,255269.231
47,1624233600000,6.225,6.276,5.05,5.121,319521.836
48,1624320000000,5.115,5.32,4.259,4.718,364765.3
49,1624406400000,4.731,5.563,4.622,5.183,407235.351
50,1624492800000,5.208,5.377,4.934,5.271,324483.485
51,1624579200000,5.262,5.356,4.7,4.78,243205.314
52,1624665600000,4.778,4.907,4.463,4.74,227345.367
53,1624752000000,4.746,4.96,4.52,4.87,463278.035
54,1624838400000,4.89,5.127,4.804,4.973,122372.663
55,1624924800000,4.974,5.5,4.95,5.288,246116.215
56,1625011200000,5.291,5.549,4.877,5.307,193360.231
57,1625097600000,5.306,5.307,4.767,4.999,212079.256
58,1625184000000,5.004,5.192,4.75,5.143,216299.363
59,1625270400000,5.149,5.5,5.0,5.302,219176.261
60,1625356800000,5.311,5.65,5.151,5.372,864121.01
61,1625443200000,5.393,5.48,4.994,5.109,466342.441
62,1625529600000,5.101,5.423,5.05,5.227,302453.227
63,1625616000000,5.218,5.377,5.145,5.183,183917.85
64,1625702400000,5.185,5.197,4.709,4.818,227469.624
65,1625788800000,4.818,5.088,4.7,4.959,193926.095
66,1625875200000,4.958,5.045,4.85,4.879,92848.019
67,1625961600000,4.89,5.106,4.873,5.023,99163.661
68,1626048000000,5.023,5.3,4.938,5.139,358077.569
69,1626134400000,5.135,5.238,4.805,4.903,202972.78
70,1626220800000,4.908,5.013,4.664,4.863,151184.884
71,1626307200000,4.856,4.963,4.59,4.887,194351.046
72,1626393600000,4.868,5.123,4.578,4.707,492462.366
73,1626480000000,4.707,4.865,4.552,4.601,135843.102
74,1626566400000,4.602,4.799,4.602,4.695,80803.595
75,1626652800000,4.678,4.7,4.301,4.433,180369.087
76,1626739200000,4.453,4.468,4.0,4.108,155576.902
77,1626825600000,4.091,4.585,4.014,4.409,232986.498
78,1626912000000,4.396,4.496,4.2,4.45,244323.049
79,1626998400000,4.45,4.574,4.3,4.53,231575.717
80,1627084800000,4.53,4.602,4.464,4.589,157152.47
81,1627171200000,4.589,4.711,4.443,4.681,176866.087
82,1627257600000,4.683,5.089,4.593,4.62,361352.824
83,1627344000000,4.608,5.18,4.538,5.038,772201.44
84,1627430400000,5.044,5.25,4.834,4.915,323070.337
