,time,Open,High,Low,Close,Volume
0,1620172800000,2.745,3.593,2.669,2.99,5228565.315
1,1620259200000,2.987,3.299,2.708,3.092,2441396.324
2,1620345600000,3.097,3.394,2.7,2.868,2798391.322
3,1620432000000,2.868,3.1,2.772,2.812,1204548.873
4,1620518400000,2.808,3.09,2.55,2.737,1634041.496
5,1620604800000,2.737,2.849,2.25,2.341,2118179.877
6,1620691200000,2.329,2.936,2.261,2.883,2051806.301
7,1620777600000,2.886,3.149,2.268,2.28,3217387.663
8,1620864000000,2.304,2.651,2.192,2.283,1547209.717
9,1620950400000,2.297,2.8,2.2,2.613,3483203.427
10,1621036800000,2.613,2.863,2.397,2.454,2266539.799
11,1621123200000,2.462,2.655,2.25,2.355,1026848.437
12,1621209600000,2.356,2.369,2.012,2.111,986929.582
13,1621296000000,2.112,2.281,1.999,2.027,682153.684
14,1621382400000,2.025,2.077,1.286,1.36,1829965.385
15,1621468800000,1.373,1.696,1.248,1.49,1289560.659
16,1621555200000,1.5,2.844,1.434,2.293,38135686.879
17,1621641600000,2.288,2.595,1.72,1.8,21949333.841
18,1621728000000,1.8,1.85,0.967,1.246,10772957.555
19,1621814400000,1.243,1.691,1.17,1.532,6587345.386
20,1621900800000,1.532,1.585,1.233,1.407,2948322.477
21,1621987200000,1.414,1.585,1.369,1.486,2290844.88
22,1622073600000,1.482,1.597,1.302,1.439,2206709.119
23,1622160000000,1.435,1.466,1.192,1.26,1709145.25
24,1622246400000,1.262,1.326,1.085,1.136,1126694.355
25,1622332800000,1.138,1.347,1.071,1.263,1446936.321
26,1622419200000,1.26,1.469,1.183,1.344,2116708.496
27,1622505600000,1.344,1.394,1.271,1.304,994390.133
28,1622592000000,1.308,1.738,1.253,1.442,4544299.197
29,1622678400000,1.442,1.73,1.422,1.488,4186823.85
30,1622764800000,1.485,1.494,1.254,1.355,2400012.59
31,1622851200000,1.35,1.417,1.217,1.278,1276641.642
32,1622937600000,1.275,1.563,1.26,1.344,2961269.338
33,1623024000000,1.344,1.407,1.242,1.251,2135415.963
34,1623110400000,1.249,1.265,1.01,1.159,2218903.443
35,1623196800000,1.156,1.547,1.086,1.32,8157281.184
36,1623283200000,1.319,1.342,1.152,1.18,2541297.745
37,1623369600000,1.179,1.489,1.128,1.313,8437898.804
38,1623456000000,1.313,1.4,1.125,1.234,5990118.483
39,1623542400000,1.234,1.301,1.188,1.291,1675183.589
40,1623628800000,1.293,1.36,1.255,1.283,2078344.159
41,1623715200000,1.282,1.29,1.226,1.249,1745585.276
42,1623801600000,1.255,1.262,1.173,1.211,783789.808
43,1623888000000,1.211,1.276,1.149,1.187,1205842.027
44,1623974400000,1.189,1.19,1.036,1.085,947758.924
45,1624060800000,1.085,1.247,1.024,1.112,3171205.513
46,1624147200000,1.112,1.232,1.045,1.108,4303350.462
47,1624233600000,1.112,1.112,0.807,0.821,3605517.567
48,1624320000000,0.815,0.849,0.619,0.725,2795907.303
49,1624406400000,0.732,0.831,0.697,0.744,2151469.893
50,1624492800000,0.746,0.774,0.701,0.735,1447276.22
51,1624579200000,0.74,0.77,0.638,0.639,1713591.194
52,1624665600000,0.638,0.676,0.586,0.63,1839373.167
53,1624752000000,0.63,0.801,0.621,0.699,5701726.21
54,1624838400000,0.698,0.735,0.645,0.708,2413468.111
55,1624924800000,0.711,0.847,0.706,0.75,3486628.485
56,1625011200000,0.754,0.756,0.679,0.726,1510200.59
57,1625097600000,0.728,0.803,0.671,0.718,2722807.313
58,1625184000000,0.714,0.771,0.674,0.714,1613044.491
59,1625270400000,0.714,0.755,0.7,0.717,1430795.432
60,1625356800000,0.717,0.81,0.705,0.747,2006353.967
61,1625443200000,0.746,0.747,0.701,0.722,945009.276
62,1625529600000,0.722,0.801,0.721,0.774,2838399.942
63,1625616000000,0.775,0.834,0.765,0.778,1858744.774
64,1625702400000,0.778,0.779,0.701,0.711,1299904.616
65,1625788800000,0.711,0.729,0.668,0.719,904601.898
66,1625875200000,0.717,0.738,0.685,0.701,867616.745
67,1625961600000,0.702,0.775,0.699,0.771,1715830.706
68,1626048000000,0.771,0.776,0.692,0.713,1126683.934
69,1626134400000,0.716,0.74,0.692,0.707,1147269.595
70,1626220800000,0.705,0.817,0.667,0.765,3160910.675
71,1626307200000,0.764,1.05,0.744,0.88,15799182.932
72,1626393600000,0.879,1.097,0.749,0.75,12586875.343
73,1626480000000,0.752,0.788,0.715,0.718,3590737.583
74,1626566400000,0.718,0.768,0.715,0.766,2084208.951
75,1626652800000,0.765,0.765,0.654,0.663,1450477.008
76,1626739200000,0.665,0.667,0.588,0.608,1109461.334
77,1626825600000,0.608,0.706,0.598,0.679,3198518.588
78,1626912000000,0.681,0.73,0.665,0.712,2575337.778
79,1626998400000,0.712,0.735,0.683,0.724,1698230.982
80,1627084800000,0.721,0.826,0.712,0.757,3238566.999
81,1627171200000,0.757,0.877,0.732,0.858,3223793.243
82,1627257600000,0.853,0.9,0.771,0.78,2870032.457
83,1627344000000,0.778,0.815,0.736,0.809,1463040.145
84,1627430400000,0.81,0.852,0.763,0.807,1550131.786
85,1627516800000,0.805,0.808,0.767,0.783,1266500.474
86,1627603200000,0.783,0.825,0.762,0.82,2207238.596
87,1627689600000,0.82,1.063,0.804,0.966,13377291.866
88,1627776000000,0.967,1.0,0.879,0.89,3938546.33
89,1627862400000,0.889,0.937,0.864,0.906,1626475.111
90,1627948800000,0.906,0.926,0.874,0.899,1426434.254
91,1628035200000,0.9,0.965,0.889,0.924,2236148.403
92,1628121600000,0.923,2.65,0.899,1.997,137206715.042
93,1628208000000,1.998,4.061,1.844,2.726,131462149.172
94,1628294400000,2.725,3.78,2.712,2.944,55606047.423
95,1628380800000,2.945,2.953,2.329,2.41,14405957.781
96,1628467200000,2.41,2.607,2.236,2.247,10068600.234
97,1628553600000,2.246,2.38,2.18,2.33,9825396.617
98,1628640000000,2.33,2.36,2.126,2.231,10851479.414
99,1628726400000,2.23,2.358,2.096,2.198,5905376.175
