,time,Open,High,Low,Close,Volume
0,1620172800000,0.8392,1.0453,0.8283,1.0194,31236030.91
1,1620259200000,1.0197,1.0475,0.92,0.9864,32334383.03
2,1620345600000,0.9856,1.13,0.9381,0.9821,37797577.31
3,1620432000000,0.9826,1.012,0.9401,0.9573,15338351.9
4,1620518400000,0.9581,1.0,0.91,0.9647,21291161.59
5,1620604800000,0.9646,1.129,0.8702,0.9642,60149619.89
6,1620691200000,0.9628,1.0197,0.906,1.0013,27169491.69
7,1620777600000,1.0012,1.0458,0.79,0.8035,22908397.65
8,1620864000000,0.8068,0.8996,0.75,0.8389,27703550.9
9,1620950400000,0.8399,0.9589,0.8207,0.9001,18079260.83
10,1621036800000,0.9001,0.9119,0.7919,0.7987,18611215.69
11,1621123200000,0.7998,0.8611,0.7255,0.7836,20649460.38
12,1621209600000,0.7837,0.7838,0.679,0.7155,16755691.82
13,1621296000000,0.7181,0.7706,0.6983,0.7412,13007905.1
14,1621382400000,0.7405,0.7596,0.3166,0.4495,40951114.27
15,1621468800000,0.4494,0.6557,0.4,0.646,37438926.4
16,1621555200000,0.6454,0.6697,0.43,0.514,41866935.33
17,1621641600000,0.514,0.5176,0.438,0.4545,27413331.64
18,1621728000000,0.4553,0.4797,0.32,0.3929,27033052.64
19,1621814400000,0.3935,0.5015,0.3682,0.4933,21605328.02
20,1621900800000,0.4933,0.589,0.4816,0.5606,28134219.43
21,1621987200000,0.5613,0.63,0.5469,0.6098,22726468.21
22,1622073600000,0.6099,0.6295,0.5386,0.5954,18887311.19
23,1622160000000,0.5954,0.6049,0.4725,0.5005,20876559.25
24,1622246400000,0.5011,0.5268,0.4347,0.4641,14202425.27
25,1622332800000,0.4635,0.5253,0.4307,0.4938,17515273.8
26,1622419200000,0.493,0.5774,0.4457,0.5507,27378061.17
27,1622505600000,0.5505,0.5744,0.5135,0.5327,16803482.2
28,1622592000000,0.5328,0.6387,0.515,0.6022,28122951.71
29,1622678400000,0.6017,0.6724,0.5922,0.6434,24758963.68
30,1622764800000,0.6438,0.6481,0.5321,0.5866,25482491.66
31,1622851200000,0.5862,0.6375,0.5595,0.5777,20726534.38
32,1622937600000,0.5777,0.6037,0.5735,0.5958,10618652.54
33,1623024000000,0.5963,0.644,0.5284,0.544,22770379.26
34,1623110400000,0.5431,0.6,0.4778,0.5371,26177616.93
35,1623196800000,0.5381,0.5666,0.4989,0.5568,18586131.12
36,1623283200000,0.5571,0.59,0.523,0.5388,16736605.57
37,1623369600000,0.5389,0.5559,0.4933,0.5114,11147077.87
38,1623456000000,0.512,0.5141,0.4712,0.4909,13221420.37
39,1623542400000,0.4909,0.5371,0.479,0.5262,14451288.06
40,1623628800000,0.5272,0.5566,0.5151,0.5417,13610403.81
41,1623715200000,0.5417,0.5606,0.5311,0.5475,13828268.53
42,1623801600000,0.5467,0.5648,0.5164,0.5409,15898223.9
43,1623888000000,0.5408,0.5591,0.5157,0.5285,10289000.61
44,1623974400000,0.5289,0.5346,0.4663,0.4828,12394606.31
