,time,Open,High,Low,Close,Volume
0,1627603200000,18.31,35.61,18.31,23.9,4483043.91
1,1627689600000,23.91,28.0,22.93,24.36,3473070.16
2,1627776000000,24.37,24.42,21.07,21.09,1142018.18
3,1627862400000,21.13,22.7,20.75,22.15,854827.32
4,1627948800000,22.15,22.4,20.5,20.84,375663.45
5,1628035200000,20.84,22.48,20.27,22.3,661972.03
6,1628121600000,22.32,23.5,20.91,22.32,637252.01
7,1628208000000,22.28,22.64,21.51,22.42,350100.08
8,1628294400000,22.45,23.37,21.92,22.67,388005.74
9,1628380800000,22.66,23.4,21.19,21.46,344950.32
10,1628467200000,21.46,22.36,20.57,22.19,474626.36
11,1628553600000,22.19,24.11,21.66,23.09,711136.75
12,1628640000000,23.16,26.69,22.97,23.8,811378.53
13,1628726400000,23.78,24.0,22.38,22.76,267015.59
