,time,Open,High,Low,Close,Volume
0,1620172800000,53.829,58.557,53.441,58.492,407565.677
1,1620259200000,58.492,59.129,56.385,57.994,473663.815
2,1620345600000,58.0,59.798,56.0,58.6,442084.102
3,1620432000000,58.478,61.888,58.007,61.259,518157.448
4,1620518400000,61.334,61.699,59.161,60.938,365587.728
5,1620604800000,60.94,63.13,55.8,59.194,614513.872
6,1620691200000,59.115,61.409,57.378,61.257,397267.253
7,1620777600000,61.262,63.05,55.8,55.897,650882.936
8,1620864000000,55.897,58.782,52.0,54.65,918920.31
9,1620950400000,54.654,58.65,53.832,57.864,502463.021
10,1621036800000,57.824,58.499,53.128,53.3,465168.981
11,1621123200000,53.333,56.779,50.501,54.015,443116.972
12,1621209600000,53.962,54.118,47.726,50.448,615287.328
13,1621296000000,50.445,54.0,49.884,50.99,550346.686
14,1621382400000,51.008,51.805,33.8,36.662,1549121.161
15,1621468800000,36.662,43.474,31.95,40.687,839632.488
16,1621555200000,40.74,42.539,32.01,36.014,736084.184
17,1621641600000,36.015,36.738,32.366,33.267,476787.993
18,1621728000000,33.333,34.024,22.734,26.959,1225097.808
19,1621814400000,26.929,33.768,26.919,33.269,643509.656
20,1621900800000,33.409,34.668,30.265,33.276,438491.527
21,1621987200000,33.269,37.001,32.71,36.722,520801.808
22,1622073600000,36.722,37.426,34.02,35.866,359505.12
23,1622160000000,35.813,36.278,31.231,32.226,272775.917
24,1622246400000,32.225,33.936,29.387,30.333,294741.11
25,1622332800000,30.351,32.729,29.142,31.429,184675.673
26,1622419200000,31.408,34.169,29.86,34.026,483724.607
27,1622505600000,34.0,34.788,32.685,33.804,189817.368
28,1622592000000,33.853,36.223,32.96,34.939,422135.998
29,1622678400000,34.914,36.841,34.261,36.46,286695.426
30,1622764800000,36.482,36.5,32.926,34.652,680473.488
31,1622851200000,34.686,36.731,32.58,33.508,833586.429
32,1622937600000,33.54,34.608,33.351,33.787,236092.38
33,1623024000000,33.822,35.646,31.616,31.9,416019.539
34,1623110400000,31.9,32.414,28.52,30.865,485215.372
35,1623196800000,30.94,33.814,29.798,33.644,611376.05
36,1623283200000,33.713,33.956,32.001,32.66,413861.501
37,1623369600000,32.68,33.189,31.143,31.517,294063.91
38,1623456000000,31.485,31.581,29.689,30.74,327884.622
39,1623542400000,30.748,33.108,30.102,32.85,174654.322
40,1623628800000,32.85,34.242,32.547,34.122,432839.812
41,1623715200000,34.067,34.754,33.444,33.834,359586.738
42,1623801600000,33.776,33.954,31.692,31.894,363069.679
43,1623888000000,31.904,32.973,31.463,32.093,229220.272
44,1623974400000,32.067,32.299,28.973,29.755,608745.084
45,1624060800000,29.74,30.455,29.042,29.56,148734.431
46,1624147200000,29.459,30.177,27.697,29.882,199747.543
47,1624233600000,29.887,30.124,24.87,25.149,420597.594
48,1624320000000,25.15,26.266,22.417,24.871,490752.217
49,1624406400000,24.847,27.603,24.223,26.351,409237.81
50,1624492800000,26.371,27.068,25.126,26.302,239983.091
51,1624579200000,26.303,26.874,23.179,23.319,379110.281
52,1624665600000,23.298,23.9,21.919,22.843,288102.334
53,1624752000000,22.843,24.615,22.638,24.594,184310.592
54,1624838400000,24.612,25.993,24.289,25.492,253760.632
55,1624924800000,25.538,27.72,25.461,26.994,434507.38
56,1625011200000,26.952,27.613,25.696,27.481,147071.834
57,1625097600000,27.535,27.54,25.646,26.241,188380.319
58,1625184000000,26.226,27.332,25.337,27.3,385724.066
59,1625270400000,27.291,28.263,26.747,28.0,410816.517
60,1625356800000,28.031,28.18,26.687,27.465,1509610.011
61,1625443200000,27.459,27.46,25.145,25.321,1244170.455
62,1625529600000,25.344,28.899,25.192,28.8,2026761.341
63,1625616000000,28.785,30.534,28.436,30.044,624848.194
64,1625702400000,30.005,30.125,27.962,28.754,355896.704
65,1625788800000,28.74,30.472,28.027,30.224,287816.9
66,1625875200000,30.24,30.701,29.583,30.164,158998.286
67,1625961600000,30.175,31.632,29.757,30.983,215100.931
68,1626048000000,30.991,32.118,30.122,30.49,369866.611
69,1626134400000,30.454,30.958,29.25,29.708,361048.044
70,1626220800000,29.729,29.756,28.146,28.442,365788.812
71,1626307200000,28.413,28.863,25.711,25.941,561404.313
72,1626393600000,25.966,27.124,23.31,25.489,1860015.686
73,1626480000000,25.489,27.177,25.382,26.355,651800.55
74,1626566400000,26.383,27.186,25.754,26.037,259829.133
75,1626652800000,26.052,26.251,24.449,24.904,387308.274
76,1626739200000,24.905,26.422,23.613,25.797,1472530.2
77,1626825600000,25.805,28.949,25.375,28.159,1309200.983
78,1626912000000,28.176,29.152,27.463,28.777,423089.341
79,1626998400000,28.773,29.578,28.08,29.578,342793.099
80,1627084800000,29.581,30.458,29.289,30.216,261264.772
81,1627171200000,30.243,30.532,28.946,30.482,225036.744
82,1627257600000,30.488,33.392,29.58,29.754,1622979.452
83,1627344000000,29.741,31.2,28.556,31.187,1773073.589
84,1627430400000,31.183,32.317,30.72,31.882,413382.017
85,1627516800000,31.912,32.877,31.292,32.564,259985.655
86,1627603200000,32.602,35.044,32.296,35.0,491742.039
87,1627689600000,34.981,35.609,33.874,35.148,299346.541
88,1627776000000,35.241,36.305,34.351,34.928,328726.686
89,1627862400000,34.907,38.208,34.335,38.003,383811.74
90,1627948800000,38.191,39.989,35.291,35.947,501908.925
91,1628035200000,35.987,38.154,34.412,37.822,471914.504
92,1628121600000,37.819,41.0,35.718,39.934,275746.096
93,1628208000000,39.933,41.845,39.264,41.203,459848.242
94,1628294400000,41.233,44.941,40.763,44.828,571452.159
95,1628380800000,44.815,45.964,42.552,43.583,468834.064
96,1628467200000,43.563,49.74,41.861,48.779,969587.59
