,time,Open,High,Low,Close,Volume
0,1620172800000,1.3823,1.3899,1.3804,1.3872,92113719.88
1,1620259200000,1.3872,1.39,1.3803,1.384,93710732.79
2,1620345600000,1.384,1.3954,1.382,1.3899,87041477.99
3,1620432000000,1.39,1.3933,1.3846,1.3872,70880849.75
4,1620518400000,1.3872,1.3981,1.3846,1.3977,86006410.09
5,1620604800000,1.3978,1.4118,1.3906,1.4057,117003258.48
6,1620691200000,1.4057,1.4125,1.4026,1.4088,89752914.02
7,1620777600000,1.4088,1.4116,1.3981,1.3986,97299375.4
8,1620864000000,1.3986,1.4045,1.3914,1.3971,134259027.83
9,1620950400000,1.3972,1.4072,1.3964,1.4043,94213865.67
10,1621036800000,1.4043,1.4056,1.3997,1.4007,75747931.35
11,1621123200000,1.4006,1.4088,1.395,1.4033,92129589.5
12,1621209600000,1.4033,1.4214,1.4025,1.4126,107375208.99
13,1621296000000,1.4126,1.4188,1.4126,1.4136,76961819.43
14,1621382400000,1.4136,1.8804,1.369,1.4009,181523951.56
15,1621468800000,1.4009,1.4112,1.373,1.4102,131545016.02
16,1621555200000,1.4102,1.4191,1.4059,1.4076,107861179.95
17,1621641600000,1.4077,1.4095,1.406,1.4075,60746596.8
18,1621728000000,1.4074,1.4093,1.4028,1.4058,96155460.82
19,1621814400000,1.4058,1.4126,1.4045,1.4112,91996822.26
20,1621900800000,1.4111,1.414,1.4042,1.4125,65791455.12
21,1621987200000,1.4126,1.4155,1.4072,1.4077,62357201.19
22,1622073600000,1.4078,1.419,1.4051,1.4173,48098116.94
23,1622160000000,1.4173,1.419,1.4111,1.4141,65817005.45
24,1622246400000,1.4141,1.4166,1.4107,1.4125,43077706.21
25,1622332800000,1.4126,1.4147,1.4115,1.4143,34024353.35
26,1622419200000,1.4143,1.4205,1.4123,1.4204,35998122.33
27,1622505600000,1.4204,1.4229,1.4135,1.4151,43491038.36
28,1622592000000,1.415,1.4172,1.4103,1.4156,44772541.54
29,1622678400000,1.4155,1.418,1.4077,1.4101,48496284.45
30,1622764800000,1.4101,1.4172,1.406,1.4135,49708150.09
31,1622851200000,1.4136,1.4148,1.409,1.4097,33342174.64
32,1622937600000,1.4096,1.4139,1.4095,1.4138,24355816.69
33,1623024000000,1.4139,1.4172,1.4108,1.4143,42491173.72
