,time,Open,High,Low,Close,Volume
0,1620172800000,1.4319,1.5542,1.42,1.5343,26288602.81
1,1620259200000,1.5349,1.6685,1.5069,1.6055,58918383.6
2,1620345600000,1.6055,1.7247,1.521,1.6011,59687655.97
3,1620432000000,1.6007,1.6551,1.5586,1.5871,30870846.79
4,1620518400000,1.5872,1.6005,1.4756,1.5347,28846622.03
5,1620604800000,1.5344,1.5767,1.2582,1.3815,47463422.51
6,1620691200000,1.3816,1.48,1.3185,1.46,29940832.26
7,1620777600000,1.4599,1.54,1.26,1.2852,48574255.31
8,1620864000000,1.2867,1.3789,1.2096,1.3136,40342263.88
9,1620950400000,1.3135,1.3972,1.284,1.3647,25878636.68
10,1621036800000,1.3648,1.5272,1.301,1.3168,56592202.85
11,1621123200000,1.3168,1.4207,1.2295,1.299,34620678.09
12,1621209600000,1.2986,1.3002,1.167,1.1957,48240338.17
13,1621296000000,1.1943,1.2705,1.1767,1.2245,29556670.77
14,1621382400000,1.2246,1.2458,0.525,0.7458,126942239.25
15,1621468800000,0.7458,0.977,0.69,0.9073,70409609.49
16,1621555200000,0.9054,0.9578,0.7421,0.8529,66246652.2
17,1621641600000,0.8518,0.8726,0.759,0.7896,42721297.02
18,1621728000000,0.7899,0.8072,0.5,0.6507,77518114.81
19,1621814400000,0.6504,0.8601,0.6286,0.8254,64921575.51
20,1621900800000,0.8253,0.8656,0.7217,0.823,43799971.11
21,1621987200000,0.8228,0.8839,0.7966,0.8429,45592230.66
22,1622073600000,0.8431,0.844,0.7483,0.7711,42473205.93
23,1622160000000,0.7713,0.7926,0.6173,0.6513,54945418.68
24,1622246400000,0.6514,0.7,0.5941,0.6283,29935454.89
25,1622332800000,0.6287,0.7734,0.5878,0.7394,37143839.02
26,1622419200000,0.7393,0.8574,0.6907,0.7933,69588340.74
27,1622505600000,0.7937,0.8294,0.7479,0.7684,34925276.32
28,1622592000000,0.7677,0.8138,0.7367,0.7664,26715052.5
29,1622678400000,0.7668,0.97,0.7534,0.9524,69373601.75
30,1622764800000,0.9512,0.9563,0.75,0.8016,68055940.77
31,1622851200000,0.8022,0.8489,0.7227,0.7544,41125906.74
32,1622937600000,0.7536,0.8198,0.7469,0.7838,25424301.33
33,1623024000000,0.784,0.8399,0.6883,0.6987,47555207.68
34,1623110400000,0.6994,0.7158,0.6274,0.6924,45729324.84
35,1623196800000,0.6925,0.7315,0.656,0.7092,47158776.67
36,1623283200000,0.709,0.7169,0.654,0.6642,30501308.21
37,1623369600000,0.6641,0.6815,0.6029,0.6136,29068812.22
38,1623456000000,0.6132,0.6254,0.5674,0.6025,23575551.82
39,1623542400000,0.6028,0.6941,0.5819,0.6848,29618752.83
40,1623628800000,0.6843,0.724,0.662,0.6829,46529457.4
41,1623715200000,0.6827,0.7611,0.674,0.7167,49055899.76
42,1623801600000,0.7164,0.7942,0.6685,0.6814,53480006.14
43,1623888000000,0.681,0.7208,0.6578,0.6861,27114715.17
44,1623974400000,0.686,0.6921,0.5916,0.6099,33283185.31
45,1624060800000,0.6095,0.6294,0.5901,0.6003,26259526.69
46,1624147200000,0.6006,0.6561,0.5643,0.6422,32742004.16
47,1624233600000,0.6424,0.6492,0.5,0.5042,46794251.12
48,1624320000000,0.5048,0.5528,0.4287,0.4937,56823107.02
49,1624406400000,0.4937,0.6087,0.4721,0.602,51869057.35
50,1624492800000,0.6014,0.6255,0.5757,0.6018,35722762.54
51,1624579200000,0.6024,0.6227,0.5215,0.5254,34092990.83
52,1624665600000,0.5258,0.5484,0.5033,0.5435,24145810.34
53,1624752000000,0.543,0.5596,0.517,0.5588,19005756.25
54,1624838400000,0.5584,0.5891,0.5422,0.5716,29838755.14
55,1624924800000,0.5715,0.624,0.5665,0.5795,40236078.75
56,1625011200000,0.5796,0.5923,0.5479,0.5914,28018285.98
57,1625097600000,0.5917,0.5924,0.5236,0.5361,22007298.91
58,1625184000000,0.5361,0.6049,0.52,0.6029,27737850.55
59,1625270400000,0.6025,0.6843,0.5877,0.6764,72364628.27
60,1625356800000,0.6763,0.7585,0.6438,0.7253,70367640.38
61,1625443200000,0.7251,0.8,0.6961,0.7328,103788700.61
62,1625529600000,0.733,0.768,0.6866,0.702,57398181.43
63,1625616000000,0.7018,0.7569,0.6874,0.7063,56806397.4
64,1625702400000,0.7066,0.7095,0.6326,0.6549,47384055.05
65,1625788800000,0.6556,0.7036,0.628,0.692,37937754.47
66,1625875200000,0.6921,0.7177,0.6485,0.6865,26923821.03
67,1625961600000,0.6866,0.7498,0.6822,0.7127,39506846.87
68,1626048000000,0.7129,0.7418,0.6619,0.67,29534992.87
69,1626134400000,0.67,0.6839,0.626,0.6331,23604887.88
70,1626220800000,0.6333,0.6509,0.5931,0.6384,24086859.57
71,1626307200000,0.6384,0.6523,0.5906,0.6003,23422613.35
72,1626393600000,0.6005,0.6173,0.5761,0.5807,18113424.4
73,1626480000000,0.5805,0.5894,0.5556,0.5587,15902465.73
74,1626566400000,0.5589,0.5864,0.5487,0.5516,12680626.28
75,1626652800000,0.5516,0.5572,0.5021,0.5075,20518109.29
76,1626739200000,0.5076,0.5186,0.4755,0.4921,20906421.42
77,1626825600000,0.4922,0.5766,0.474,0.5575,30643352.07
78,1626912000000,0.5576,0.5624,0.5276,0.5594,22990176.38
79,1626998400000,0.5595,0.5685,0.5173,0.5567,27498368.72
80,1627084800000,0.5569,0.5937,0.535,0.5497,51610243.33
81,1627171200000,0.5497,0.5566,0.5254,0.5425,35903322.78
82,1627257600000,0.5425,0.616,0.5391,0.5501,98194058.87
83,1627344000000,0.5498,0.5919,0.5242,0.5672,37680667.36
84,1627430400000,0.5671,0.582,0.5459,0.5604,34250289.04
85,1627516800000,0.5602,0.6379,0.548,0.5847,65779092.81
86,1627603200000,0.5848,0.6027,0.5537,0.5951,39754573.11
87,1627689600000,0.5947,0.64,0.5842,0.6262,50992663.38
88,1627776000000,0.6261,0.7269,0.6173,0.6594,98071098.5
89,1627862400000,0.6594,0.7,0.6328,0.6922,55853107.08
90,1627948800000,0.6919,0.7088,0.6369,0.6462,44760429.62
91,1628035200000,0.6463,0.6842,0.6227,0.6671,39435362.11
92,1628121600000,0.6671,0.7156,0.6379,0.7006,55588820.22
93,1628208000000,0.7006,0.7238,0.67,0.703,52067114.09
94,1628294400000,0.7029,0.76,0.694,0.732,68526176.37
95,1628380800000,0.732,0.7337,0.6569,0.672,44657470.81
96,1628467200000,0.6712,0.7399,0.646,0.7076,61296734.48
97,1628553600000,0.7075,0.7713,0.6975,0.7498,77923902.47
98,1628640000000,0.7491,0.886,0.7442,0.7893,100237676.44
99,1628726400000,0.7896,0.8699,0.758,0.8086,56103847.88
