,time,Open,High,Low,Close,Volume
0,1623283200000,9.52,24.0,9.52,13.26,7044984.5
1,1623369600000,13.23,18.36,11.79,11.97,9870831.32
2,1623456000000,11.99,12.25,10.6,11.21,2520009.16
3,1623542400000,11.22,11.3,9.54,10.48,2158172.41
4,1623628800000,10.46,12.0,10.0,10.4,2088772.9
5,1623715200000,10.38,11.11,10.21,10.73,1093578.02
6,1623801600000,10.7,11.2,8.96,9.19,1381029.17
7,1623888000000,9.21,9.72,8.24,8.43,931958.7
8,1623974400000,8.44,8.9,7.61,7.97,1929344.08
9,1624060800000,7.99,8.4,7.82,7.97,830724.77
10,1624147200000,7.98,8.12,6.69,7.45,1317191.79
11,1624233600000,7.45,7.68,5.4,5.53,1826273.79
12,1624320000000,5.53,6.17,4.62,5.25,1597056.11
13,1624406400000,5.24,6.29,5.09,5.73,1130490.53
14,1624492800000,5.73,6.12,5.26,5.7,868629.99
15,1624579200000,5.7,6.8,5.57,5.74,1658987.19
16,1624665600000,5.72,6.2,5.29,5.8,861984.23
17,1624752000000,5.82,7.61,5.58,7.2,2255156.49
18,1624838400000,7.2,8.59,7.13,7.45,3638112.95
19,1624924800000,7.45,9.02,7.36,8.49,1975602.63
20,1625011200000,8.48,8.8,7.19,7.74,1444834.34
21,1625097600000,7.76,7.79,6.68,7.05,1340832.64
22,1625184000000,7.05,7.36,6.41,6.87,886583.44
23,1625270400000,6.84,7.9,6.7,7.36,1166624.0
24,1625356800000,7.36,7.8,6.96,7.23,717849.7
25,1625443200000,7.22,7.29,6.61,6.82,921379.55
26,1625529600000,6.84,7.46,6.83,7.13,844664.4
27,1625616000000,7.13,7.46,6.91,7.0,703706.84
28,1625702400000,6.97,7.0,6.2,6.51,753029.39
29,1625788800000,6.49,6.7,6.16,6.47,603561.65
30,1625875200000,6.48,6.75,6.14,6.31,570244.43
31,1625961600000,6.32,6.53,6.27,6.36,258364.03
32,1626048000000,6.35,6.45,5.86,6.12,322382.91
33,1626134400000,6.1,6.26,5.56,5.75,714078.56
34,1626220800000,5.75,5.98,5.34,5.75,522126.67
35,1626307200000,5.75,5.97,5.21,5.4,851671.01
36,1626393600000,5.4,5.57,5.02,5.05,399214.55
37,1626480000000,5.04,6.22,4.82,6.04,1645627.27
38,1626566400000,6.04,6.84,5.7,5.82,2154723.45
39,1626652800000,5.83,5.89,4.97,5.06,1036380.49
40,1626739200000,5.06,5.58,4.79,5.4,1603348.76
41,1626825600000,5.4,5.93,5.21,5.89,1162064.51
42,1626912000000,5.9,6.06,5.58,5.86,815113.94
43,1626998400000,5.87,5.99,5.46,5.81,600149.49
44,1627084800000,5.82,6.73,5.75,6.67,1124596.92
45,1627171200000,6.68,6.75,6.06,6.31,1289551.44
46,1627257600000,6.31,7.91,6.25,6.7,2201793.64
47,1627344000000,6.69,6.95,6.28,6.73,1159011.57
48,1627430400000,6.73,7.03,6.5,6.69,580892.52
49,1627516800000,6.69,6.89,6.47,6.81,581460.15
50,1627603200000,6.82,7.14,6.43,6.87,1034412.17
51,1627689600000,6.88,7.35,6.58,7.17,1033280.25
52,1627776000000,7.18,8.86,7.14,8.09,2309473.25
53,1627862400000,8.09,8.38,7.8,7.86,948664.99
54,1627948800000,7.86,8.05,7.21,7.39,713961.52
55,1628035200000,7.39,7.98,7.23,7.82,530402.76
56,1628121600000,7.83,8.02,7.3,7.83,563609.35
57,1628208000000,7.84,9.15,7.52,8.83,1304723.64
58,1628294400000,8.83,9.58,8.35,9.14,1552099.12
59,1628380800000,9.15,9.47,8.37,8.49,1040615.86
60,1628467200000,8.48,9.15,8.06,8.83,734213.92
61,1628553600000,8.83,9.03,8.36,8.68,905766.02
62,1628640000000,8.68,9.68,8.62,8.92,1134988.34
63,1628726400000,8.91,9.35,8.25,8.43,588635.75
