,time,Open,High,Low,Close,Volume
0,1620172800000,0.9293,1.089,0.9222,1.0576,3929312.92
1,1620259200000,1.058,1.1731,1.013,1.1294,4591642.79
2,1620345600000,1.1259,1.4214,1.1,1.2043,19582359.76
3,1620432000000,1.2004,1.2527,1.1238,1.1571,5371067.16
4,1620518400000,1.1571,1.1853,1.0469,1.12,3758569.7
5,1620604800000,1.1206,1.285,0.9749,1.039,6461900.55
6,1620691200000,1.0385,1.0999,0.946,1.078,3329849.52
7,1620777600000,1.0816,1.975,1.0599,1.1032,105323128.1
8,1620864000000,1.1033,1.52,0.9639,1.1344,28242498.05
9,1620950400000,1.1274,1.495,1.07,1.3534,31108565.82
10,1621036800000,1.3536,1.5462,1.1511,1.1663,30661952.84
11,1621123200000,1.1682,1.3736,1.0689,1.1394,9852951.02
12,1621209600000,1.1394,1.1405,0.9699,1.0127,5089898.92
13,1621296000000,1.0092,1.1047,0.9777,0.9963,4063221.94
14,1621382400000,1.0006,1.0142,0.484,0.6092,6947068.79
15,1621468800000,0.6093,0.7433,0.5556,0.703,3901228.0
16,1621555200000,0.7056,0.7579,0.4934,0.569,5233140.83
17,1621641600000,0.5704,0.975,0.4975,0.7478,49798776.52
18,1621728000000,0.7476,0.945,0.47,0.5496,40698057.8
19,1621814400000,0.5463,0.6788,0.5262,0.6362,13641216.62
20,1621900800000,0.6345,0.66,0.5622,0.6323,6893502.18
21,1621987200000,0.6367,0.6899,0.6195,0.6864,5775554.99
22,1622073600000,0.6878,0.7178,0.6136,0.6631,4889934.14
23,1622160000000,0.6606,0.7257,0.5579,0.6272,11910223.7
24,1622246400000,0.6282,0.6625,0.5553,0.5981,3767757.79
25,1622332800000,0.5956,0.935,0.5667,0.785,70945901.58
26,1622419200000,0.7855,0.98,0.7507,0.8322,50318272.78
27,1622505600000,0.8346,0.8598,0.737,0.7625,11769041.47
28,1622592000000,0.7624,1.1649,0.7167,0.9342,58300751.95
29,1622678400000,0.9299,1.25,0.9228,1.0096,77683076.9
30,1622764800000,1.0096,1.0879,0.8711,0.9453,31206331.26
31,1622851200000,0.9473,1.0211,0.8822,0.9139,13419159.34
32,1622937600000,0.9165,1.125,0.87,0.9533,26807470.43
33,1623024000000,0.9527,0.9833,0.7888,0.8114,10025528.65
34,1623110400000,0.8113,0.8599,0.7217,0.7914,10480039.45
35,1623196800000,0.7948,0.832,0.7411,0.7939,8490497.21
36,1623283200000,0.7939,0.8,0.7,0.716,5453702.47
37,1623369600000,0.7185,0.828,0.6334,0.6589,12808162.36
38,1623456000000,0.6589,0.678,0.6033,0.646,3455507.04
39,1623542400000,0.6459,0.6804,0.6066,0.6561,4136882.19
40,1623628800000,0.6566,0.726,0.6426,0.7116,4602448.79
41,1623715200000,0.7109,0.7907,0.697,0.7168,6907503.79
42,1623801600000,0.7166,0.7871,0.698,0.7085,5678786.77
43,1623888000000,0.7085,0.7723,0.7,0.7133,3186904.5
44,1623974400000,0.7154,0.7286,0.643,0.6667,2576050.71
45,1624060800000,0.6681,0.6856,0.6432,0.649,2014948.0
46,1624147200000,0.6494,0.66,0.5785,0.635,2618712.75
47,1624233600000,0.6357,0.6396,0.5017,0.5045,3370671.55
48,1624320000000,0.5017,0.528,0.3889,0.4461,6162024.78
49,1624406400000,0.4457,0.5199,0.4231,0.4845,2360376.27
50,1624492800000,0.4869,0.4973,0.4526,0.4892,1757098.65
51,1624579200000,0.49,0.5024,0.4257,0.4291,1727249.24
52,1624665600000,0.4283,0.4486,0.4052,0.4369,1663405.5
53,1624752000000,0.4369,0.4609,0.4154,0.448,1905073.31
54,1624838400000,0.448,0.4617,0.433,0.4512,2739661.91
55,1624924800000,0.4506,0.4923,0.45,0.4709,3248818.31
56,1625011200000,0.4709,0.4745,0.4367,0.4658,1715194.84
57,1625097600000,0.4657,0.4658,0.419,0.434,1961755.09
58,1625184000000,0.4352,0.4405,0.4158,0.4378,1768836.79
59,1625270400000,0.4378,0.4758,0.4275,0.459,2177827.48
60,1625356800000,0.459,0.52,0.4486,0.4671,8459588.33
61,1625443200000,0.4671,0.4697,0.4364,0.463,2642069.82
62,1625529600000,0.462,0.4754,0.4489,0.459,1927535.96
63,1625616000000,0.4606,0.4796,0.455,0.4577,2433686.89
64,1625702400000,0.4578,0.4587,0.4205,0.4253,1748222.24
65,1625788800000,0.4258,0.47,0.4136,0.4451,2850977.97
