,time,Open,High,Low,Close,Volume
0,1620172800000,1.5823,1.707,1.5701,1.6544,7508198.91
1,1620259200000,1.6541,1.6708,1.5237,1.5822,7697314.98
2,1620345600000,1.5808,1.6698,1.523,1.5509,3761632.68
3,1620432000000,1.5508,1.6077,1.527,1.5465,1318845.74
4,1620518400000,1.5497,1.61,1.4715,1.534,1530052.66
5,1620604800000,1.5341,1.5799,1.31,1.41,2260340.03
6,1620691200000,1.399,1.4701,1.3337,1.4504,9850959.2
7,1620777600000,1.453,1.4671,1.2265,1.2316,10790088.62
8,1620864000000,1.2316,1.3403,1.0255,1.2593,4212311.56
9,1620950400000,1.2637,1.3475,1.2593,1.2993,22854848.91
10,1621036800000,1.2994,1.3538,1.2311,1.2329,15800184.71
11,1621123200000,1.2313,1.3536,1.209,1.2344,17856217.13
12,1621209600000,1.2359,1.2408,1.1357,1.1437,20207573.04
13,1621296000000,1.144,1.1927,1.1331,1.1701,8467974.94
14,1621382400000,1.1728,1.1844,0.6218,0.7944,19511398.61
15,1621468800000,0.7907,0.8985,0.63,0.7953,35837630.01
16,1621555200000,0.7951,0.8949,0.6024,0.6828,18801082.7
17,1621641600000,0.683,0.6891,0.6017,0.6334,16360021.2
18,1621728000000,0.6334,0.6371,0.4391,0.5074,22245534.21
19,1621814400000,0.5072,0.6371,0.4814,0.6117,13297498.5
20,1621900800000,0.6147,0.98,0.5947,0.8059,34425987.78
21,1621987200000,0.8061,0.8842,0.7377,0.8261,23626012.01
22,1622073600000,0.826,0.8723,0.7351,0.7795,16477972.29
23,1622160000000,0.7795,0.8059,0.6481,0.6801,14357280.01
24,1622246400000,0.6797,0.7316,0.5768,0.6017,7979352.01
25,1622332800000,0.6017,0.6727,0.5619,0.6248,6498034.59
26,1622419200000,0.6249,0.6856,0.5962,0.6719,9430410.14
27,1622505600000,0.6722,0.6789,0.6102,0.6554,6599567.11
28,1622592000000,0.6579,0.871,0.6358,0.7661,14827441.37
29,1622678400000,0.7659,0.8699,0.7468,0.79,8486514.68
30,1622764800000,0.79,0.7904,0.661,0.6927,2613995.62
31,1622851200000,0.6937,0.7499,0.6273,0.6493,2391815.4
32,1622937600000,0.6492,0.843,0.6449,0.7142,8425777.13
33,1623024000000,0.7158,0.7357,0.62,0.6254,17124677.36
34,1623110400000,0.6248,0.6385,0.5467,0.5987,22646186.82
35,1623196800000,0.5985,0.6897,0.5641,0.6586,9242449.47
36,1623283200000,0.658,1.535,0.6342,1.21,216762371.86
37,1623369600000,1.2101,1.2749,0.8794,0.8972,50437893.35
38,1623456000000,0.8972,0.8987,0.7866,0.7968,31209700.63
39,1623542400000,0.7971,0.8779,0.7585,0.8127,29298185.99
40,1623628800000,0.8143,1.0978,0.7878,1.0002,47955121.21
41,1623715200000,1.0001,1.41,0.9993,1.073,88828566.22
42,1623801600000,1.0718,1.1519,0.9874,0.9977,40273182.98
