,time,Open,High,Low,Close,Volume
0,1596412800000,1.3732,1.4926,1.3622,1.4452,139431.5
1,1596499200000,1.4455,1.5109,1.427,1.4809,130977.97
2,1596585600000,1.4776,1.4848,1.4471,1.4591,80431.96
3,1596672000000,1.4589,1.471,1.4113,1.4456,98778.08
4,1596758400000,1.4459,1.4904,1.3637,1.3947,174243.32
5,1596844800000,1.3944,1.443,1.3748,1.4331,203427.96
6,1596931200000,1.4309,1.4512,1.3921,1.4357,152544.81
7,1597017600000,1.4364,1.4924,1.4034,1.4836,220235.58
8,1597104000000,1.4832,1.57,1.3838,1.419,358812.55
9,1597190400000,1.4205,1.4412,1.342,1.4305,181893.33
10,1597276800000,1.431,1.4579,1.3637,1.4579,360091.9
11,1597363200000,1.4552,1.5005,1.4317,1.4767,313199.78
12,1597449600000,1.4721,1.56,1.4414,1.5148,294123.82
13,1597536000000,1.5162,1.6477,1.4539,1.6126,318202.2
14,1597622400000,1.6129,1.693,1.5528,1.6379,411784.76
15,1597708800000,1.6406,1.6783,1.4979,1.5537,256485.94
16,1597795200000,1.5536,1.5726,1.4537,1.5029,148295.54
17,1597881600000,1.5068,1.708,1.5034,1.688,202492.24
18,1597968000000,1.6924,2.1439,1.6862,1.756,1302197.58
19,1598054400000,1.756,1.8634,1.6746,1.8628,389245.13
20,1598140800000,1.8672,1.9268,1.7476,1.7884,228101.57
21,1598227200000,1.791,1.8111,1.7098,1.741,223169.86
22,1598313600000,1.7409,1.7471,1.5693,1.628,340952.92
23,1598400000000,1.6266,1.6779,1.5428,1.6369,209894.63
24,1598486400000,1.6365,1.6468,1.4258,1.497,362605.55
25,1598572800000,1.4965,1.572,1.4888,1.5512,119838.7
26,1598659200000,1.5512,1.5753,1.5145,1.55,135834.92
27,1598745600000,1.55,1.6164,1.547,1.5965,121775.65
28,1598832000000,1.5968,1.675,1.5586,1.6178,205957.19
29,1598918400000,1.6275,1.692,1.5977,1.6585,232904.4
30,1599004800000,1.6583,1.66,1.4401,1.5173,194838.64
31,1599091200000,1.5192,1.5363,1.1966,1.2139,268295.6
32,1599177600000,1.2196,1.3995,1.1995,1.3613,230239.15
33,1599264000000,1.3611,1.3842,1.1904,1.2455,223774.99
34,1599350400000,1.2454,1.293,1.1965,1.2686,108259.46
35,1599436800000,1.2689,1.2854,1.1507,1.2376,104449.51
36,1599523200000,1.2405,1.2588,1.1583,1.2018,84486.7
37,1599609600000,1.2035,1.2388,1.1689,1.22,81088.47
38,1599696000000,1.2213,1.3,1.2115,1.2447,165026.46
39,1599782400000,1.2449,1.2678,1.201,1.2633,99510.19
40,1599868800000,1.2637,1.3545,1.2468,1.3248,282394.34
41,1599955200000,1.3257,1.334,1.1962,1.2342,166052.84
42,1600041600000,1.2326,1.3059,1.2133,1.2647,123195.36
43,1600128000000,1.2644,1.3231,1.2254,1.2519,107394.68
44,1600214400000,1.2525,1.258,1.2059,1.2216,69177.26
45,1600300800000,1.2217,1.2527,1.1898,1.2249,86884.15
46,1600387200000,1.225,1.2563,1.1946,1.2179,88771.99
47,1600473600000,1.2145,1.35,1.2112,1.3238,256156.98
48,1600560000000,1.326,1.4399,1.2761,1.3526,441071.4
49,1600646400000,1.3566,1.3849,1.1322,1.1766,351221.72
50,1600732800000,1.1743,1.2541,1.1633,1.2391,189043.66
51,1600819200000,1.2417,1.2615,1.1403,1.168,197229.92
52,1600905600000,1.1677,1.2299,1.1499,1.2196,125200.92
53,1600992000000,1.2196,1.242,1.1802,1.2217,123351.67
54,1601078400000,1.2218,1.2313,1.2016,1.2224,71506.32
55,1601164800000,1.2223,1.2566,1.1984,1.2354,100326.58
56,1601251200000,1.2369,1.2591,1.2074,1.2208,117297.97
57,1601337600000,1.2204,1.2428,1.21,1.2372,88919.92
58,1601424000000,1.238,1.2737,1.2151,1.2324,181387.43
59,1601510400000,1.2324,1.241,1.1519,1.1773,146495.17
60,1601596800000,1.1773,1.1927,1.0754,1.1377,236888.31
61,1601683200000,1.1377,1.1399,1.1113,1.1343,63281.16
62,1601769600000,1.1342,1.1344,1.0901,1.1111,63493.85
63,1601856000000,1.1113,1.1286,1.106,1.1128,74363.45
64,1601942400000,1.113,1.1145,1.0615,1.0943,95361.99
65,1602028800000,1.0948,1.1026,1.0592,1.0872,60185.44
66,1602115200000,1.0874,1.112,1.0501,1.1066,130442.1
67,1602201600000,1.1069,1.146,1.0819,1.1261,126811.55
68,1602288000000,1.1262,1.16,1.1109,1.1231,136376.24
69,1602374400000,1.1232,1.1355,1.1,1.1316,134998.44
70,1602460800000,1.1313,1.1385,1.0928,1.1196,84941.27
71,1602547200000,1.1197,1.1304,1.1042,1.1092,56551.91
72,1602633600000,1.1085,1.121,1.0981,1.1072,55715.9
73,1602720000000,1.1076,1.137,1.0801,1.1065,92461.52
74,1602806400000,1.1064,1.116,1.0463,1.0685,90624.61
75,1602892800000,1.0688,1.0841,1.0571,1.0639,58732.56
76,1602979200000,1.0639,1.0802,1.0572,1.0654,56353.42
77,1603065600000,1.0654,1.0722,1.0444,1.0664,54249.61
78,1603152000000,1.0664,1.0737,1.0417,1.0509,63429.84
79,1603238400000,1.0507,1.1599,1.0431,1.0762,119502.49
80,1603324800000,1.0762,1.155,1.0722,1.1284,103337.71
81,1603411200000,1.128,1.1326,1.0654,1.0893,86610.75
82,1603497600000,1.0895,1.1073,1.0786,1.0979,71501.97
83,1603584000000,1.097,1.098,1.0684,1.0855,69741.43
84,1603670400000,1.0835,1.0864,1.039,1.0573,83829.7
85,1603756800000,1.0568,1.0748,1.044,1.0554,80818.38
86,1603843200000,1.0557,1.0656,0.911,0.9359,387294.25
87,1603929600000,0.9357,0.9639,0.911,0.9303,100611.4
88,1604016000000,0.9301,1.0543,0.8515,0.8925,233671.18
89,1604102400000,0.8938,0.9629,0.8904,0.9227,78732.12
90,1604188800000,0.9227,0.9602,0.9112,0.9257,50251.41
91,1604275200000,0.9258,0.9534,0.8724,0.8888,81516.7
92,1604361600000,0.8893,0.8896,0.8301,0.8737,91492.05
93,1604448000000,0.8745,0.9035,0.853,0.8858,48129.35
94,1604534400000,0.8872,0.9518,0.8741,0.9096,157145.25
95,1604620800000,0.9099,0.9431,0.8652,0.9322,1271263.17
