,time,Open,High,Low,Close,Volume
0,1620172800000,0.576,0.6149,0.555,0.6149,11250507.33
1,1620259200000,0.6136,0.6145,0.5574,0.5734,9874306.22
2,1620345600000,0.575,0.6149,0.5278,0.5788,11325921.06
3,1620432000000,0.5773,0.6267,0.5672,0.5879,11753094.62
4,1620518400000,0.5879,0.5896,0.5257,0.5639,6083199.01
5,1620604800000,0.564,0.5736,0.5,0.5082,6439094.18
6,1620691200000,0.5066,0.5612,0.4914,0.5499,7340864.44
7,1620777600000,0.5503,0.5981,0.4486,0.4494,10050600.21
8,1620864000000,0.4539,0.596,0.4303,0.4808,20597656.94
9,1620950400000,0.4829,0.5,0.4587,0.4941,6753927.8
10,1621036800000,0.4915,0.5112,0.46,0.4784,5384398.17
11,1621123200000,0.4804,0.5011,0.438,0.47,4286517.1
12,1621209600000,0.4698,0.55,0.4411,0.4799,18287170.0
13,1621296000000,0.4801,0.511,0.4636,0.4874,7001227.67
14,1621382400000,0.4873,0.4937,0.2718,0.3487,11533541.61
15,1621468800000,0.3573,0.4229,0.3502,0.415,8801588.03
16,1621555200000,0.4159,0.5,0.3559,0.43,20165832.95
17,1621641600000,0.4319,0.4691,0.3821,0.4214,10330278.07
18,1621728000000,0.4231,0.59,0.3125,0.564,25959224.77
19,1621814400000,0.5659,0.5773,0.3691,0.5679,35515682.06
20,1621900800000,0.5649,0.6381,0.4515,0.512,15292419.48
21,1621987200000,0.514,0.5315,0.4753,0.5254,8057512.2
22,1622073600000,0.5237,0.5239,0.4685,0.4897,3636821.94
23,1622160000000,0.4911,0.5093,0.4283,0.4489,6374663.78
24,1622246400000,0.45,0.45,0.4001,0.4213,3911482.56
25,1622332800000,0.4204,0.4258,0.3871,0.4218,4332486.16
26,1622419200000,0.4214,0.4364,0.3939,0.4342,3044272.55
27,1622505600000,0.4352,0.4352,0.4094,0.4228,5450316.16
28,1622592000000,0.4238,0.44,0.4108,0.4376,2980673.86
29,1622678400000,0.4372,0.458,0.4227,0.4548,2598936.92
30,1622764800000,0.4543,0.4844,0.4038,0.4245,6974233.97
31,1622851200000,0.4262,0.4384,0.4007,0.4096,2256201.07
32,1622937600000,0.4084,0.44,0.408,0.4189,4139070.91
33,1623024000000,0.4189,0.4367,0.3825,0.388,4913595.84
34,1623110400000,0.3869,0.3931,0.3323,0.376,4812303.23
35,1623196800000,0.376,0.3933,0.3503,0.3933,5315894.77
36,1623283200000,0.3933,0.4315,0.3777,0.394,7357402.61
37,1623369600000,0.3923,0.3951,0.3503,0.3546,4576470.54
38,1623456000000,0.3529,0.3664,0.3166,0.3264,4243820.43
39,1623542400000,0.3275,0.391,0.3264,0.366,28705625.84
40,1623628800000,0.3662,0.3757,0.3476,0.3684,9609154.1
41,1623715200000,0.3684,0.37,0.3535,0.3616,4672273.72
42,1623801600000,0.3616,0.3627,0.3368,0.3448,2425812.46
43,1623888000000,0.3444,0.347,0.3214,0.3373,3303125.65
44,1623974400000,0.3368,0.345,0.3065,0.3149,4588262.24
45,1624060800000,0.3151,0.316,0.2969,0.2994,3584703.38
