,time,Open,High,Low,Close,Volume
0,1620172800000,16.714,18.58,16.531,18.297,668253.778
1,1620259200000,18.322,19.2,17.231,17.396,739799.203
2,1620345600000,17.393,18.449,16.814,17.538,441413.652
3,1620432000000,17.523,18.5,17.18,17.209,485646.232
4,1620518400000,17.197,18.319,16.251,16.798,563484.008
5,1620604800000,16.797,18.888,15.666,16.171,1069659.099
6,1620691200000,16.139,17.5,15.715,17.03,441041.759
7,1620777600000,17.028,17.348,14.408,14.495,406600.261
8,1620864000000,14.495,16.998,13.654,15.043,799587.709
9,1620950400000,15.018,16.028,14.621,15.569,459505.478
10,1621036800000,15.515,15.689,14.351,14.43,388961.781
11,1621123200000,14.429,15.445,13.375,14.192,410659.934
12,1621209600000,14.192,14.932,12.326,14.351,519065.489
13,1621296000000,14.35,17.664,14.205,16.656,1319663.633
14,1621382400000,16.625,19.25,8.3,12.305,1895970.3
15,1621468800000,12.247,13.7,10.512,13.391,1016700.15
16,1621555200000,13.39,16.614,12.107,13.945,1982205.107
17,1621641600000,13.914,14.05,11.702,12.069,1310033.087
18,1621728000000,12.078,12.653,8.41,11.302,978332.003
19,1621814400000,11.329,15.16,11.329,13.563,1478856.959
20,1621900800000,13.528,14.978,12.544,14.011,833419.719
21,1621987200000,14.026,15.75,13.816,15.491,775201.747
22,1622073600000,15.5,18.0,13.886,17.998,1032760.393
23,1622160000000,17.953,23.9,15.0,19.598,5179707.927
24,1622246400000,19.665,20.8,15.116,16.139,2799452.097
25,1622332800000,16.2,17.386,14.684,15.7,1524030.255
26,1622419200000,15.666,16.63,14.922,16.245,875502.075
27,1622505600000,16.2,16.7,15.065,15.242,617903.515
28,1622592000000,15.265,16.35,14.7,15.576,802693.725
29,1622678400000,15.575,16.1,15.058,15.65,807777.017
30,1622764800000,15.65,15.66,14.093,14.868,670480.507
31,1622851200000,14.851,15.124,13.711,14.131,368628.025
32,1622937600000,14.135,14.9,13.934,14.643,208517.122
33,1623024000000,14.674,14.69,12.685,12.876,421364.187
34,1623110400000,12.843,14.724,11.318,13.884,1130803.105
35,1623196800000,13.882,15.304,13.133,13.879,1004142.86
36,1623283200000,13.879,14.258,12.827,13.161,463655.53
37,1623369600000,13.165,14.0,12.679,13.476,364005.199
38,1623456000000,13.473,13.555,12.051,12.344,370940.944
39,1623542400000,12.379,13.365,12.242,13.313,208801.811
40,1623628800000,13.324,13.885,13.073,13.384,281890.948
41,1623715200000,13.385,14.064,13.192,13.44,370183.346
42,1623801600000,13.423,13.79,12.8,13.205,319823.809
43,1623888000000,13.193,14.296,13.037,14.05,1093469.383
44,1623974400000,14.033,14.091,12.501,12.783,1317712.042
45,1624060800000,12.758,12.996,12.534,12.551,168043.427
46,1624147200000,12.579,13.3,12.163,12.609,365891.018
47,1624233600000,12.618,13.035,10.427,10.574,787070.606
48,1624320000000,10.609,11.74,8.8,10.077,1066868.298
49,1624406400000,10.08,12.655,9.62,11.957,1162975.832
50,1624492800000,12.015,12.5,11.325,12.393,608480.397
51,1624579200000,12.379,12.5,10.877,11.436,660164.733
52,1624665600000,11.435,11.646,10.367,11.111,435755.823
53,1624752000000,11.094,12.0,10.57,11.551,377695.316
54,1624838400000,11.587,12.568,11.258,12.171,591601.869
55,1624924800000,12.2,13.45,12.1,12.799,565701.021
56,1625011200000,12.784,13.034,12.076,12.748,443487.106
57,1625097600000,12.757,13.445,12.264,12.869,485312.784
58,1625184000000,12.86,13.019,11.865,12.79,470678.798
59,1625270400000,12.791,13.4,12.2,13.354,448582.579
60,1625356800000,13.35,14.0,12.765,13.42,426402.308
61,1625443200000,13.408,13.697,12.232,12.856,705313.46
62,1625529600000,12.861,13.45,12.77,13.071,388303.638
