,time,Open,High,Low,Close,Volume
0,1620172800000,2.1536,2.417,2.13,2.3844,11131374.01
1,1620259200000,2.3838,2.552,2.2457,2.483,15738815.61
2,1620345600000,2.483,3.0959,2.4,2.7322,44670892.67
3,1620432000000,2.7323,2.8738,2.573,2.6727,18767086.88
4,1620518400000,2.6729,2.6896,2.44,2.6422,11291602.6
5,1620604800000,2.6404,2.8726,2.1505,2.2957,23419528.48
6,1620691200000,2.2959,2.5495,2.1441,2.5093,25302840.92
7,1620777600000,2.5092,2.5794,1.9971,2.0412,16194469.37
8,1620864000000,2.0411,2.2656,1.91,2.1,19328968.28
9,1620950400000,2.0972,2.2785,2.0563,2.138,12922842.43
10,1621036800000,2.138,2.2175,1.9446,2.01,14463974.23
11,1621123200000,2.0108,2.25,1.8658,1.9916,14002852.28
12,1621209600000,1.9926,2.0294,1.76,1.8558,15323890.21
13,1621296000000,1.856,2.025,1.822,1.9111,9864644.06
14,1621382400000,1.9106,1.9592,0.8374,1.1823,42322784.38
15,1621468800000,1.1765,1.48,1.04,1.3884,23289269.12
16,1621555200000,1.39,1.48,1.0703,1.2715,21859901.54
17,1621641600000,1.2692,1.2776,1.089,1.1386,15354336.53
18,1621728000000,1.1359,1.2306,0.7973,0.9756,31646108.27
19,1621814400000,0.9771,1.1929,0.9362,1.1779,16764224.04
20,1621900800000,1.174,1.2197,1.0224,1.1406,15935841.24
21,1621987200000,1.141,1.341,1.1139,1.3394,19964948.21
22,1622073600000,1.3381,1.34,1.1803,1.2327,13858770.29
23,1622160000000,1.2327,1.2488,1.0342,1.079,14440063.41
24,1622246400000,1.0788,1.16,0.9525,1.0142,11954085.28
25,1622332800000,1.0125,1.1078,0.945,1.0584,8840547.18
26,1622419200000,1.0577,1.1581,1.0039,1.1341,9921883.24
27,1622505600000,1.1341,1.1575,1.0736,1.1483,8858981.8
28,1622592000000,1.1487,1.3072,1.111,1.2138,12340003.84
29,1622678400000,1.2136,1.3427,1.2063,1.2575,11288035.33
30,1622764800000,1.2574,1.2591,1.0863,1.1474,8316868.06
31,1622851200000,1.1481,1.2157,1.0631,1.1067,7680327.3
32,1622937600000,1.1067,1.1692,1.0952,1.1533,5041350.45
33,1623024000000,1.1529,1.23,1.0351,1.0402,11637690.89
34,1623110400000,1.0393,1.0646,0.8735,1.0052,17295934.34
35,1623196800000,1.004,1.0692,0.9503,1.0451,12464287.93
36,1623283200000,1.0442,1.0534,0.9564,0.9849,10119752.99
37,1623369600000,0.9853,0.9992,0.875,0.905,10451150.86
