,time,Open,High,Low,Close,Volume
0,1620172800000,17.665,19.85,17.51,19.193,576162.205
1,1620259200000,19.176,19.25,17.663,17.889,599282.555
2,1620345600000,17.89,18.273,16.962,17.71,609612.47
3,1620432000000,17.701,18.975,17.546,17.96,568149.338
4,1620518400000,17.956,19.968,16.714,19.152,819503.676
5,1620604800000,19.153,19.38,15.585,17.119,888245.197
6,1620691200000,17.117,17.783,16.211,17.076,531135.637
7,1620777600000,17.085,25.306,16.768,17.524,4506636.615
8,1620864000000,17.427,22.219,16.366,17.058,2879980.599
9,1620950400000,17.055,18.91,16.812,18.057,1199742.903
10,1621036800000,18.06,18.819,16.072,16.184,986524.688
11,1621123200000,16.244,18.4,15.095,15.833,1126197.517
12,1621209600000,15.822,15.849,13.698,14.465,1231531.803
13,1621296000000,14.444,18.831,14.313,18.004,1942669.008
14,1621382400000,17.999,18.071,8.0,11.784,2646950.721
15,1621468800000,11.715,14.097,10.363,12.935,1085516.522
16,1621555200000,12.935,13.75,8.7,10.249,1597923.469
17,1621641600000,10.236,10.97,9.13,9.494,866877.923
18,1621728000000,9.501,9.928,5.8,7.712,1799269.314
19,1621814400000,7.703,10.8,7.498,10.067,1559487.706
20,1621900800000,10.067,10.422,8.714,9.53,890836.404
21,1621987200000,9.53,11.249,9.484,10.866,740454.417
22,1622073600000,10.866,11.584,9.699,10.707,702099.658
23,1622160000000,10.722,11.038,8.455,8.844,865087.069
24,1622246400000,8.866,9.451,7.832,8.054,518719.54
25,1622332800000,8.054,9.044,7.577,8.487,507451.928
26,1622419200000,8.471,9.477,8.1,9.374,465610.142
27,1622505600000,9.375,9.57,8.888,9.345,377874.389
28,1622592000000,9.343,11.379,9.1,10.353,1227032.33
29,1622678400000,10.343,11.034,10.075,10.649,923396.324
30,1622764800000,10.646,10.657,8.881,9.401,737216.896
31,1622851200000,9.403,10.169,8.84,9.187,598065.169
32,1622937600000,9.187,9.525,9.0,9.276,293968.975
33,1623024000000,9.275,9.973,8.18,8.266,823249.931
34,1623110400000,8.259,8.667,7.07,8.24,1198307.854
35,1623196800000,8.249,9.969,7.673,9.326,1657065.452
36,1623283200000,9.317,9.386,8.256,8.453,803825.965
37,1623369600000,8.478,8.664,7.61,7.705,575481.013
38,1623456000000,7.715,8.235,7.178,7.67,541972.785
39,1623542400000,7.674,8.379,7.233,8.234,593751.622
40,1623628800000,8.247,9.244,7.921,8.699,875176.083
41,1623715200000,8.686,8.85,8.24,8.526,697800.698
42,1623801600000,8.514,8.559,7.75,7.869,698058.679
43,1623888000000,7.855,9.097,7.808,8.356,971598.138
44,1623974400000,8.359,8.409,7.321,7.608,493945.735
45,1624060800000,7.579,8.191,7.435,7.776,513295.251
46,1624147200000,7.776,7.869,6.989,7.65,567616.548
47,1624233600000,7.637,7.841,6.23,6.325,1506602.341
48,1624320000000,6.316,6.747,4.88,5.601,1443954.199
49,1624406400000,5.601,6.5,5.384,5.867,718135.019
50,1624492800000,5.89,6.17,5.539,6.119,722335.235
51,1624579200000,6.12,6.239,5.413,5.512,420530.287
52,1624665600000,5.499,5.674,5.1,5.381,469529.988
53,1624752000000,5.382,5.81,5.304,5.81,442897.601
54,1624838400000,5.817,6.84,5.672,6.708,747842.828
55,1624924800000,6.709,7.458,6.635,6.952,887393.453
56,1625011200000,6.958,7.106,6.349,6.924,709915.613
57,1625097600000,6.94,7.057,6.353,6.567,549467.232
58,1625184000000,6.566,6.829,6.41,6.653,403915.25
59,1625270400000,6.665,7.006,6.571,6.722,600677.893
60,1625356800000,6.714,7.4,6.696,7.102,378481.588
61,1625443200000,7.1,7.467,6.731,7.316,627222.903
62,1625529600000,7.319,8.116,7.308,7.667,834517.057
63,1625616000000,7.664,8.323,7.481,7.52,1018649.044
64,1625702400000,7.519,7.59,6.832,6.943,1235043.454
65,1625788800000,6.931,7.121,6.62,6.962,603090.38
66,1625875200000,6.962,7.055,6.6,6.801,423066.643
67,1625961600000,6.814,7.199,6.543,6.917,391145.099
68,1626048000000,6.905,8.363,6.881,7.563,2298633.805
69,1626134400000,7.557,7.587,6.796,6.893,847115.461
70,1626220800000,6.905,6.987,6.495,6.817,907851.602
71,1626307200000,6.816,7.88,6.75,7.272,961223.154
72,1626393600000,7.291,7.406,6.555,6.563,590387.387
73,1626480000000,6.556,6.622,6.156,6.173,483984.736
74,1626566400000,6.157,6.404,6.131,6.238,348983.761
75,1626652800000,6.238,6.274,5.548,5.562,501480.415
76,1626739200000,5.565,5.616,4.962,5.2,633716.361
77,1626825600000,5.213,6.202,5.051,5.754,753312.058
78,1626912000000,5.759,5.82,5.482,5.621,666147.556
79,1626998400000,5.624,5.877,5.525,5.866,623612.282
80,1627084800000,5.871,5.991,5.524,5.888,685759.506
81,1627171200000,5.901,6.376,5.782,6.135,859938.744
82,1627257600000,6.143,7.329,6.074,6.105,1816811.71
83,1627344000000,6.1,6.522,5.779,6.444,887110.236
84,1627430400000,6.431,6.581,6.035,6.199,784069.846
85,1627516800000,6.201,6.406,6.1,6.278,581316.53
86,1627603200000,6.278,6.687,5.964,6.659,947735.679
87,1627689600000,6.659,7.15,6.47,7.086,675411.299
88,1627776000000,7.073,7.156,6.542,6.556,746009.378
