,time,Open,High,Low,Close,Volume
0,1620172800000,0.11896,0.14,0.11684,0.13919,147015625.6
1,1620259200000,0.13918,0.14923,0.13207,0.14425,123987296.6
2,1620345600000,0.14424,0.165,0.1353,0.14238,147102360.0
3,1620432000000,0.14257,0.15,0.13619,0.13738,53621620.5
4,1620518400000,0.13723,0.14031,0.12806,0.13552,53218386.8
5,1620604800000,0.13553,0.1385,0.11148,0.11944,86592759.8
6,1620691200000,0.1194,0.12848,0.11434,0.12799,58568156.2
7,1620777600000,0.12798,0.13281,0.10745,0.10926,62275829.7
8,1620864000000,0.10899,0.11571,0.10262,0.11142,40479910.2
9,1620950400000,0.11135,0.1161,0.10844,0.1136,25371844.4
10,1621036800000,0.11348,0.11495,0.10689,0.10762,30185584.8
11,1621123200000,0.10773,0.11603,0.10077,0.10614,32037711.7
12,1621209600000,0.10602,0.1063,0.09474,0.0981,47068586.7
13,1621296000000,0.09815,0.10828,0.0968,0.10173,55450975.2
14,1621382400000,0.10162,0.10344,0.05556,0.06679,163732411.1
15,1621468800000,0.06679,0.07849,0.06177,0.07602,76599288.9
16,1621555200000,0.07625,0.08194,0.06336,0.07211,109573054.9
17,1621641600000,0.07197,0.07231,0.06467,0.07053,57189419.9
18,1621728000000,0.07054,0.0717,0.04966,0.05747,85095374.5
19,1621814400000,0.05744,0.06911,0.05549,0.06897,80587126.9
20,1621900800000,0.06905,0.0716,0.06294,0.06858,65599921.8
21,1621987200000,0.06854,0.0753,0.06686,0.07505,78363368.7
22,1622073600000,0.07518,0.07525,0.06833,0.07171,39658423.1
23,1622160000000,0.07188,0.07208,0.06201,0.0643,47295061.2
24,1622246400000,0.06435,0.06674,0.05909,0.0613,38659361.6
25,1622332800000,0.06133,0.0649,0.05873,0.06338,26202714.2
26,1622419200000,0.06325,0.0687,0.06163,0.06826,43410409.6
27,1622505600000,0.06826,0.06909,0.06533,0.06769,27004319.3
28,1622592000000,0.06776,0.07146,0.06593,0.07055,37044168.6
29,1622678400000,0.0706,0.07489,0.0689,0.0746,78452666.8
30,1622764800000,0.0747,0.07525,0.06649,0.07022,52185526.5
31,1622851200000,0.07022,0.07232,0.06574,0.06723,38857833.8
32,1622937600000,0.06739,0.07099,0.06693,0.07078,43264682.3
33,1623024000000,0.07077,0.07174,0.0639,0.06438,52881825.0
34,1623110400000,0.06438,0.06575,0.05961,0.06542,64552895.3
35,1623196800000,0.06534,0.06996,0.06281,0.06976,40291052.2
36,1623283200000,0.06986,0.07381,0.06471,0.06619,106650934.2
37,1623369600000,0.06624,0.06828,0.06056,0.06138,63735699.8
38,1623456000000,0.06135,0.06171,0.05709,0.05939,47487761.9
39,1623542400000,0.05949,0.0618,0.05794,0.06141,26490199.2
40,1623628800000,0.06139,0.06259,0.05977,0.06206,36903489.9
41,1623715200000,0.06207,0.06294,0.06087,0.06171,30722633.0
42,1623801600000,0.06166,0.06318,0.05893,0.05945,59038148.0
43,1623888000000,0.05943,0.06206,0.05903,0.06141,37541014.9
44,1623974400000,0.06141,0.06296,0.05712,0.05829,49488675.3
45,1624060800000,0.05825,0.05928,0.0563,0.05642,44879754.3
46,1624147200000,0.0564,0.05696,0.05146,0.05496,57148565.2
47,1624233600000,0.05503,0.0554,0.04081,0.04091,104461719.5
48,1624320000000,0.04094,0.04264,0.03382,0.03762,123450611.6
49,1624406400000,0.03752,0.04242,0.03596,0.04242,62203776.7
50,1624492800000,0.04237,0.04924,0.04191,0.04728,118425263.6
51,1624579200000,0.04728,0.04898,0.04251,0.04345,71116722.1
52,1624665600000,0.04338,0.04538,0.04125,0.04406,65407925.4
53,1624752000000,0.0441,0.04549,0.04236,0.04529,25281585.7
54,1624838400000,0.04535,0.04745,0.04465,0.04711,27793267.7
55,1624924800000,0.04724,0.05121,0.04681,0.05045,43167218.5
56,1625011200000,0.05035,0.05299,0.04671,0.05222,40188968.2
57,1625097600000,0.05231,0.05233,0.04808,0.04997,33294758.0
58,1625184000000,0.04992,0.05319,0.0481,0.05288,35387477.0
59,1625270400000,0.05282,0.05344,0.05054,0.05344,23200715.3
60,1625356800000,0.05337,0.05462,0.05134,0.05396,27601208.4
61,1625443200000,0.05399,0.05399,0.05035,0.0516,27136806.2
62,1625529600000,0.0516,0.05335,0.05085,0.0527,29127182.9
63,1625616000000,0.05267,0.05636,0.05174,0.05514,37606709.2
64,1625702400000,0.05515,0.05536,0.04924,0.04991,35352146.6
65,1625788800000,0.04989,0.05199,0.04744,0.05164,24150309.6
66,1625875200000,0.0516,0.05369,0.04948,0.05042,40582924.5
67,1625961600000,0.05038,0.05132,0.04892,0.05073,60539191.4
68,1626048000000,0.05072,0.05116,0.04813,0.04911,33862457.8
69,1626134400000,0.04909,0.04924,0.04633,0.04737,41824100.3
70,1626220800000,0.0473,0.04856,0.04483,0.04855,24702701.6
71,1626307200000,0.04859,0.04882,0.04457,0.04503,28523231.5
72,1626393600000,0.045,0.04668,0.04228,0.04242,27631238.9
73,1626480000000,0.04243,0.04308,0.04116,0.04235,32473643.7
74,1626566400000,0.04227,0.0434,0.0414,0.04207,30792579.8
75,1626652800000,0.04213,0.04232,0.03926,0.03969,29024045.7
76,1626739200000,0.03972,0.04027,0.03591,0.03686,40392300.4
77,1626825600000,0.03683,0.04037,0.03624,0.03973,29485656.3
78,1626912000000,0.03966,0.04138,0.03885,0.04091,31815136.5
79,1626998400000,0.04083,0.04207,0.03976,0.04167,15190210.2
80,1627084800000,0.04165,0.04583,0.04011,0.04167,153787588.1
81,1627171200000,0.04165,0.04187,0.04,0.04175,76766610.9
82,1627257600000,0.04171,0.04599,0.04158,0.04287,52979122.5
83,1627344000000,0.04272,0.04481,0.04169,0.04452,24322114.8
84,1627430400000,0.04455,0.04569,0.04368,0.0452,49913207.4
85,1627516800000,0.04515,0.04946,0.04412,0.04906,49530697.0
86,1627603200000,0.04906,0.05068,0.04587,0.05035,51048217.5
87,1627689600000,0.05039,0.05427,0.04952,0.05318,40154863.5
88,1627776000000,0.05333,0.05687,0.052,0.05276,60379941.9
89,1627862400000,0.05275,0.05326,0.0504,0.05261,29703558.0
90,1627948800000,0.05255,0.05285,0.04911,0.05076,43056014.6
91,1628035200000,0.05076,0.05511,0.04925,0.05388,69097978.8
92,1628121600000,0.05389,0.05706,0.05349,0.05677,45502634.0
93,1628208000000,0.05681,0.05877,0.05609,0.05845,26317374.8
94,1628294400000,0.05852,0.06262,0.05827,0.06109,57651458.2
95,1628380800000,0.06108,0.07,0.05645,0.05948,122756503.2
96,1628467200000,0.05941,0.064,0.05613,0.06222,42605316.5
97,1628553600000,0.06211,0.06377,0.05944,0.06204,48429201.9
98,1628640000000,0.06214,0.06843,0.06136,0.06627,69319560.8
99,1628726400000,0.06637,0.07224,0.06619,0.06676,61635904.0
