,time,Open,High,Low,Close,Volume
0,1620172800000,17.686,19.69,17.551,18.476,257834.848
1,1620259200000,18.458,19.478,17.172,17.687,230443.769
2,1620345600000,17.662,17.9,16.605,17.204,210167.591
3,1620432000000,17.247,17.9,16.838,17.075,134504.496
4,1620518400000,17.075,17.255,15.856,15.988,165611.976
5,1620604800000,15.988,16.438,14.6,15.133,194834.409
6,1620691200000,15.135,16.525,14.43,15.287,218371.27
7,1620777600000,15.25,23.202,14.579,14.685,1467591.287
8,1620864000000,14.627,19.599,14.6,15.855,1200889.265
9,1620950400000,15.841,17.876,15.173,17.432,729385.618
10,1621036800000,17.432,29.5,16.744,20.106,5196117.735
11,1621123200000,20.113,24.125,17.726,18.284,2331011.421
12,1621209600000,18.205,20.704,16.527,19.18,1100679.924
13,1621296000000,19.22,28.91,19.1,26.306,3653500.618
14,1621382400000,26.224,27.0,13.15,14.526,2499586.736
15,1621468800000,14.557,17.519,13.08,16.115,1161145.359
16,1621555200000,16.044,21.198,13.543,17.878,1979293.013
17,1621641600000,17.85,18.0,14.653,14.838,866534.649
18,1621728000000,14.846,15.21,7.989,9.946,1063255.996
19,1621814400000,9.924,11.5,8.784,10.37,818383.587
20,1621900800000,10.405,11.375,9.11,10.215,563816.941
21,1621987200000,10.181,11.0,9.754,10.85,382410.404
22,1622073600000,10.821,13.552,9.628,12.5,1248559.807
23,1622160000000,12.565,13.1,10.499,11.045,753740.91
24,1622246400000,11.0,11.624,9.547,10.267,254115.078
25,1622332800000,10.269,10.88,9.636,10.303,150055.918
26,1622419200000,10.337,10.748,9.649,10.482,248848.211
27,1622505600000,10.548,10.643,10.0,10.077,213299.107
28,1622592000000,10.134,10.688,10.063,10.526,190478.994
29,1622678400000,10.515,11.421,10.337,10.751,246492.401
30,1622764800000,10.75,10.995,9.92,10.134,299294.886
31,1622851200000,10.131,10.633,9.75,10.136,201038.063
32,1622937600000,10.125,10.326,9.9,10.138,154249.219
33,1623024000000,10.16,10.6,9.11,9.233,319591.625
34,1623110400000,9.231,9.445,8.012,8.936,194195.376
35,1623196800000,8.914,9.242,8.528,9.13,159018.331
36,1623283200000,9.145,10.394,8.627,10.169,535207.654
37,1623369600000,10.146,12.0,9.325,9.524,1648492.68
38,1623456000000,9.512,9.543,8.39,8.936,368557.91
39,1623542400000,8.945,9.7,8.694,9.263,271938.173
40,1623628800000,9.263,9.848,9.08,9.376,233768.887
41,1623715200000,9.366,9.83,9.02,9.535,274093.603
42,1623801600000,9.535,9.74,9.015,9.081,173535.486
43,1623888000000,9.081,10.273,9.061,9.456,315189.677
44,1623974400000,9.458,9.7,8.613,8.983,172220.113
45,1624060800000,8.973,9.489,8.751,9.105,183468.414
46,1624147200000,9.11,9.293,8.5,8.838,161363.001
47,1624233600000,8.84,8.883,7.06,7.089,225597.028
48,1624320000000,7.117,7.431,6.356,7.042,267150.56
49,1624406400000,7.036,7.7,6.864,7.35,147387.449
50,1624492800000,7.366,7.548,7.053,7.334,110550.829
51,1624579200000,7.365,7.544,6.863,7.023,135527.225
52,1624665600000,7.026,7.74,6.531,7.005,324180.117
53,1624752000000,7.005,7.171,6.822,7.153,98691.034
54,1624838400000,7.141,7.412,6.996,7.187,117629.898
55,1624924800000,7.195,7.475,7.15,7.284,122084.166
56,1625011200000,7.328,7.409,6.957,7.26,156185.287
57,1625097600000,7.256,8.446,6.9,7.536,728298.238
58,1625184000000,7.525,8.187,7.001,7.267,566263.288
59,1625270400000,7.266,7.6,7.12,7.238,227337.682
60,1625356800000,7.238,7.571,7.19,7.344,153280.182
61,1625443200000,7.329,7.499,7.209,7.335,108018.952
62,1625529600000,7.335,7.54,7.255,7.315,105087.616
63,1625616000000,7.336,8.38,7.256,7.733,195403.565
64,1625702400000,7.735,8.02,7.208,7.48,546837.563
65,1625788800000,7.479,7.64,7.284,7.575,76665.218
