,time,Open,High,Low,Close,Volume
0,1620172800000,5.6411,6.3399,5.5901,6.1955,4039489.62
1,1620259200000,6.2038,6.8378,5.9698,6.2579,6316796.12
2,1620345600000,6.2509,7.0027,5.9697,6.5065,8617184.27
3,1620432000000,6.5005,6.6833,6.2015,6.2877,4325884.03
4,1620518400000,6.2877,6.3256,5.9367,6.1353,3284382.44
5,1620604800000,6.1429,6.9393,5.2267,5.6789,9545239.73
6,1620691200000,5.6851,6.3,5.4682,6.0798,4329758.3
7,1620777600000,6.068,6.5,4.9617,5.1076,4929009.17
8,1620864000000,5.1056,5.8214,4.78,5.3491,4933630.61
9,1620950400000,5.3379,5.788,5.2682,5.6194,2323964.26
10,1621036800000,5.6125,5.9,5.0629,5.1238,3419980.5
11,1621123200000,5.1278,5.5854,4.7024,5.0711,3851613.9
12,1621209600000,5.0641,5.0902,4.46,4.6213,4091291.07
13,1621296000000,4.62,5.0534,4.566,5.0392,3026331.55
14,1621382400000,5.0411,5.0798,2.109,3.1498,18774351.24
15,1621468800000,3.1438,4.1554,2.8691,3.9719,19561710.64
16,1621555200000,3.9789,4.1562,3.058,3.4736,15309955.0
17,1621641600000,3.4738,3.6766,3.0848,3.1674,19658668.07
18,1621728000000,3.1681,3.5,2.3022,2.7394,17151392.39
19,1621814400000,2.7436,3.2669,2.6298,3.2086,21202777.06
20,1621900800000,3.206,3.5172,2.875,3.4376,19752337.78
21,1621987200000,3.4347,3.7949,3.3172,3.7949,15306125.02
22,1622073600000,3.7926,4.1147,3.3527,4.0275,16898211.05
23,1622160000000,4.029,4.1749,3.2265,3.3012,17812634.46
24,1622246400000,3.3064,3.487,3.0121,3.143,17198065.04
25,1622332800000,3.1417,3.4815,2.9511,3.2714,10424225.45
26,1622419200000,3.2668,3.6039,3.0775,3.601,3411539.5
27,1622505600000,3.5959,3.6869,3.4222,3.5434,11058886.52
28,1622592000000,3.5461,5.1599,3.51,4.7701,37303609.24
29,1622678400000,4.7701,5.7,4.4841,5.0568,28527937.11
30,1622764800000,5.0572,5.0628,4.3422,4.6465,8103376.73
31,1622851200000,4.6431,5.3274,4.5251,4.7557,9106581.48
32,1622937600000,4.7557,4.9916,4.5267,4.6914,3712056.68
33,1623024000000,4.6914,4.8677,4.0873,4.1425,4170272.24
34,1623110400000,4.1495,4.2413,3.6948,4.0932,5190142.8
35,1623196800000,4.0936,4.1379,3.7806,4.1378,4314673.04
36,1623283200000,4.133,4.2995,3.769,3.8698,4034598.98
37,1623369600000,3.8712,3.91,3.5003,3.5723,2981352.42
38,1623456000000,3.5725,3.7887,3.2944,3.6398,4076418.31
39,1623542400000,3.6363,3.8683,3.4663,3.862,9116103.67
40,1623628800000,3.8618,4.0498,3.7663,4.0018,17723577.01
41,1623715200000,4.0013,4.144,3.83,4.0546,15530509.97
42,1623801600000,4.0547,4.5061,3.8865,4.148,19330351.4
43,1623888000000,4.148,4.2576,3.9265,4.1732,11951280.9
44,1623974400000,4.1732,4.1774,3.6138,3.7586,9679046.37
45,1624060800000,3.766,4.0191,3.65,3.8377,2542879.95
46,1624147200000,3.8391,4.089,3.5786,4.0495,3745856.39
47,1624233600000,4.0536,4.0755,3.0717,3.0861,21410070.76
48,1624320000000,3.0862,3.3627,2.5637,3.2198,22371147.59
49,1624406400000,3.2198,3.6315,3.0725,3.3909,19845640.36
50,1624492800000,3.3923,3.6424,3.2286,3.5471,11867793.64
51,1624579200000,3.5489,3.6645,3.1619,3.2537,4509110.93
52,1624665600000,3.25,3.5076,3.1621,3.4555,4466441.97
53,1624752000000,3.4559,3.5399,3.3145,3.538,2905735.22
54,1624838400000,3.5399,3.6798,3.4664,3.6275,3640591.7
55,1624924800000,3.6275,4.13,3.61,4.0186,4490528.27
56,1625011200000,4.0134,4.5397,3.8719,4.2226,7418995.52
57,1625097600000,4.2222,4.2266,3.75,3.9418,3738069.79
58,1625184000000,3.9382,4.1499,3.7326,4.138,2597012.86
59,1625270400000,4.1415,4.3663,3.9991,4.2902,2524664.35
60,1625356800000,4.2908,4.76,4.1411,4.4952,4001091.31
61,1625443200000,4.4926,4.7799,4.22,4.461,7242416.9
62,1625529600000,4.4695,4.88,4.4112,4.6074,5022550.12
63,1625616000000,4.6032,4.9845,4.4959,4.8143,4354553.06
64,1625702400000,4.8118,4.8781,4.2302,4.3782,4630104.32
65,1625788800000,4.3808,4.5508,4.1539,4.4052,2694102.93
66,1625875200000,4.4033,4.4876,4.1865,4.2991,2834780.34
67,1625961600000,4.2979,4.4748,4.21,4.4427,1582383.8
68,1626048000000,4.4449,4.6594,4.2207,4.3006,3130659.02
69,1626134400000,4.3,4.308,3.9937,4.1117,2402209.13
70,1626220800000,4.1122,4.3234,3.7644,4.2296,3910274.4
71,1626307200000,4.2289,4.2418,3.8744,3.9561,4774183.98
72,1626393600000,3.9543,4.084,3.621,3.7627,4214168.84
73,1626480000000,3.7658,3.9211,3.6701,3.829,1656889.6
74,1626566400000,3.8278,4.1,3.8101,3.9228,2635274.97
75,1626652800000,3.9264,3.9325,3.5531,3.5998,2114676.33
76,1626739200000,3.6024,3.665,3.31,3.3376,2410708.32
77,1626825600000,3.3394,3.7537,3.2155,3.674,11668084.27
78,1626912000000,3.6753,4.0313,3.5804,3.917,12383092.75
79,1626998400000,3.9139,4.5181,3.9139,4.4284,17423590.12
80,1627084800000,4.4284,4.6075,4.278,4.4488,12440709.02
81,1627171200000,4.4543,4.595,4.2259,4.5915,12027242.82
82,1627257600000,4.5879,5.6651,4.52,5.0421,22026399.04
83,1627344000000,5.0369,5.6125,4.75,5.525,18406696.79
84,1627430400000,5.525,5.8088,5.1786,5.3122,11032160.68
85,1627516800000,5.3129,5.62,5.1454,5.265,7425335.07
86,1627603200000,5.2624,5.299,4.9216,5.2878,6766285.75
87,1627689600000,5.2842,5.3349,5.1003,5.2446,11100666.94
88,1627776000000,5.2489,5.76,5.0826,5.2252,12298544.83
89,1627862400000,5.2251,6.1841,5.1624,5.7427,20192917.63
90,1627948800000,5.7426,6.73,5.7426,6.13,20893805.68
91,1628035200000,6.1255,6.2,5.72,6.1358,12108914.19
92,1628121600000,6.1358,6.149,5.743,6.0492,10986281.83
93,1628208000000,6.0486,6.2491,5.8527,6.1105,11517077.09
94,1628294400000,6.1118,6.2899,5.8655,6.0832,11447600.31
95,1628380800000,6.0881,6.1381,5.5433,5.6883,11108164.8
96,1628467200000,5.6872,6.09,5.4188,5.9729,11343321.92
97,1628553600000,5.9712,6.1828,5.814,6.0913,9516659.26
98,1628640000000,6.0978,6.4359,5.9798,6.178,6722417.68
99,1628726400000,6.1806,6.279,5.7409,5.89,5021326.42
