,time,Open,High,Low,Close,Volume
0,1623888000000,0.5386,1.08,0.5386,0.627,182105829.0
1,1623974400000,0.6263,0.6349,0.4992,0.5239,42135708.0
2,1624060800000,0.5239,0.528,0.443,0.4556,29685523.0
3,1624147200000,0.4569,0.4727,0.3941,0.4155,19914773.0
4,1624233600000,0.4154,0.4154,0.295,0.3015,26637814.0
5,1624320000000,0.301,0.33,0.2389,0.2525,51257025.0
6,1624406400000,0.2525,0.3177,0.2414,0.2715,33819460.0
7,1624492800000,0.2715,0.2871,0.2553,0.2704,18811543.0
8,1624579200000,0.2701,0.2867,0.2428,0.2428,24749314.0
9,1624665600000,0.2429,0.261,0.2245,0.2458,22815156.0
10,1624752000000,0.2453,0.3266,0.2427,0.2974,61549980.0
11,1624838400000,0.2974,0.2978,0.2725,0.2843,26709176.0
12,1624924800000,0.2844,0.3167,0.2767,0.2858,22749860.0
13,1625011200000,0.286,0.2921,0.2566,0.271,27625815.0
14,1625097600000,0.271,0.2714,0.2473,0.2521,18778544.0
15,1625184000000,0.2517,0.2686,0.2417,0.261,17085037.0
16,1625270400000,0.2613,0.276,0.2497,0.2635,10065309.0
17,1625356800000,0.2639,0.2823,0.2566,0.2701,16242972.0
18,1625443200000,0.27,0.2712,0.2518,0.2584,10763055.0
19,1625529600000,0.2584,0.3303,0.2556,0.3255,55955654.0
20,1625616000000,0.3253,0.3896,0.312,0.3165,101606908.0
21,1625702400000,0.3163,0.3248,0.275,0.2829,47624116.0
22,1625788800000,0.2827,0.3124,0.2668,0.2809,34612082.0
23,1625875200000,0.2808,0.2956,0.272,0.28,23020724.0
24,1625961600000,0.2799,0.3371,0.2794,0.3097,55198024.0
25,1626048000000,0.3095,0.3127,0.278,0.2905,23683335.0
26,1626134400000,0.2905,0.313,0.2749,0.2883,24138707.0
27,1626220800000,0.2883,0.325,0.2705,0.2968,31093220.0
28,1626307200000,0.2966,0.3037,0.2629,0.2803,31375084.0
29,1626393600000,0.2804,0.2943,0.265,0.2677,18397565.0
30,1626480000000,0.2671,0.2728,0.2566,0.2617,9441287.0
31,1626566400000,0.2616,0.2736,0.2561,0.2609,6355054.0
32,1626652800000,0.2611,0.264,0.243,0.2477,7786934.0
33,1626739200000,0.2474,0.2483,0.2113,0.2223,23195130.0
34,1626825600000,0.223,0.2479,0.213,0.239,13172748.0
35,1626912000000,0.2392,0.2567,0.2305,0.2478,18868074.0
36,1626998400000,0.2483,0.2541,0.2313,0.2461,20111995.0
37,1627084800000,0.2463,0.269,0.242,0.2489,32255469.0
38,1627171200000,0.2489,0.2575,0.2408,0.253,18744536.0
39,1627257600000,0.2528,0.2743,0.2444,0.2449,32323703.0
40,1627344000000,0.2449,0.2597,0.232,0.2524,19079743.0
41,1627430400000,0.2526,0.2579,0.243,0.247,8663823.0
42,1627516800000,0.2471,0.2629,0.2413,0.2614,10846129.0
43,1627603200000,0.2615,0.285,0.2423,0.2766,32281231.0
44,1627689600000,0.2764,0.3468,0.2736,0.2948,50948144.0
45,1627776000000,0.2952,0.3133,0.2684,0.2734,30938647.0
46,1627862400000,0.2734,0.2957,0.2703,0.28,19031252.0
47,1627948800000,0.2805,0.303,0.2752,0.2786,27116191.0
48,1628035200000,0.2791,0.3074,0.2724,0.2918,27496207.0
49,1628121600000,0.2922,0.32,0.2823,0.3118,33864690.0
50,1628208000000,0.312,0.3316,0.3035,0.3143,25415321.0
51,1628294400000,0.3146,0.34,0.3007,0.3194,35885889.0
52,1628380800000,0.3194,0.324,0.2887,0.2943,21589436.0
53,1628467200000,0.2947,0.347,0.2852,0.3313,26894230.0
54,1628553600000,0.3313,0.3799,0.3249,0.3326,68638044.0
55,1628640000000,0.3326,0.3744,0.3325,0.3414,31454922.0
56,1628726400000,0.3418,0.3595,0.32,0.3321,17222616.0
