,time,Open,High,Low,Close,Volume
0,1624492800000,0.8974,1.356,0.8974,1.0157,34224060.0
1,1624579200000,1.0158,1.0791,0.9178,0.931,9375602.0
2,1624665600000,0.93,0.965,0.8635,0.9341,3597904.0
3,1624752000000,0.9341,1.0014,0.92,0.9933,2319212.0
4,1624838400000,0.9911,1.046,0.957,1.0028,2989909.0
5,1624924800000,1.0029,1.07,1.0004,1.0301,3946774.0
6,1625011200000,1.0289,1.0322,0.956,1.0241,1762565.0
7,1625097600000,1.0243,1.04,0.953,0.9745,1712900.0
8,1625184000000,0.9745,1.0359,0.9394,0.9784,2043087.0
9,1625270400000,0.9771,1.054,0.9641,1.0084,2158216.0
10,1625356800000,1.0084,1.04,0.9998,1.0177,1408172.0
11,1625443200000,1.0199,1.0763,0.9997,1.017,3772542.0
12,1625529600000,1.017,1.06,1.0046,1.0235,2682586.0
13,1625616000000,1.0235,1.0522,1.002,1.0045,2355550.0
14,1625702400000,1.005,1.0086,0.931,0.9405,1847518.0
15,1625788800000,0.9421,1.0392,0.9,0.9581,2538217.0
16,1625875200000,0.955,0.9754,0.93,0.9517,1154327.0
17,1625961600000,0.9517,0.9999,0.94,0.9827,1187757.0
18,1626048000000,0.985,0.99,0.9312,0.9453,1854646.0
19,1626134400000,0.9489,0.9516,0.903,0.917,1135100.0
20,1626220800000,0.9214,0.9353,0.8645,0.9186,1719300.0
21,1626307200000,0.919,0.9485,0.8788,0.9001,778470.0
22,1626393600000,0.9044,0.9246,0.8698,0.879,667048.0
23,1626480000000,0.879,0.8926,0.861,0.8899,765046.0
24,1626566400000,0.8868,0.9217,0.8857,0.9042,777185.0
25,1626652800000,0.9076,0.9729,0.8743,0.9165,2389598.0
26,1626739200000,0.9111,1.23,0.824,0.8876,8143823.0
27,1626825600000,0.8875,0.96,0.8646,0.938,2142352.0
28,1626912000000,0.9371,0.9561,0.9166,0.944,928017.0
29,1626998400000,0.9467,0.985,0.9234,0.9707,1483181.0
30,1627084800000,0.972,1.0,0.9561,0.9888,1527307.0
31,1627171200000,0.9931,0.999,0.9592,0.9902,1083261.0
32,1627257600000,0.9924,1.0999,0.984,1.0003,2812904.0
33,1627344000000,1.0023,1.0124,0.9525,1.0056,1278914.0
34,1627430400000,1.0057,1.0463,0.9962,1.0086,1243423.0
35,1627516800000,1.0087,1.0378,0.9984,1.0244,1129008.0
36,1627603200000,1.0244,1.0734,1.0004,1.047,1754002.0
37,1627689600000,1.047,1.0916,1.0244,1.0569,951881.0
38,1627776000000,1.0568,1.0805,1.0047,1.0229,1108709.0
39,1627862400000,1.0191,1.0452,1.0061,1.0287,835606.0
40,1627948800000,1.0291,1.0354,0.9976,1.009,1490159.0
41,1628035200000,1.0091,1.0814,1.0053,1.0773,2551755.0
42,1628121600000,1.0773,1.0844,1.0233,1.0837,1942617.0
43,1628208000000,1.0836,1.25,1.0625,1.1886,3421098.0
44,1628294400000,1.1884,1.3006,1.1824,1.2469,3874372.0
45,1628380800000,1.2464,1.2933,1.1778,1.1989,2054376.0
46,1628467200000,1.1989,1.2359,1.1505,1.2304,1549975.0
47,1628553600000,1.232,1.3048,1.2057,1.2582,2663766.0
48,1628640000000,1.2629,1.5251,1.2587,1.4306,4585332.0
49,1628726400000,1.4306,1.602,1.4305,1.4514,3404437.0
