,time,Open,High,Low,Close,Volume
0,1620172800000,2.5347,2.8455,2.505,2.8066,1493491.97
1,1620259200000,2.8156,3.7192,2.7621,3.134,13692192.27
2,1620345600000,3.1339,3.815,2.9145,3.1899,5680186.71
3,1620432000000,3.1899,4.1399,3.093,3.51,10352037.74
4,1620518400000,3.5104,3.6649,3.3215,3.4255,3127318.03
5,1620604800000,3.4255,3.447,2.708,2.9342,2491950.26
6,1620691200000,2.9345,3.1134,2.746,3.1133,2139534.59
7,1620777600000,3.1133,3.4918,2.4516,2.4974,2285680.63
8,1620864000000,2.4985,2.6417,2.2501,2.451,2764774.18
9,1620950400000,2.4588,2.6387,2.4022,2.6074,1508626.58
10,1621036800000,2.6078,2.6078,2.2669,2.3513,1188456.43
11,1621123200000,2.3563,2.5397,2.151,2.3136,1430470.98
12,1621209600000,2.3055,2.3114,1.9308,2.0364,2805626.48
13,1621296000000,2.0365,2.375,2.0038,2.2346,3526311.73
14,1621382400000,2.2302,2.3851,1.1647,1.5064,4667114.67
15,1621468800000,1.5056,1.8193,1.3156,1.774,1807228.57
16,1621555200000,1.7739,2.07,1.4524,1.7481,3493732.0
17,1621641600000,1.7475,1.9499,1.6021,1.7019,4495906.66
18,1621728000000,1.705,1.7695,1.1001,1.3635,2677294.36
19,1621814400000,1.3695,1.661,1.258,1.6492,2372006.43
20,1621900800000,1.6514,1.7697,1.4649,1.695,1789388.22
21,1621987200000,1.6958,1.8608,1.6066,1.8083,1351948.59
22,1622073600000,1.8178,1.8245,1.6266,1.7526,620604.23
23,1622160000000,1.7534,1.7546,1.4528,1.5351,1012262.45
24,1622246400000,1.5356,1.6897,1.3581,1.4465,914899.09
25,1622332800000,1.4366,1.5245,1.3285,1.4793,828875.13
26,1622419200000,1.4793,1.5726,1.3884,1.5462,679288.86
27,1622505600000,1.5454,1.6767,1.4857,1.5844,1776279.63
28,1622592000000,1.5775,1.8697,1.5279,1.651,3507779.08
29,1622678400000,1.6429,1.853,1.6001,1.7113,1629908.24
30,1622764800000,1.7225,1.7228,1.4607,1.5508,1075596.9
31,1622851200000,1.5497,1.6347,1.4634,1.489,769260.39
32,1622937600000,1.4967,1.7081,1.4766,1.56,1920156.2
33,1623024000000,1.5563,1.7481,1.4889,1.5134,2047041.06
34,1623110400000,1.5112,1.5282,1.2696,1.4082,1875902.76
35,1623196800000,1.4038,1.6845,1.3962,1.5401,4271058.17
36,1623283200000,1.5401,1.5401,1.4227,1.449,4385332.83
37,1623369600000,1.4442,1.4999,1.1493,1.1621,8517555.2
38,1623456000000,1.1647,1.177,0.9989,1.0413,5539810.17
39,1623542400000,1.0442,1.1315,1.006,1.1019,4700289.2
40,1623628800000,1.1041,1.128,1.0415,1.1277,3763170.68
41,1623715200000,1.1277,1.169,1.1027,1.1359,2090434.63
42,1623801600000,1.1378,1.1379,1.0365,1.0567,1567439.34
43,1623888000000,1.0568,1.1069,1.0022,1.0395,9254843.08
44,1623974400000,1.0416,1.0712,0.83,0.8898,5999430.51
45,1624060800000,0.8916,0.918,0.8369,0.8403,1772392.91
46,1624147200000,0.8428,0.8656,0.7522,0.8603,2456361.45
47,1624233600000,0.8579,0.8606,0.6093,0.6132,3579749.14
48,1624320000000,0.6129,0.6443,0.483,0.5813,3894554.69
49,1624406400000,0.5815,0.66,0.5478,0.6159,2434743.35
50,1624492800000,0.6139,0.67,0.6009,0.6678,1751863.6
51,1624579200000,0.6699,0.6939,0.569,0.5998,3050313.45
52,1624665600000,0.6012,0.6027,0.5364,0.5734,2029071.86
53,1624752000000,0.5735,0.5923,0.5155,0.5475,4618507.84
54,1624838400000,0.5475,0.5775,0.5076,0.5586,9618846.55
55,1624924800000,0.5586,0.64,0.5557,0.6011,8936326.16
