,time,Open,High,Low,Close,Volume
0,1620172800000,2.967,3.29,2.935,3.284,3132663.321
1,1620259200000,3.285,3.6,3.168,3.556,7473586.953
2,1620345600000,3.552,4.25,3.39,3.54,13431365.432
3,1620432000000,3.537,3.69,3.369,3.441,5772965.007
4,1620518400000,3.44,3.467,3.206,3.368,4291836.923
5,1620604800000,3.37,3.994,2.98,3.301,10819157.002
6,1620691200000,3.301,3.437,3.061,3.387,4987370.049
7,1620777600000,3.388,3.701,2.844,2.926,7351745.632
8,1620864000000,2.924,3.19,2.732,2.987,5892450.791
9,1620950400000,2.99,3.25,2.965,3.154,3064819.664
10,1621036800000,3.152,3.198,2.804,2.819,3369818.021
11,1621123200000,2.829,3.036,2.556,2.71,3921344.005
12,1621209600000,2.71,2.776,2.41,2.488,4533221.206
13,1621296000000,2.493,2.932,2.465,2.806,4362374.35
14,1621382400000,2.806,2.898,1.38,1.889,11658474.148
15,1621468800000,1.893,2.279,1.739,2.135,7708537.582
16,1621555200000,2.135,2.26,1.681,1.913,10116643.528
17,1621641600000,1.913,1.938,1.642,1.715,6893734.849
18,1621728000000,1.715,1.788,1.188,1.44,8662001.7
19,1621814400000,1.441,1.764,1.394,1.728,6467486.354
20,1621900800000,1.728,1.811,1.507,1.732,5792514.209
21,1621987200000,1.73,2.019,1.68,2.01,7460823.832
22,1622073600000,2.01,2.049,1.79,1.876,5452587.161
23,1622160000000,1.876,1.896,1.539,1.606,5204847.675
24,1622246400000,1.606,1.692,1.419,1.535,5269749.134
25,1622332800000,1.538,1.649,1.42,1.569,2813838.366
26,1622419200000,1.569,1.7,1.48,1.693,3764025.376
27,1622505600000,1.691,2.099,1.574,2.034,15203299.159
28,1622592000000,2.032,2.717,2.007,2.465,47200334.315
29,1622678400000,2.465,2.671,2.356,2.408,12163366.17
30,1622764800000,2.409,2.416,2.093,2.179,6892557.369
31,1622851200000,2.181,2.357,2.014,2.081,4824244.02
32,1622937600000,2.081,2.476,2.055,2.412,7354375.42
33,1623024000000,2.41,2.415,2.044,2.079,7549435.342
34,1623110400000,2.079,2.116,1.82,1.984,7790468.923
35,1623196800000,1.985,2.149,1.853,2.076,5038545.182
36,1623283200000,2.078,2.085,1.879,1.896,4465174.486
37,1623369600000,1.898,1.92,1.689,1.787,4661870.378
38,1623456000000,1.79,1.791,1.582,1.668,3898504.287
39,1623542400000,1.669,1.959,1.599,1.915,6480658.027
40,1623628800000,1.915,2.07,1.857,1.903,10115138.369
41,1623715200000,1.903,1.956,1.84,1.86,3749962.332
42,1623801600000,1.86,2.12,1.761,2.081,13774270.728
43,1623888000000,2.081,2.085,1.906,1.945,5007241.08
44,1623974400000,1.945,1.946,1.722,1.785,3592239.304
45,1624060800000,1.786,1.835,1.728,1.743,2109470.799
46,1624147200000,1.742,1.767,1.601,1.716,2782453.79
47,1624233600000,1.716,1.726,1.303,1.305,6216363.897
48,1624320000000,1.305,1.414,1.082,1.227,11111497.918
49,1624406400000,1.227,1.44,1.173,1.349,4944530.799
50,1624492800000,1.35,1.43,1.258,1.407,3360107.245
51,1624579200000,1.408,1.448,1.22,1.228,5716367.78
52,1624665600000,1.229,1.349,1.157,1.343,6025568.081
53,1624752000000,1.343,1.359,1.237,1.35,3880335.523
54,1624838400000,1.353,1.433,1.314,1.4,4620803.003
55,1624924800000,1.402,1.569,1.398,1.542,4735199.779
