,time,Open,High,Low,Close,Volume
0,1620172800000,389.03,431.38,385.75,428.5,55544.795
1,1620259200000,428.49,454.0,412.2,446.76,115326.6775
2,1620345600000,446.85,458.26,422.34,431.0,85632.757
3,1620432000000,431.17,476.0,426.01,433.45,73571.2406
4,1620518400000,434.19,458.64,425.0,450.58,60224.7391
5,1620604800000,451.01,459.88,378.65,408.03,95534.5032
6,1620691200000,408.73,440.64,388.7,440.58,74915.0181
7,1620777600000,439.86,535.0,434.34,465.37,316605.8418
8,1620864000000,461.27,588.88,429.5,527.91,606937.4326
9,1620950400000,528.34,597.93,504.16,597.33,274399.7824
10,1621036800000,597.36,620.0,535.52,545.27,232573.633
11,1621123200000,546.22,609.0,494.56,541.47,208217.9279
12,1621209600000,541.22,607.48,480.0,571.7,331691.1097
13,1621296000000,572.01,625.0,560.0,592.29,251267.9178
14,1621382400000,592.54,620.0,158.75,337.65,599302.7948
15,1621468800000,337.0,449.94,284.0,388.34,499833.9261
16,1621555200000,388.71,438.83,264.22,337.39,485653.3769
17,1621641600000,337.39,353.99,282.11,314.73,223527.2051
18,1621728000000,314.41,337.08,201.0,260.84,445993.1836
19,1621814400000,260.61,349.0,251.78,348.66,341663.4524
20,1621900800000,348.9,372.98,281.56,322.21,358158.9582
21,1621987200000,321.69,361.0,309.78,343.15,246156.1736
22,1622073600000,343.0,343.82,300.88,315.86,178239.1281
23,1622160000000,316.14,343.45,270.5,289.37,248336.3541
24,1622246400000,289.38,302.18,258.0,296.5,141378.9673
25,1622332800000,296.17,320.75,274.01,309.12,170760.8813
26,1622419200000,308.87,379.87,289.69,371.0,200917.0332
27,1622505600000,371.09,377.21,347.14,367.28,191397.2526
28,1622592000000,367.69,477.0,361.12,446.53,301115.4742
29,1622678400000,446.63,487.77,445.09,463.53,244496.9703
30,1622764800000,463.72,464.13,380.2,419.04,389381.4118
31,1622851200000,418.06,454.19,383.01,401.98,221195.3215
32,1622937600000,402.6,423.18,395.88,422.47,91559.7002
33,1623024000000,422.59,446.59,367.41,378.28,205872.2521
34,1623110400000,378.6,420.0,342.35,411.21,488366.8403
35,1623196800000,411.78,518.57,388.16,510.21,468573.6674
36,1623283200000,510.47,537.0,458.0,474.3,516906.3676
37,1623369600000,474.42,493.62,404.32,415.93,312402.8211
38,1623456000000,415.65,428.34,383.34,399.56,287034.7876
39,1623542400000,399.58,449.62,385.28,434.1,208172.8375
40,1623628800000,434.09,439.6,398.0,427.0,245270.4629
41,1623715200000,427.01,429.16,380.0,380.0,236591.4423
42,1623801600000,380.0,389.77,353.93,366.92,234387.4952
43,1623888000000,366.66,377.4,338.1,347.23,151563.3666
44,1623974400000,347.48,347.58,299.56,315.54,223646.6868
45,1624060800000,315.53,327.8,300.11,300.48,143139.5036
46,1624147200000,300.5,315.0,271.81,300.05,219907.3708
47,1624233600000,300.25,302.77,207.66,211.72,449328.871
48,1624320000000,211.63,235.33,163.49,182.82,737801.1698
49,1624406400000,182.84,225.0,172.5,204.07,443183.6068
50,1624492800000,204.11,217.27,186.35,205.75,279429.0632
51,1624579200000,205.76,213.3,172.17,174.0,328901.284
52,1624665600000,174.0,181.2,156.69,173.49,300592.1116
53,1624752000000,173.01,179.51,161.83,179.4,216719.3064
54,1624838400000,179.39,230.0,175.5,219.94,565344.7499
55,1624924800000,219.95,238.45,206.1,213.61,529972.6729
