,time,Open,High,Low,Close,Volume
0,1620172800000,0.1042,0.1146,0.102,0.1107,375857938.59
1,1620259200000,0.1107,0.1144,0.102,0.1029,397926504.62
2,1620345600000,0.1029,0.1088,0.0962,0.0995,305019905.2
3,1620432000000,0.0995,0.1067,0.0975,0.101,280868271.49
4,1620518400000,0.101,0.103,0.0931,0.0993,254857953.93
5,1620604800000,0.0994,0.1022,0.0767,0.0862,347618155.26
6,1620691200000,0.0862,0.092,0.0832,0.09,269519546.18
7,1620777600000,0.09,0.0936,0.0722,0.0749,325529043.55
8,1620864000000,0.0743,0.0837,0.07,0.0757,339918387.62
9,1620950400000,0.0758,0.0858,0.0752,0.0809,245002951.71
10,1621036800000,0.0809,0.0823,0.0721,0.0731,222459885.42
11,1621123200000,0.0732,0.0856,0.0703,0.075,304045694.28
12,1621209600000,0.0749,0.0751,0.0636,0.0667,326884230.33
13,1621296000000,0.0666,0.0731,0.0654,0.0704,299585283.49
14,1621382400000,0.0705,0.0719,0.0318,0.0404,754314706.44
15,1621468800000,0.0406,0.0498,0.036,0.0476,410323576.08
16,1621555200000,0.0476,0.0514,0.0346,0.0401,394455128.48
17,1621641600000,0.0402,0.056,0.0347,0.0531,1148535301.35
18,1621728000000,0.0531,0.0532,0.0317,0.0386,927934312.6
19,1621814400000,0.0386,0.0454,0.0386,0.0449,621808676.13
20,1621900800000,0.0449,0.0488,0.0394,0.0439,396051067.5
21,1621987200000,0.044,0.0506,0.0427,0.0493,350540158.69
22,1622073600000,0.0493,0.054,0.044,0.0511,368727071.06
23,1622160000000,0.0511,0.0513,0.04,0.0425,386341389.95
24,1622246400000,0.0426,0.044,0.038,0.0394,221808961.85
25,1622332800000,0.0393,0.0422,0.0372,0.0405,187522786.28
26,1622419200000,0.0404,0.0438,0.0387,0.0436,209925027.39
27,1622505600000,0.0436,0.0449,0.0409,0.0427,218204025.68
28,1622592000000,0.0428,0.0476,0.0415,0.0462,223488228.04
29,1622678400000,0.0462,0.0508,0.0443,0.0493,304564658.28
30,1622764800000,0.0493,0.0495,0.0405,0.0434,276384177.52
31,1622851200000,0.0434,0.0456,0.04,0.0413,188852350.27
32,1622937600000,0.0413,0.0434,0.0406,0.0416,127342472.0
33,1623024000000,0.0416,0.0445,0.0378,0.0384,208674636.53
34,1623110400000,0.0384,0.039,0.0335,0.0363,251030191.32
35,1623196800000,0.0362,0.0393,0.0344,0.0392,236764958.85
36,1623283200000,0.0393,0.0398,0.034,0.0345,267662840.46
37,1623369600000,0.0345,0.0351,0.0324,0.0327,216906965.26
38,1623456000000,0.0327,0.0329,0.03,0.0311,214132570.85
39,1623542400000,0.0311,0.0348,0.0301,0.0332,233058630.9
40,1623628800000,0.0332,0.0345,0.032,0.0339,228604505.14
41,1623715200000,0.0339,0.0355,0.0331,0.0352,227008478.87
42,1623801600000,0.0351,0.0383,0.0335,0.0341,426095430.22
43,1623888000000,0.0341,0.036,0.0328,0.0338,179309129.7
44,1623974400000,0.0337,0.034,0.0297,0.031,189223838.53
45,1624060800000,0.031,0.032,0.0297,0.0299,171623229.52
46,1624147200000,0.0299,0.0309,0.0272,0.0294,201485309.2
47,1624233600000,0.0294,0.0298,0.0231,0.0234,286712412.35
48,1624320000000,0.0235,0.0255,0.0201,0.0226,401951921.26
49,1624406400000,0.0225,0.0254,0.0217,0.0244,240460025.43
50,1624492800000,0.0244,0.0251,0.0232,0.0245,144808109.55
51,1624579200000,0.0244,0.0252,0.0215,0.0219,182829309.69
52,1624665600000,0.0218,0.0225,0.0203,0.0218,135553206.12
53,1624752000000,0.0218,0.0232,0.0214,0.0231,129036589.67
54,1624838400000,0.0231,0.0248,0.0228,0.0244,173618660.33
55,1624924800000,0.0244,0.028,0.0243,0.026,366481980.24
56,1625011200000,0.026,0.0265,0.0241,0.0259,177943577.78
57,1625097600000,0.026,0.0278,0.0233,0.0274,327954091.26
58,1625184000000,0.0274,0.0276,0.025,0.0263,267317441.58
59,1625270400000,0.0263,0.0277,0.0256,0.0272,111501506.36
60,1625356800000,0.0273,0.0332,0.0263,0.0318,490037491.85
61,1625443200000,0.0319,0.0355,0.029,0.0332,933666974.93
62,1625529600000,0.0332,0.0438,0.0331,0.0422,1351621288.16
63,1625616000000,0.0422,0.0455,0.0369,0.0381,927839335.09
64,1625702400000,0.0381,0.0387,0.0325,0.0334,766359897.27
65,1625788800000,0.0333,0.0354,0.0316,0.0336,465207177.64
