,time,Open,High,Low,Close,Volume
0,1620172800000,0.9064,0.9335,0.7428,0.762,4698050.41
1,1620259200000,0.7601,0.9554,0.741,0.8564,2044600.36
2,1620345600000,0.8695,0.9362,0.6347,0.727,4142002.15
3,1620432000000,0.7269,0.8393,0.6915,0.7495,1448610.37
4,1620518400000,0.7579,0.8718,0.595,0.6001,2694541.12
5,1620604800000,0.6031,0.9702,0.5824,0.6741,3707096.29
6,1620691200000,0.6847,0.7675,0.5725,0.5725,1772836.75
7,1620777600000,0.574,0.8203,0.5433,0.7876,1581702.53
8,1620864000000,0.7876,0.861,0.6672,0.7141,1859088.28
9,1620950400000,0.7165,0.7212,0.5538,0.5983,1853391.59
10,1621036800000,0.597,0.7843,0.5551,0.7648,1553444.65
11,1621123200000,0.7749,0.8983,0.6654,0.8053,903832.62
12,1621209600000,0.8017,1.0268,0.7244,0.8888,1239764.86
13,1621296000000,0.8861,0.9328,0.5171,0.5686,4776236.6
14,1621382400000,0.568,2.3,0.3403,0.4706,10124324.46
15,1621468800000,0.471,0.6319,0.2336,0.2759,9341435.98
16,1621555200000,0.2792,0.51,0.2602,0.3741,14140231.72
17,1621641600000,0.3717,0.4938,0.3237,0.3919,11178152.63
18,1621728000000,0.3945,0.893,0.3659,0.5134,13737826.97
19,1621814400000,0.5111,0.6819,0.323,0.3242,13575236.3
20,1621900800000,0.3255,0.3769,0.2858,0.2871,10066510.09
21,1621987200000,0.2912,0.3088,0.1635,0.1671,34255064.62
22,1622073600000,0.1671,0.2214,0.1516,0.1946,64032009.56
23,1622160000000,0.1944,0.3,0.1879,0.2408,70028627.19
24,1622246400000,0.241,0.3198,0.2061,0.2908,48848092.82
25,1622332800000,0.2908,0.33,0.1857,0.239,43540017.11
26,1622419200000,0.2395,0.2673,0.1526,0.1527,56358702.54
27,1622505600000,0.1526,0.18,0.1472,0.1614,48880170.28
28,1622592000000,0.1609,0.1736,0.1434,0.1612,26781677.7
29,1622678400000,0.1625,0.1691,0.1366,0.1439,39642110.94
30,1622764800000,0.1435,0.2047,0.1431,0.1825,60490834.48
31,1622851200000,0.1819,0.2263,0.1651,0.2062,36081992.97
32,1622937600000,0.2063,0.2259,0.1913,0.2013,17231085.19
33,1623024000000,0.2009,0.2597,0.1849,0.25,29415166.59
34,1623110400000,0.2489,0.3222,0.2216,0.2405,30601030.13
35,1623196800000,0.2408,0.2904,0.1989,0.2005,39534082.27
36,1623283200000,0.2005,0.275,0.1956,0.2612,36025486.83
37,1623369600000,0.2615,0.3245,0.2538,0.3091,35622246.64
38,1623456000000,0.3096,0.3548,0.2869,0.3059,52702193.08
39,1623542400000,0.305,0.344,0.2138,0.2306,49514407.29
40,1623628800000,0.231,0.2434,0.1779,0.1868,55835981.58
41,1623715200000,0.1865,0.1915,0.1625,0.19,58073991.55
42,1623801600000,0.1897,0.2148,0.1882,0.212,48518951.94
43,1623888000000,0.212,0.2175,0.1895,0.2067,32265835.17
44,1623974400000,0.2072,0.2683,0.2064,0.2506,37122309.6
45,1624060800000,0.2506,0.2778,0.2318,0.2765,22235203.65
46,1624147200000,0.2766,0.3122,0.2131,0.2251,37480520.51
47,1624233600000,0.2254,0.388,0.22,0.3658,56099144.07
48,1624320000000,0.3672,0.4889,0.2902,0.337,50173344.2
49,1624406400000,0.337,0.362,0.25,0.2792,29407035.24
