,time,Open,High,Low,Close,Volume
0,1620172800000,22.667,28.282,22.039,25.802,865371.77
1,1620259200000,25.802,26.058,19.75,21.222,543438.27
2,1620345600000,21.319,24.999,20.149,22.744,747766.78
3,1620432000000,22.84,23.672,20.72,22.3,275869.29
4,1620518400000,22.345,25.258,20.065,25.05,424872.75
5,1620604800000,25.051,25.743,15.6,19.999,591108.61
6,1620691200000,19.894,21.872,18.601,21.84,271626.03
7,1620777600000,21.857,22.698,15.555,16.04,276915.79
8,1620864000000,16.02,19.714,14.28,17.333,425555.56
9,1620950400000,17.338,20.621,17.083,19.728,248253.66
10,1621036800000,19.619,20.615,15.587,15.918,319204.69
11,1621123200000,15.94,18.151,13.395,15.328,298889.63
12,1621209600000,15.316,16.539,11.5,12.86,361891.5
13,1621296000000,12.919,17.517,12.529,16.215,461453.14
14,1621382400000,16.26,17.3,3.52,5.621,4895068.86
15,1621468800000,5.72,9.955,3.6,8.344,2007334.35
16,1621555200000,8.344,9.5,3.4,4.898,2755659.18
17,1621641600000,4.879,5.157,3.511,3.894,2252118.03
18,1621728000000,3.901,4.3,1.322,2.42,6119043.8
19,1621814400000,2.47,4.185,2.401,4.124,4858694.14
20,1621900800000,4.13,4.574,3.282,4.54,2135340.75
21,1621987200000,4.549,6.681,4.334,6.622,2890434.85
22,1622073600000,6.597,7.3,5.387,5.831,2534794.29
23,1622160000000,5.842,6.164,4.303,4.6,3525015.03
24,1622246400000,4.601,5.141,3.563,3.927,2436216.86
25,1622332800000,3.894,4.939,3.43,4.277,2597399.14
26,1622419200000,4.267,5.876,3.93,5.863,2660345.81
27,1622505600000,5.863,6.078,4.917,5.43,1763593.54
28,1622592000000,5.447,5.903,5.12,5.405,1259268.42
29,1622678400000,5.403,6.165,5.193,5.94,1391717.21
30,1622764800000,5.961,5.975,4.15,4.724,2376689.85
31,1622851200000,4.724,5.161,3.8,4.135,2156428.08
32,1622937600000,4.132,4.446,4.039,4.24,1555883.06
33,1623024000000,4.25,4.6,3.257,3.379,1865886.23
34,1623110400000,3.366,3.54,2.532,3.186,5127428.68
35,1623196800000,3.19,3.587,2.809,3.58,3217007.46
36,1623283200000,3.582,3.64,2.819,2.917,2802560.04
37,1623369600000,2.921,2.979,2.401,2.52,2923161.5
38,1623456000000,2.516,2.673,2.178,2.535,4393087.04
39,1623542400000,2.535,2.99,2.267,2.875,3572639.76
40,1623628800000,2.875,3.25,2.766,3.195,4149633.82
41,1623715200000,3.2,3.508,3.076,3.098,3049689.75
42,1623801600000,3.093,3.122,2.712,2.743,2849300.7
43,1623888000000,2.742,3.128,2.68,2.834,2758557.29
44,1623974400000,2.839,2.85,2.117,2.275,4189161.08
45,1624060800000,2.278,2.438,2.061,2.066,3744169.39
46,1624147200000,2.065,2.416,1.831,2.337,3577432.31
47,1624233600000,2.333,2.381,1.422,1.479,9251674.68
48,1624320000000,1.489,1.714,1.083,1.371,9812836.54
49,1624406400000,1.375,1.768,1.264,1.62,6629793.73
50,1624492800000,1.622,1.82,1.434,1.735,4333162.01
51,1624579200000,1.739,1.815,1.33,1.332,4046671.78
52,1624665600000,1.339,1.507,1.188,1.352,5841993.94
53,1624752000000,1.352,1.592,1.291,1.592,3973870.32
54,1624838400000,1.591,1.777,1.508,1.662,3548599.12
55,1624924800000,1.671,1.999,1.657,1.79,3572429.05
56,1625011200000,1.79,1.85,1.504,1.786,4862645.62
57,1625097600000,1.792,1.801,1.395,1.51,2097487.96
58,1625184000000,1.508,1.579,1.319,1.529,2416789.96
59,1625270400000,1.529,1.657,1.438,1.584,1798406.1
60,1625356800000,1.583,1.887,1.466,1.731,1746563.73
61,1625443200000,1.728,1.73,1.405,1.534,2454876.63
62,1625529600000,1.534,1.981,1.529,1.936,2388126.87
63,1625616000000,1.934,2.239,1.83,1.852,2028274.83
64,1625702400000,1.853,1.876,1.471,1.515,2841544.43
65,1625788800000,1.51,1.604,1.37,1.562,1820499.82
66,1625875200000,1.56,1.624,1.387,1.473,1648105.45
67,1625961600000,1.476,1.545,1.409,1.504,885117.54
68,1626048000000,1.505,1.548,1.271,1.347,1900254.56
69,1626134400000,1.341,1.38,1.189,1.224,1602660.73
70,1626220800000,1.227,1.308,1.075,1.228,2091818.3
71,1626307200000,1.228,1.28,1.0,1.034,2821896.59
72,1626393600000,1.037,1.123,0.94,0.952,2615466.89
73,1626480000000,0.95,1.023,0.922,0.97,2594391.72
74,1626566400000,0.969,1.08,0.938,0.989,3927280.75
75,1626652800000,0.989,1.012,0.827,0.842,2689679.07
76,1626739200000,0.845,0.88,0.678,0.725,4134969.5
77,1626825600000,0.725,1.018,0.686,0.949,2918476.15
78,1626912000000,0.946,1.076,0.902,1.066,2364741.44
79,1626998400000,1.066,1.1375,0.9389,1.126,2844354.97
80,1627084800000,1.126,1.226,1.097,1.154,1849143.61
81,1627171200000,1.1546,1.2118,1.0719,1.161,1718418.13
82,1627257600000,1.163,1.7189,1.149,1.363,3731986.76
83,1627344000000,1.363,1.646,1.286,1.6367,2280274.5
84,1627430400000,1.633,1.73,1.4583,1.556,2338775.58
85,1627516800000,1.5482,1.625,1.457,1.609,1694524.9
86,1627603200000,1.611,2.327,1.4891,2.224,3981385.1
87,1627689600000,2.2211,2.472,1.9917,2.3144,2255723.42
88,1627776000000,2.317,2.6088,2.0977,2.1659,2146128.61
89,1627862400000,2.16,2.616,2.0054,2.4999,2360397.15
