,time,Open,High,Low,Close,Volume
0,1620172800000,45.508,51.2,44.865,49.575,16873790.901
1,1620259200000,49.576,49.9,45.343,47.154,9895004.189
2,1620345600000,47.148,51.969,45.666,49.129,10599319.111
3,1620432000000,49.134,50.265,46.5,48.597,5902382.664
4,1620518400000,48.607,52.426,45.83,52.269,8601375.485
5,1620604800000,52.277,53.0,40.7,46.334,11459163.62
6,1620691200000,46.326,49.0,44.576,48.826,7532480.798
7,1620777600000,48.805,49.836,40.914,41.622,8304570.51
8,1620864000000,41.541,44.958,39.227,43.287,10978718.589
9,1620950400000,43.273,47.875,42.935,46.567,6310269.001
10,1621036800000,46.558,47.8,40.975,41.492,9858340.364
11,1621123200000,41.512,44.901,37.944,40.67,9820375.699
12,1621209600000,40.662,40.674,35.068,37.177,10672040.785
13,1621296000000,37.176,44.69,36.655,42.566,11237931.791
14,1621382400000,42.555,43.5,21.0,26.227,30087569.964
15,1621468800000,26.227,33.05,22.35,30.606,20474453.97
16,1621555200000,30.633,31.945,22.019,25.546,16394437.613
17,1621641600000,25.548,26.2,22.225,23.296,13176375.348
18,1621728000000,23.293,24.368,15.0,19.844,28838486.247
19,1621814400000,19.849,26.431,19.677,26.412,18781247.484
20,1621900800000,26.4,27.644,23.673,27.503,13594283.818
21,1621987200000,27.505,34.285,26.847,34.018,15626091.013
22,1622073600000,34.03,35.334,30.033,31.732,14928881.511
23,1622160000000,31.723,32.185,26.821,27.878,18329155.015
24,1622246400000,27.872,29.734,24.12,25.365,11852877.566
25,1622332800000,25.377,29.168,23.7,26.818,11581989.136
26,1622419200000,26.813,32.159,25.555,32.098,11530173.536
27,1622505600000,32.098,32.65,29.035,30.719,8541347.958
28,1622592000000,30.729,32.218,29.669,30.67,6690371.855
29,1622678400000,30.669,32.856,30.0,32.198,7153659.069
30,1622764800000,32.199,32.267,27.172,28.826,11814359.672
31,1622851200000,28.829,30.186,26.044,27.129,8061770.985
32,1622937600000,27.127,28.19,26.818,27.532,4103120.692
33,1623024000000,27.53,28.693,24.234,24.584,7596956.78
34,1623110400000,24.574,25.098,21.334,24.076,12541377.995
35,1623196800000,24.079,25.626,22.441,25.585,10774426.546
36,1623283200000,25.589,25.78,22.721,23.114,8528580.189
37,1623369600000,23.117,23.374,21.0,21.478,7708441.111
38,1623456000000,21.475,22.287,20.0,21.67,8866594.23
39,1623542400000,21.671,23.886,20.396,23.312,8518777.758
40,1623628800000,23.314,25.28,22.837,24.973,8601439.911
41,1623715200000,24.967,26.458,24.376,24.482,7591140.11
42,1623801600000,24.48,24.64,22.918,23.044,7504910.032
43,1623888000000,23.042,24.445,22.81,23.396,5252377.095
44,1623974400000,23.401,23.425,20.526,21.233,6991986.015
45,1624060800000,21.236,21.95,20.0,20.246,5051884.872
46,1624147200000,20.263,22.071,19.077,21.646,6747456.736
47,1624233600000,21.641,21.881,16.981,17.365,16334287.906
48,1624320000000,17.357,18.797,15.0,16.85,19816152.567
49,1624406400000,16.84,19.199,16.149,18.395,10955575.372
50,1624492800000,18.393,19.525,17.352,19.06,6913929.289
51,1624579200000,19.06,19.5,16.813,16.87,10064722.521
52,1624665600000,16.872,17.495,15.92,16.952,8397555.9
53,1624752000000,16.951,18.412,16.591,18.406,6672229.029
54,1624838400000,18.407,19.434,17.902,18.83,7730969.378
55,1624924800000,18.83,20.546,18.752,19.535,7920272.502
56,1625011200000,19.531,19.776,18.149,19.516,7407061.566
57,1625097600000,19.517,19.533,17.603,18.186,6081147.359
58,1625184000000,18.184,18.523,17.256,18.274,5454370.72
59,1625270400000,18.277,18.894,17.864,18.543,3457947.186
60,1625356800000,18.543,19.925,18.002,19.242,4719545.203
61,1625443200000,19.238,19.242,17.767,18.362,5293286.65
62,1625529600000,18.364,20.271,18.317,20.073,8365971.342
63,1625616000000,20.073,21.274,19.62,19.788,7382310.549
64,1625702400000,19.786,19.873,18.138,18.353,7810651.198
65,1625788800000,18.365,18.877,17.617,18.656,5274715.584
66,1625875200000,18.656,18.988,17.734,18.204,4080693.184
67,1625961600000,18.209,18.581,17.861,18.383,2750998.477
68,1626048000000,18.382,18.609,17.0,17.518,3787713.432
69,1626134400000,17.514,17.766,16.663,16.87,3654707.118
70,1626220800000,16.873,17.419,16.014,16.936,5451319.438
71,1626307200000,16.936,17.238,15.517,15.764,6244804.485
72,1626393600000,15.764,16.33,15.125,15.234,5213696.453
73,1626480000000,15.234,15.678,15.02,15.352,5177561.722
74,1626566400000,15.352,16.078,15.155,15.47,3946695.121
75,1626652800000,15.475,15.641,14.404,14.528,5829694.304
76,1626739200000,14.529,14.783,13.384,13.742,7700512.325
77,1626825600000,13.744,15.797,13.46,15.297,8493449.369
78,1626912000000,15.3,16.176,14.961,16.071,5864766.171
79,1626998400000,16.073,16.572,15.23,16.502,5208073.46
80,1627084800000,16.507,17.132,16.307,16.683,5410931.847
81,1627171200000,16.687,17.062,16.156,16.746,4708980.418
82,1627257600000,16.745,19.958,16.662,18.028,14210837.673
83,1627344000000,18.03,19.58,17.602,19.489,8327513.617
84,1627430400000,19.483,19.987,18.611,19.109,7596790.315
85,1627516800000,19.106,19.472,18.608,19.37,4161840.776
86,1627603200000,19.372,22.666,18.823,22.269,12896563.782
87,1627689600000,22.269,23.375,21.266,22.713,7637055.914
88,1627776000000,22.722,23.94,21.789,22.062,8728644.337
89,1627862400000,22.065,23.975,21.401,23.472,7225124.74
90,1627948800000,23.474,24.431,22.039,23.942,9465472.392
91,1628035200000,23.942,25.0,22.869,24.193,8225660.808
92,1628121600000,24.188,24.335,22.468,24.057,7144781.467
93,1628208000000,24.051,24.391,22.996,23.89,7433704.425
94,1628294400000,23.889,25.157,23.626,24.694,6218217.158
95,1628380800000,24.688,24.946,22.565,23.029,5179399.165
96,1628467200000,23.026,24.691,22.072,24.197,5994876.946
97,1628553600000,24.198,25.518,23.736,24.537,6592102.333
98,1628640000000,24.536,27.313,24.459,25.906,7843592.877
99,1628726400000,25.902,26.902,24.809,24.982,3545777.16
