,time,Open,High,Low,Close,Volume
0,1620172800000,7.9354,8.7231,7.8,8.5514,2434179.17
1,1620259200000,8.5528,9.2,8.1,8.5599,4494411.97
2,1620345600000,8.5729,9.0897,8.11,8.6789,3450443.88
3,1620432000000,8.6792,8.8768,8.37,8.5011,1500438.56
4,1620518400000,8.5115,8.58,7.6141,8.1937,2043473.44
5,1620604800000,8.201,8.478,7.0,7.4376,2639048.94
6,1620691200000,7.4342,7.9999,7.1638,7.8615,1857051.76
7,1620777600000,7.8667,8.18,6.2777,6.5073,1949212.32
8,1620864000000,6.5073,7.283,6.0311,6.7391,2930047.44
9,1620950400000,6.739,7.462,6.59,7.209,1975312.87
10,1621036800000,7.2076,7.6145,6.6053,6.7265,2077384.15
11,1621123200000,6.7382,7.7172,6.6653,7.21,2618928.51
12,1621209600000,7.21,7.2399,6.2708,6.4943,2216097.0
13,1621296000000,6.4994,6.99,6.4231,6.5834,1446340.8
14,1621382400000,6.5801,6.7023,3.05,3.7647,5921289.54
15,1621468800000,3.7647,4.7462,3.29,4.332,3008879.27
16,1621555200000,4.34,4.5889,2.95,3.5163,3276586.06
17,1621641600000,3.5174,3.5847,3.0097,3.1054,2753010.02
18,1621728000000,3.1039,3.2474,2.0,2.5554,4255895.83
19,1621814400000,2.56,3.5,2.4653,3.4197,2751281.59
20,1621900800000,3.4197,3.6157,2.9159,3.2868,2399459.76
21,1621987200000,3.3,3.8881,3.2512,3.746,2476824.2
22,1622073600000,3.7428,4.1,3.2756,3.8344,2497056.02
23,1622160000000,3.8428,3.9972,3.0556,3.2497,2412359.85
24,1622246400000,3.2366,3.3719,2.85,3.0491,1405884.42
25,1622332800000,3.043,3.2198,2.8808,3.106,1098219.98
26,1622419200000,3.0917,3.5957,2.949,3.5808,1529188.19
27,1622505600000,3.5804,4.2201,3.4496,3.8188,4947236.25
28,1622592000000,3.8188,3.9972,3.6896,3.8116,2406356.21
29,1622678400000,3.8117,4.2764,3.7465,4.0704,1789960.92
30,1622764800000,4.071,4.1,3.464,3.8576,2136195.35
31,1622851200000,3.8561,4.6139,3.79,3.9846,6090311.54
32,1622937600000,3.9844,4.1132,3.8446,3.9626,1584910.39
33,1623024000000,3.9626,4.2855,3.4763,3.5012,1947245.68
34,1623110400000,3.5047,3.579,3.0644,3.3781,1813630.53
35,1623196800000,3.3794,3.511,3.1715,3.5,1388244.04
36,1623283200000,3.5,3.7894,3.2532,3.3201,2939218.3
37,1623369600000,3.3217,3.52,3.1861,3.299,1607612.8
38,1623456000000,3.2984,3.3498,3.03,3.1397,1112655.4
39,1623542400000,3.1434,3.4222,3.0646,3.3453,1332440.68
40,1623628800000,3.3494,3.5798,3.2694,3.5587,1691148.97
41,1623715200000,3.5636,3.5983,3.3824,3.5202,1032916.33
42,1623801600000,3.5211,3.5638,3.2293,3.2877,1092912.89
43,1623888000000,3.2872,3.5893,3.2752,3.4833,1361838.66
44,1623974400000,3.4795,3.485,3.01,3.1309,1325766.66
45,1624060800000,3.1345,3.186,2.9836,2.9836,543471.87
46,1624147200000,2.9874,3.1684,2.7964,3.0575,1047790.44
47,1624233600000,3.0647,3.0777,2.3421,2.3548,1726400.58
48,1624320000000,2.3541,2.6157,1.9269,2.2008,2580392.78
49,1624406400000,2.2001,2.55,2.1052,2.49,1243007.76
50,1624492800000,2.4927,2.5708,2.3352,2.4933,772608.13
51,1624579200000,2.5,2.6293,2.2072,2.2405,1105531.71
52,1624665600000,2.2384,2.3776,2.0344,2.1739,1277533.49
53,1624752000000,2.1769,2.2068,2.0315,2.1935,919659.42
54,1624838400000,2.1988,2.3159,2.1492,2.3102,831278.4
55,1624924800000,2.311,2.4983,2.3098,2.4261,1288059.02
56,1625011200000,2.4261,2.4529,2.256,2.4036,1138179.52
57,1625097600000,2.4036,2.4036,2.1665,2.2603,959378.33
58,1625184000000,2.2603,2.2954,2.115,2.2274,844993.27
59,1625270400000,2.2267,2.3491,2.1665,2.2863,689921.23
60,1625356800000,2.2849,2.53,2.2182,2.3932,1599556.16
61,1625443200000,2.3932,2.6655,2.2025,2.5971,2494274.74
62,1625529600000,2.5998,3.0584,2.5927,2.8199,7190517.15
63,1625616000000,2.8199,2.8765,2.6867,2.7068,2160585.24
64,1625702400000,2.7031,2.7462,2.3696,2.444,2204346.74
65,1625788800000,2.4424,2.651,2.31,2.5329,1430281.26
66,1625875200000,2.5332,2.6026,2.3702,2.4799,936358.98
67,1625961600000,2.4821,2.7693,2.4572,2.5902,2734626.5
68,1626048000000,2.5926,2.6811,2.4231,2.4971,2399761.41
69,1626134400000,2.4951,2.6283,2.402,2.5127,1589805.3
70,1626220800000,2.5127,3.17,2.4127,3.0392,10994806.94
71,1626307200000,3.0392,3.672,2.9404,3.2203,11618392.52
72,1626393600000,3.2212,3.2238,2.7403,2.759,4157645.0
73,1626480000000,2.759,2.818,2.6072,2.6322,1773110.51
74,1626566400000,2.6327,2.9011,2.6122,2.8557,2698365.05
75,1626652800000,2.8557,3.1395,2.6982,2.7283,8645708.59
76,1626739200000,2.7316,2.7779,2.2201,2.2822,4430357.16
77,1626825600000,2.2833,2.5535,2.2504,2.5108,3739724.21
78,1626912000000,2.5132,2.6,2.4212,2.5169,2041750.16
79,1626998400000,2.517,3.2399,2.4556,3.1953,5778179.71
80,1627084800000,3.1953,3.59,3.0498,3.0888,7252242.13
81,1627171200000,3.0852,3.2781,2.9645,3.2694,3025260.81
82,1627257600000,3.2713,4.22,3.227,3.5246,9820804.66
83,1627344000000,3.5272,3.98,3.1949,3.7288,6431054.55
84,1627430400000,3.7278,4.1162,3.6245,3.7191,4072297.03
85,1627516800000,3.7231,3.8698,3.436,3.5358,4160866.84
86,1627603200000,3.5369,3.6161,3.2736,3.57,3693483.83
87,1627689600000,3.5714,3.74,3.3814,3.5746,2515488.2
88,1627776000000,3.5689,3.74,3.37,3.4565,3194912.7
89,1627862400000,3.4536,3.6795,3.3701,3.6601,1808898.49
90,1627948800000,3.6601,4.0,3.4598,3.7625,4821740.1
91,1628035200000,3.763,3.94,3.6035,3.8463,3001861.88
92,1628121600000,3.8469,4.2712,3.7618,3.958,6429079.95
93,1628208000000,3.9585,4.0348,3.7869,3.8826,3409397.3
