,time,Open,High,Low,Close,Volume
0,1620172800000,0.51004,0.58533,0.50357,0.57383,35511117.6
1,1620259200000,0.57383,0.595,0.545,0.57847,37007815.3
2,1620345600000,0.57847,0.63477,0.56406,0.58164,46298698.8
3,1620432000000,0.58116,0.60088,0.55719,0.57746,19166628.8
4,1620518400000,0.57735,0.58997,0.53518,0.57112,17490215.6
5,1620604800000,0.57149,0.5887,0.4858,0.51078,23877069.5
6,1620691200000,0.51,0.695,0.48988,0.65896,120451869.8
7,1620777600000,0.65856,0.91,0.5971,0.61386,417152624.8
8,1620864000000,0.61386,0.66678,0.57139,0.61125,103028052.3
9,1620950400000,0.61144,0.66283,0.58583,0.612,62645003.9
10,1621036800000,0.61284,0.65451,0.55572,0.55621,46644314.8
11,1621123200000,0.55794,0.62044,0.52573,0.56655,40025786.8
12,1621209600000,0.56741,0.56829,0.48596,0.5095,39055781.8
13,1621296000000,0.5106,0.5759,0.50401,0.52762,33737510.6
14,1621382400000,0.52784,0.53781,0.2684,0.341,91695453.8
15,1621468800000,0.34139,0.42999,0.30152,0.40563,42338001.8
16,1621555200000,0.40563,0.43479,0.29912,0.34775,35614817.7
17,1621641600000,0.3484,0.35675,0.3024,0.31438,23989455.9
18,1621728000000,0.31418,0.32941,0.222,0.2727,40126320.8
19,1621814400000,0.27289,0.3436,0.2643,0.33794,52607128.7
20,1621900800000,0.33809,0.40999,0.28983,0.39204,48899649.3
21,1621987200000,0.39164,0.47909,0.38609,0.42295,56363038.3
22,1622073600000,0.42239,0.44782,0.38027,0.40535,24218002.8
23,1622160000000,0.4062,0.4887,0.33317,0.3509,81210422.5
24,1622246400000,0.351,0.38429,0.30212,0.32147,24561884.6
25,1622332800000,0.32108,0.35793,0.29946,0.33531,20251935.2
26,1622419200000,0.33531,0.39187,0.3162,0.36864,22088517.7
27,1622505600000,0.36866,0.40804,0.35728,0.37506,24027009.7
28,1622592000000,0.37508,0.4005,0.36077,0.38165,19991206.3
29,1622678400000,0.38102,0.40871,0.37546,0.39218,15224473.5
30,1622764800000,0.39231,0.39275,0.34388,0.36125,14433260.0
31,1622851200000,0.36116,0.37494,0.3397,0.34594,12296511.3
32,1622937600000,0.34573,0.36258,0.34307,0.35538,7919128.3
33,1623024000000,0.35525,0.36954,0.32554,0.32743,14996091.3
34,1623110400000,0.32733,0.33399,0.28428,0.31935,24207742.5
35,1623196800000,0.31954,0.33684,0.30734,0.33189,17041907.2
36,1623283200000,0.33269,0.34276,0.307,0.31203,11279700.1
37,1623369600000,0.31216,0.31722,0.28668,0.29226,8378651.6
38,1623456000000,0.29199,0.30963,0.2792,0.29019,13782427.3
39,1623542400000,0.29023,0.31519,0.2836,0.30546,11320660.4
40,1623628800000,0.30635,0.32049,0.29889,0.31329,13274391.7
41,1623715200000,0.31329,0.32098,0.3022,0.30647,13120115.3
42,1623801600000,0.30645,0.31183,0.285,0.28946,18185857.0
43,1623888000000,0.28927,0.29959,0.2835,0.29306,11379808.4
44,1623974400000,0.29295,0.29721,0.26031,0.27035,13469759.0
45,1624060800000,0.27073,0.27499,0.25925,0.26836,8435113.2
46,1624147200000,0.26812,0.27229,0.24528,0.27051,12997085.6
47,1624233600000,0.27089,0.27231,0.21257,0.21299,19651139.0
48,1624320000000,0.21302,0.22224,0.1742,0.2003,28762085.3
49,1624406400000,0.19974,0.22309,0.1937,0.21712,17572680.5
50,1624492800000,0.21727,0.22726,0.20413,0.22337,15719679.1
51,1624579200000,0.22352,0.23302,0.20482,0.20565,21073982.7
52,1624665600000,0.20605,0.21244,0.19719,0.21079,18640407.6
53,1624752000000,0.21072,0.32751,0.20862,0.27809,216941366.1
54,1624838400000,0.27769,0.302,0.2656,0.27938,121665262.2
55,1624924800000,0.27931,0.29716,0.27629,0.27859,42955574.1
56,1625011200000,0.27841,0.28315,0.256,0.26794,23870839.4
57,1625097600000,0.26794,0.26991,0.24543,0.24997,14816368.1
58,1625184000000,0.24946,0.25233,0.23909,0.24948,12008425.0
59,1625270400000,0.24966,0.269,0.24478,0.25944,16697774.0
60,1625356800000,0.25921,0.26751,0.25081,0.25803,12868334.4
61,1625443200000,0.25758,0.25867,0.243,0.24742,9395624.2
62,1625529600000,0.24758,0.26158,0.24719,0.259,17168428.8
63,1625616000000,0.25874,0.27233,0.25543,0.25689,21124420.0
64,1625702400000,0.25732,0.25853,0.23216,0.23638,16051288.5
65,1625788800000,0.23631,0.24037,0.22578,0.23822,14731086.1
66,1625875200000,0.23822,0.24161,0.2284,0.23517,10353585.2
67,1625961600000,0.23502,0.2397,0.23052,0.2357,9777724.0
68,1626048000000,0.2358,0.24143,0.2275,0.23208,8694036.0
