,time,Open,High,Low,Close,Volume
0,1620172800000,5.301,6.3599,5.2289,6.1903,2996102.36
1,1620259200000,6.2015,7.16,6.0083,6.9208,4679363.96
2,1620345600000,6.9109,11.5,6.9109,9.0463,41794479.61
3,1620432000000,9.0409,9.5999,8.1344,8.4758,6500986.12
4,1620518400000,8.4823,9.18,7.6767,8.2552,4267187.62
5,1620604800000,8.2741,11.0,7.7,8.6831,11630121.8
6,1620691200000,8.6831,9.45,7.8,9.3105,6091251.66
7,1620777600000,9.3294,9.3447,6.878,6.9705,3989931.84
8,1620864000000,6.9637,7.4658,6.0592,7.1,6044456.06
9,1620950400000,7.0907,7.623,6.6761,7.398,3352279.3
10,1621036800000,7.398,7.6278,6.5,6.5793,2886900.87
11,1621123200000,6.5958,6.8,5.8918,6.319,4000505.71
12,1621209600000,6.32,6.3307,5.2751,5.8196,4734150.51
13,1621296000000,5.8306,6.68,5.731,6.2266,3739737.09
14,1621382400000,6.2439,6.5486,3.0,3.9604,8055013.62
15,1621468800000,3.9599,5.13,3.5603,5.03,5458535.43
16,1621555200000,5.0364,5.47,3.531,4.386,5043652.5
17,1621641600000,4.4017,4.5096,3.7838,3.9885,2973418.85
18,1621728000000,3.986,4.1661,2.601,3.1704,5822619.9
19,1621814400000,3.183,3.9564,2.91,3.865,4859002.47
20,1621900800000,3.8594,4.7124,3.7604,4.3448,7386791.31
21,1621987200000,4.3477,4.6211,4.1228,4.5478,3905466.1
22,1622073600000,4.542,4.559,4.037,4.2232,1802345.16
23,1622160000000,4.2162,4.2797,2.9995,3.5356,8450097.89
24,1622246400000,3.5442,3.6299,3.0706,3.2765,1942940.1
25,1622332800000,3.2766,3.467,3.0715,3.37,1612807.22
26,1622419200000,3.3803,3.6,3.1402,3.579,1671719.83
27,1622505600000,3.5778,3.6415,3.382,3.6165,1488879.53
28,1622592000000,3.6142,3.9952,3.5466,3.8582,2394795.18
29,1622678400000,3.8581,4.1,3.6951,3.9656,1392186.44
30,1622764800000,3.9687,3.9744,3.3401,3.5496,2731360.91
31,1622851200000,3.5491,3.6905,3.2754,3.3788,1820911.17
32,1622937600000,3.379,3.6599,3.324,3.52,1349959.26
33,1623024000000,3.52,3.7955,3.1973,3.2282,2352900.86
34,1623110400000,3.236,3.3307,2.7312,3.1289,2612230.99
35,1623196800000,3.1289,3.2598,2.9668,3.2597,2210024.4
36,1623283200000,3.2563,3.2624,2.9929,3.117,1295807.59
37,1623369600000,3.1192,3.169,2.8002,2.8284,1189053.82
38,1623456000000,2.8267,2.8988,2.5669,2.7051,1970112.27
39,1623542400000,2.703,2.9978,2.6109,2.9004,1829254.09
40,1623628800000,2.9019,3.1799,2.8471,3.0856,2064320.11
41,1623715200000,3.0851,3.135,2.9501,3.0396,1368654.31
42,1623801600000,3.0384,3.1748,2.8241,2.8557,1609299.81
43,1623888000000,2.8541,2.9736,2.7427,2.8214,1332393.22
44,1623974400000,2.8169,2.8217,2.5,2.6187,1388533.12
45,1624060800000,2.6072,2.6968,2.5366,2.552,786486.19
46,1624147200000,2.5462,2.5599,2.2831,2.4782,1777085.7
47,1624233600000,2.4766,2.5544,1.92,1.9565,2412951.88
48,1624320000000,1.9504,2.0547,1.5113,1.8681,3330600.75
49,1624406400000,1.8606,2.128,1.786,1.9811,1584207.25
50,1624492800000,1.9811,2.1056,1.8751,2.1018,1079305.72
51,1624579200000,2.1017,2.17,1.84,1.8799,1589573.39
52,1624665600000,1.8759,2.0271,1.8162,1.9593,1506748.57
53,1624752000000,1.9612,2.0172,1.8869,2.0094,1195341.93
54,1624838400000,2.0121,2.2056,1.9568,2.2013,1191587.68
55,1624924800000,2.2012,2.72,2.1971,2.4813,4201196.38
56,1625011200000,2.4779,2.7,2.3111,2.6789,2777008.35
57,1625097600000,2.6789,2.76,2.37,2.5407,1882005.44
58,1625184000000,2.5441,2.5867,2.3435,2.5522,1292629.22
59,1625270400000,2.5515,2.645,2.4502,2.638,798389.68
60,1625356800000,2.6459,2.9903,2.6077,2.756,2183131.52
61,1625443200000,2.7546,2.7934,2.5,2.5912,1905238.52
62,1625529600000,2.5896,2.7184,2.5668,2.6475,1025379.01
63,1625616000000,2.6475,2.8114,2.6159,2.7355,1715085.39
64,1625702400000,2.7338,2.7355,2.3517,2.403,1828281.29
65,1625788800000,2.403,2.65,2.341,2.5247,1642791.04
66,1625875200000,2.5267,2.5634,2.415,2.4509,1041121.56
67,1625961600000,2.4512,2.6255,2.3807,2.5859,5579800.07
68,1626048000000,2.5866,2.93,2.58,2.7206,5091813.72
69,1626134400000,2.7144,2.7251,2.4873,2.5971,1197975.48
70,1626220800000,2.6007,2.6561,2.34,2.5502,1760117.29
71,1626307200000,2.5473,2.63,2.3289,2.396,1696060.92
72,1626393600000,2.3978,2.3978,2.1649,2.2254,1122535.03
73,1626480000000,2.2208,2.423,2.2,2.295,1506407.68
74,1626566400000,2.2938,2.9148,2.2874,2.6517,6423348.49
75,1626652800000,2.6493,2.6558,2.2526,2.2836,2939140.85
76,1626739200000,2.2854,2.3045,2.0038,2.1401,1769501.02
77,1626825600000,2.1401,2.31,2.02,2.2788,1502883.16
78,1626912000000,2.2789,2.3307,2.203,2.3072,849773.15
79,1626998400000,2.3071,2.3899,2.2487,2.3841,885688.79
80,1627084800000,2.3888,2.5766,2.3532,2.5398,1481118.06
81,1627171200000,2.5387,2.56,2.45,2.5357,654267.33
82,1627257600000,2.5357,2.7955,2.5149,2.5669,1705612.26
83,1627344000000,2.57,2.7774,2.458,2.7018,2882702.63
84,1627430400000,2.7018,2.7111,2.56,2.6837,1027221.5
85,1627516800000,2.6837,2.9367,2.5965,2.8921,1945097.37
86,1627603200000,2.8865,3.17,2.7227,2.9736,2154584.98
