,time,Open,High,Low,Close,Volume
0,1620172800000,0.001539,0.00159,0.00098,0.001015,2619049736.44
1,1620259200000,0.001012,0.001335,0.000938,0.001041,1713523514.58
2,1620345600000,0.00104,0.001212,0.000885,0.001118,1646859624.95
3,1620432000000,0.001122,0.001222,0.00103,0.001116,590830082.87
4,1620518400000,0.001115,0.001218,0.000783,0.000792,2057032924.34
5,1620604800000,0.000792,0.001088,0.000661,0.000916,4582063799.99
6,1620691200000,0.000916,0.001002,0.000781,0.000793,1092680716.94
7,1620777600000,0.00079,0.001368,0.000686,0.001295,1290423573.68
8,1620864000000,0.001283,0.001473,0.001081,0.001207,1289943356.05
9,1620950400000,0.001206,0.001296,0.000994,0.001114,557344181.21
10,1621036800000,0.001116,0.001419,0.001057,0.001379,769919392.1
11,1621123200000,0.001375,0.001599,0.001146,0.001418,556414102.38
12,1621209600000,0.001417,0.00182,0.00128,0.001474,601289802.73
13,1621296000000,0.00148,0.00153,0.001015,0.001235,1089430396.64
14,1621382400000,0.001239,0.0048,0.000232,0.000356,6136502692.11
15,1621468800000,0.000356,0.00045,0.000178,0.000221,2571598681.12
16,1621555200000,0.000221,0.000405,0.0002,0.000272,2038421307.64
17,1621641600000,0.000273,0.000335,0.000223,0.000266,2310248057.36
18,1621728000000,0.000266,0.00056,0.000239,0.000315,3762369840.41
19,1621814400000,0.000315,0.000332,0.000136,0.000136,4146805531.24
20,1621900800000,0.000136,0.000167,0.000119,0.000138,3104692558.13
21,1621987200000,0.000138,0.000146,0.000104,0.000111,2650471792.14
22,1622073600000,0.000112,0.000139,9.8e-05,0.000117,2459029137.42
23,1622160000000,0.000118,0.000165,0.000112,0.000141,3041156147.72
24,1622246400000,0.000141,0.000184,0.000118,0.000171,3213725308.76
25,1622332800000,0.000171,0.000188,0.000121,0.000148,2888256073.01
26,1622419200000,0.000149,0.000166,0.000109,0.000111,2867093771.87
27,1622505600000,0.00011,0.000128,0.000102,0.000118,2081032028.46
28,1622592000000,0.000116,0.000124,0.000105,0.000109,1518361918.92
29,1622678400000,0.00011,0.000117,9.7e-05,0.000103,1523791112.49
30,1622764800000,0.000102,0.000135,0.000102,0.000121,2196734011.25
31,1622851200000,0.00012,0.000137,0.000109,0.000129,1857262767.24
32,1622937600000,0.000129,0.000131,0.000118,0.000124,1023606738.05
33,1623024000000,0.000123,0.000151,0.000114,0.000147,1323637479.23
34,1623110400000,0.000148,0.000183,0.00014,0.000144,2429647829.94
35,1623196800000,0.000145,0.000165,0.000114,0.000116,3408899280.58
36,1623283200000,0.000115,0.000129,0.000112,0.00012,2707242519.69
37,1623369600000,0.00012,0.000133,0.000111,0.00013,1830340361.81
38,1623456000000,0.00013,0.000143,0.000124,0.000132,1909265547.18
39,1623542400000,0.000132,0.000139,0.000114,0.000116,1190961686.01
40,1623628800000,0.000116,0.000124,0.000101,0.000102,1513215932.85
41,1623715200000,0.000102,0.000112,9.9e-05,0.000108,901109588.52
42,1623801600000,0.000108,0.000123,0.000105,0.000121,1197179162.25
43,1623888000000,0.000121,0.000125,0.000111,0.000119,1059055848.81
44,1623974400000,0.000121,0.000145,0.000119,0.000137,1234882631.36
45,1624060800000,0.000136,0.000143,0.000126,0.000143,675763176.42
46,1624147200000,0.000143,0.000161,0.000134,0.000137,1001531886.62
47,1624233600000,0.000136,0.00022,0.000135,0.000218,2071898974.06
48,1624320000000,0.000217,0.000308,0.000189,0.000229,2836980492.65
49,1624406400000,0.000228,0.000252,0.000165,0.000181,1288440335.97
50,1624492800000,0.000181,0.000199,0.000155,0.000164,1026667544.51
51,1624579200000,0.000163,0.000192,0.000152,0.00019,1203615844.52
52,1624665600000,0.000189,0.00021,0.000178,0.000181,960506132.95
53,1624752000000,0.000182,0.000189,0.000159,0.000161,706723732.76
54,1624838400000,0.00016,0.000169,0.000135,0.000141,998360758.39
55,1624924800000,0.00014,0.000141,0.00011,0.000118,1795371127.82
56,1625011200000,0.000118,0.000131,0.000113,0.000116,1391514166.47
57,1625097600000,0.000116,0.000136,0.000116,0.000129,866413905.59
58,1625184000000,0.00013,0.000143,0.000126,0.000131,816278018.11
59,1625270400000,0.000131,0.000135,0.000121,0.000123,667514968.23
60,1625356800000,0.000125,0.00013,0.000108,0.000114,808561417.31
61,1625443200000,0.000113,0.000136,0.000113,0.000129,908328069.26
62,1625529600000,0.000129,0.000133,0.000118,0.000126,619338629.54
63,1625616000000,0.000126,0.00013,0.000118,0.000129,545706346.42
64,1625702400000,0.00013,0.00015,0.000129,0.000138,946765608.92
65,1625788800000,0.000139,0.000154,0.000129,0.000132,1047768378.68
66,1625875200000,0.000132,0.000143,0.000126,0.000133,575059894.37
67,1625961600000,0.000133,0.000138,0.000127,0.000133,593600848.45
68,1626048000000,0.000134,0.000139,0.000118,0.000135,1286625109.91
69,1626134400000,0.000135,0.000145,0.000132,0.000141,854525660.7
70,1626220800000,0.000141,0.00016,0.000138,0.000141,757372436.64
71,1626307200000,0.000142,0.000165,0.000136,0.000154,661913423.97
72,1626393600000,0.000155,0.000169,0.00015,0.000168,637746935.6
73,1626480000000,0.000169,0.000176,0.000161,0.000169,621883729.8
74,1626566400000,0.000169,0.00018,0.000155,0.000171,525784280.14
75,1626652800000,0.000172,0.000198,0.000167,0.000194,580020887.83
76,1626739200000,0.000192,0.000228,0.000184,0.000209,866102509.81
77,1626825600000,0.00021,0.000222,0.000154,0.00016,941556230.26
78,1626912000000,0.000159,0.000165,0.000145,0.000149,617717220.96
79,1626998400000,0.000148,0.000161,0.00013655,0.0001386,505795224.89
80,1627084800000,0.00013815,0.00013994,0.00012833,0.000133,763389851.73
81,1627171200000,0.000133,0.00013937,0.00012708,0.00012888,556466265.58
82,1627257600000,0.00012845,0.00013066,9.645e-05,0.00010901,3960326058.4
83,1627344000000,0.00011032,0.0001283,0.00010261,0.000104,2924833178.2
84,1627430400000,0.000104,0.00010877,9.1e-05,9.4e-05,4661849078.58
85,1627516800000,9.379e-05,0.0001,8.981e-05,9.227e-05,4659577968.07
86,1627603200000,9.229e-05,0.00010101,8.539e-05,8.599e-05,6381647278.07
87,1627689600000,8.605e-05,9.536e-05,8.439e-05,8.78e-05,2506997749.78
88,1627776000000,8.762e-05,9.613e-05,8.019e-05,9.271e-05,3839080022.79
89,1627862400000,9.333e-05,9.49e-05,8.501e-05,9.161e-05,3142610327.73
90,1627948800000,9.162e-05,9.9e-05,8.913e-05,9.597e-05,3492011970.02
91,1628035200000,9.52e-05,9.953e-05,8.763e-05,9.031e-05,2387331174.85
92,1628121600000,8.958e-05,9.891e-05,8.625e-05,8.834e-05,3389253384.0
93,1628208000000,8.883e-05,9.112e-05,7.925e-05,8.28e-05,4236277838.45
94,1628294400000,8.287e-05,8.3e-05,7.28e-05,7.345e-05,5205624161.47
95,1628380800000,7.364e-05,8.372e-05,7.14e-05,8.032e-05,5546774270.54
96,1628467200000,8.091e-05,8.594e-05,5.793e-05,6.14e-05,15827940450.97
97,1628553600000,6.171e-05,6.791e-05,6.002e-05,6.303e-05,12582787229.12
98,1628640000000,6.259e-05,6.312e-05,5.389e-05,5.769e-05,7805671708.09
99,1628726400000,5.853e-05,6.287e-05,5.109e-05,6.196e-05,5431134569.33
