,time,Open,High,Low,Close,Volume
0,1620172800000,36.429,51.25,35.479,49.997,627921.39
1,1620259200000,49.847,52.899,36.362,48.907,482636.17
2,1620345600000,49.0,55.0,41.401,45.233,483082.95
3,1620432000000,45.342,49.471,41.404,45.82,195811.4
4,1620518400000,45.82,59.0,41.35,58.405,550262.35
5,1620604800000,58.411,66.567,38.811,48.092,766586.89
6,1620691200000,47.744,55.161,43.291,54.464,306476.1
7,1620777600000,54.574,60.0,33.536,35.356,530227.09
8,1620864000000,35.638,40.27,32.8,37.652,619178.54
9,1620950400000,37.652,41.302,35.728,39.14,289321.66
10,1621036800000,39.097,40.091,33.562,34.326,153072.93
11,1621123200000,34.479,38.762,30.669,33.753,234748.55
12,1621209600000,33.717,33.73,27.2,30.995,226282.03
13,1621296000000,31.1,37.141,30.321,33.522,654908.04
14,1621382400000,33.678,34.517,8.31,10.37,16333583.93
15,1621468800000,10.35,15.899,7.6,13.898,16210005.95
16,1621555200000,13.915,15.326,6.05,8.938,10225736.36
17,1621641600000,8.908,9.465,6.5,7.475,1499410.78
18,1621728000000,7.465,8.417,2.693,4.088,52545556.04
19,1621814400000,4.091,7.522,3.879,7.522,3213376.22
20,1621900800000,7.539,8.355,5.89,7.4,1760979.66
21,1621987200000,7.416,9.3,7.007,8.726,1669810.1
22,1622073600000,8.73,9.587,7.115,8.3,957102.39
23,1622160000000,8.282,8.7,5.897,6.85,1669509.39
24,1622246400000,6.862,7.75,5.184,5.671,1044468.21
25,1622332800000,5.662,7.069,4.957,6.2,1173414.19
26,1622419200000,6.155,7.785,5.575,7.75,850635.86
27,1622505600000,7.752,8.257,6.69,7.303,770245.21
28,1622592000000,7.265,8.074,6.888,7.698,709241.94
29,1622678400000,7.646,8.739,7.167,8.287,526634.17
30,1622764800000,8.289,8.358,5.88,6.722,952859.54
31,1622851200000,6.742,7.377,5.678,6.188,628093.02
32,1622937600000,6.152,6.821,6.1,6.476,380940.49
33,1623024000000,6.478,7.028,4.985,5.156,892767.89
34,1623110400000,5.148,5.359,3.749,5.004,1582813.83
35,1623196800000,4.976,5.412,4.375,5.37,1846627.4
