,time,Open,High,Low,Close,Volume
0,1620172800000,0.55436,0.644,0.55,0.62372,13833421.3
1,1620259200000,0.62529,0.63,0.559,0.57302,9261027.9
2,1620345600000,0.57259,0.58353,0.53662,0.54575,9588948.0
3,1620432000000,0.54575,0.573,0.54099,0.5681,8379601.4
4,1620518400000,0.5677,0.5822,0.546,0.5654,9827869.4
5,1620604800000,0.5654,0.58381,0.47499,0.50183,11322819.9
6,1620691200000,0.5011,0.52596,0.4832,0.5161,6726941.0
7,1620777600000,0.516,0.53218,0.42199,0.42362,10906123.1
8,1620864000000,0.42408,0.46436,0.40231,0.43779,15566301.6
9,1620950400000,0.4376,0.48033,0.43562,0.47546,6746453.1
10,1621036800000,0.4757,0.48419,0.425,0.43426,7450170.0
11,1621123200000,0.4349,0.47585,0.4011,0.4325,12014340.3
12,1621209600000,0.43231,0.43341,0.38046,0.39942,9267487.4
13,1621296000000,0.39929,0.42911,0.39,0.39837,7168118.5
14,1621382400000,0.39837,0.40567,0.17327,0.27002,19529628.1
15,1621468800000,0.27141,0.32488,0.23409,0.30267,15828208.7
16,1621555200000,0.30318,0.31669,0.20601,0.23545,19456794.1
17,1621641600000,0.23527,0.23696,0.1919,0.20541,25196879.8
18,1621728000000,0.20516,0.21241,0.13675,0.17098,19902924.4
19,1621814400000,0.17104,0.21995,0.16759,0.21705,13549097.5
20,1621900800000,0.2178,0.24345,0.19131,0.23293,55559578.3
21,1621987200000,0.23327,0.26995,0.22877,0.265,57806937.5
22,1622073600000,0.265,0.26529,0.22933,0.23791,10438946.8
23,1622160000000,0.23846,0.24041,0.19584,0.20762,11137844.8
24,1622246400000,0.20752,0.216,0.185,0.19263,7129155.0
25,1622332800000,0.19393,0.21248,0.18089,0.20654,6861912.0
26,1622419200000,0.20661,0.226,0.19362,0.226,8051568.6
27,1622505600000,0.226,0.23066,0.215,0.22113,4916715.7
28,1622592000000,0.2212,0.24681,0.2145,0.24244,7852144.3
29,1622678400000,0.2414,0.25958,0.2383,0.24826,6557438.9
30,1622764800000,0.24849,0.2492,0.20915,0.21926,7464624.1
31,1622851200000,0.21959,0.23616,0.20212,0.21249,6972014.7
32,1622937600000,0.21249,0.28996,0.20995,0.23614,44234379.7
33,1623024000000,0.23614,0.2778,0.22262,0.22498,28352817.7
34,1623110400000,0.22513,0.24062,0.19898,0.22432,20807882.5
35,1623196800000,0.22419,0.30998,0.21525,0.27995,40180476.3
36,1623283200000,0.27884,0.31322,0.25058,0.25893,44495392.3
37,1623369600000,0.25719,0.26704,0.22401,0.22959,21362453.4
38,1623456000000,0.22901,0.22949,0.2045,0.22168,15425838.0
39,1623542400000,0.22216,0.274,0.21399,0.26049,40715401.6
40,1623628800000,0.26081,0.26855,0.24543,0.25492,15069792.9
41,1623715200000,0.25475,0.25843,0.2352,0.23885,14412890.5
42,1623801600000,0.23885,0.24392,0.22369,0.23123,10466800.6
43,1623888000000,0.2309,0.24392,0.222,0.2273,6562243.5
44,1623974400000,0.22689,0.22961,0.20367,0.21554,15712266.9
45,1624060800000,0.21561,0.22099,0.2043,0.20502,6175259.4
46,1624147200000,0.20438,0.21478,0.18559,0.20852,9921996.6
47,1624233600000,0.20852,0.21067,0.15773,0.15902,15915131.9
48,1624320000000,0.15975,0.17354,0.13,0.16017,18247250.1
49,1624406400000,0.16017,0.18166,0.15253,0.17946,14707558.2
50,1624492800000,0.17943,0.18824,0.16629,0.18409,8304803.3
51,1624579200000,0.18449,0.18955,0.15843,0.15988,11694708.1
52,1624665600000,0.15985,0.17011,0.15072,0.16355,11270946.6
53,1624752000000,0.16315,0.16806,0.15563,0.16769,5406683.2
54,1624838400000,0.16755,0.17876,0.16389,0.17368,6101979.8
55,1624924800000,0.17403,0.185,0.17234,0.17593,9805055.0
56,1625011200000,0.17613,0.1784,0.16154,0.17413,6663815.9
57,1625097600000,0.17364,0.17522,0.15983,0.16411,4685832.4
58,1625184000000,0.16344,0.16638,0.1562,0.16318,2776974.6
59,1625270400000,0.16357,0.17321,0.16011,0.16927,2958597.1
60,1625356800000,0.16889,0.175,0.16305,0.17022,4700879.1
61,1625443200000,0.16971,0.17034,0.15762,0.16206,3778455.1
62,1625529600000,0.16196,0.172,0.16175,0.17077,5015250.2
63,1625616000000,0.1708,0.20891,0.16937,0.19315,21811106.9
64,1625702400000,0.19319,0.19458,0.1678,0.17143,8699108.4
65,1625788800000,0.17138,0.18342,0.1643,0.17623,5754746.1
66,1625875200000,0.17625,0.17948,0.16608,0.16864,5482580.9
67,1625961600000,0.16866,0.17914,0.16507,0.17536,3755250.0
68,1626048000000,0.17453,0.179,0.1612,0.16756,4851069.1
