,time,Open,High,Low,Close,Volume
0,1620172800000,16.29,17.52,16.254,17.023,8630435.624
1,1620259200000,17.02,17.445,16.311,16.776,8970875.689
2,1620345600000,16.775,16.955,16.44,16.545,5157442.991
3,1620432000000,16.545,17.145,16.51,16.991,4705262.917
4,1620518400000,16.991,17.49,16.683,16.992,5449983.052
5,1620604800000,16.991,18.226,15.4,15.85,10346730.069
6,1620691200000,15.841,16.442,15.222,16.31,5635023.236
7,1620777600000,16.308,17.914,14.419,14.619,12240061.804
8,1620864000000,14.645,17.025,13.526,15.911,13802002.388
9,1620950400000,15.911,16.962,15.181,16.403,6424376.911
10,1621036800000,16.399,16.617,15.152,15.21,5984644.308
11,1621123200000,15.211,17.412,15.168,16.168,10580210.96
12,1621209600000,16.173,16.188,14.688,14.953,8344786.917
13,1621296000000,14.964,16.8,14.643,15.658,8825560.456
14,1621382400000,15.663,15.931,9.1,9.477,24196506.572
15,1621468800000,9.49,11.84,8.088,10.35,23145818.073
16,1621555200000,10.365,11.615,7.165,8.262,20325079.843
17,1621641600000,8.262,8.316,6.514,6.594,20492898.591
18,1621728000000,6.594,7.187,3.91,4.086,42577862.627
19,1621814400000,4.088,7.33,4.08,6.636,73542562.329
20,1621900800000,6.637,7.044,5.173,6.657,52035956.194
21,1621987200000,6.656,7.965,6.357,7.337,42004568.514
22,1622073600000,7.335,7.363,6.401,6.711,24916543.917
23,1622160000000,6.711,6.868,5.362,5.902,29544278.248
24,1622246400000,5.901,6.145,5.08,5.491,15725520.098
25,1622332800000,5.5,6.599,5.083,6.203,19840497.578
26,1622419200000,6.2,6.6,5.584,6.546,23680398.089
27,1622505600000,6.547,6.679,6.077,6.294,13788793.461
28,1622592000000,6.299,7.25,6.07,6.832,15261389.826
29,1622678400000,6.832,7.869,6.684,7.677,22974432.732
30,1622764800000,7.685,7.695,5.842,6.373,33544762.581
31,1622851200000,6.379,6.907,5.741,6.04,19829980.174
32,1622937600000,6.04,6.338,6.022,6.252,7783979.795
33,1623024000000,6.253,6.659,5.5,5.59,15598503.545
34,1623110400000,5.587,5.791,4.896,5.599,18233516.169
35,1623196800000,5.599,6.041,5.25,6.021,14214728.559
36,1623283200000,6.019,6.5,5.562,6.141,18534538.36
37,1623369600000,6.146,6.35,5.452,5.562,12241250.267
38,1623456000000,5.562,5.882,5.156,5.5,11039933.963
39,1623542400000,5.497,6.14,5.349,6.05,7450567.005
40,1623628800000,6.051,6.332,5.821,6.198,8428062.365
41,1623715200000,6.196,6.863,6.056,6.581,13175819.476
42,1623801600000,6.578,6.581,5.962,6.175,8840772.415
43,1623888000000,6.176,6.438,6.024,6.158,5825129.963
44,1623974400000,6.159,6.595,5.684,5.954,10943242.782
45,1624060800000,5.954,6.042,5.644,5.726,4906834.183
46,1624147200000,5.726,5.9,5.375,5.859,5248222.559
47,1624233600000,5.863,5.912,4.771,4.838,10456612.437
48,1624320000000,4.835,5.47,4.516,4.728,16287915.606
49,1624406400000,4.727,5.775,4.605,5.19,13528112.907
50,1624492800000,5.198,5.607,4.995,5.477,7187923.79
51,1624579200000,5.477,5.593,4.847,5.05,7928720.511
52,1624665600000,5.05,5.296,4.894,5.201,5144164.339
53,1624752000000,5.205,5.441,5.073,5.417,3054229.621
54,1624838400000,5.416,5.69,5.199,5.537,5446198.658
55,1624924800000,5.537,6.325,5.405,6.008,8512833.524
56,1625011200000,6.008,6.68,5.674,6.565,10082204.006
57,1625097600000,6.568,6.57,5.712,5.882,7788824.684
58,1625184000000,5.881,6.087,5.503,5.711,5173174.087
59,1625270400000,5.715,5.984,5.613,5.807,2875743.87
60,1625356800000,5.809,6.23,5.661,5.959,4892029.631
61,1625443200000,5.957,6.2,5.6,6.015,5216499.162
62,1625529600000,6.015,6.568,5.964,6.529,9403857.886
63,1625616000000,6.525,7.7,6.44,7.104,17137934.023
64,1625702400000,7.1,7.214,6.407,6.708,12714171.666
65,1625788800000,6.708,8.45,6.439,8.103,20640778.758
66,1625875200000,8.102,8.6,7.462,7.893,13108450.952
67,1625961600000,7.893,8.728,7.886,8.444,12097308.515
68,1626048000000,8.445,8.57,7.533,7.864,9149241.833
69,1626134400000,7.864,8.15,6.955,7.119,8603893.098
70,1626220800000,7.118,7.456,6.578,6.933,14992845.592
71,1626307200000,6.933,7.222,6.491,6.665,7521396.691
72,1626393600000,6.667,7.009,6.214,6.56,8465474.652
73,1626480000000,6.56,6.795,6.26,6.495,6087501.538
74,1626566400000,6.492,6.892,6.464,6.483,4442784.929
75,1626652800000,6.489,6.532,5.924,5.97,5354185.406
76,1626739200000,5.974,6.057,5.589,5.867,5674011.602
77,1626825600000,5.867,6.796,5.691,6.602,8025391.81
78,1626912000000,6.615,7.499,6.569,7.334,8525510.148
79,1626998400000,7.336,7.933,6.879,7.886,10117108.215
80,1627084800000,7.894,8.505,7.494,8.476,11323595.123
81,1627171200000,8.484,8.522,7.783,8.251,8743741.677
82,1627257600000,8.252,9.792,8.185,8.502,16590614.236
83,1627344000000,8.504,9.592,8.056,9.516,12540199.217
84,1627430400000,9.516,11.133,9.133,10.981,14833524.661
85,1627516800000,10.986,11.8,10.651,11.047,12654374.885
86,1627603200000,11.046,11.121,10.031,10.85,11732728.987
87,1627689600000,10.846,11.32,10.537,10.735,6674175.898
88,1627776000000,10.734,12.2,10.523,11.966,9378217.098
89,1627862400000,11.974,12.481,11.14,12.325,8436957.423
90,1627948800000,12.321,14.89,11.65,14.771,16032058.311
91,1628035200000,14.771,15.572,13.541,14.519,13919750.67
92,1628121600000,14.51,15.149,13.714,14.558,9704938.833
93,1628208000000,14.554,15.29,14.141,14.519,8097824.702
94,1628294400000,14.512,15.662,13.911,14.616,9344410.511
95,1628380800000,14.621,14.738,13.109,13.415,6699721.593
96,1628467200000,13.407,14.36,12.966,13.928,7164094.769
97,1628553600000,13.922,16.909,13.731,16.7,9556692.109
98,1628640000000,16.706,18.062,16.508,16.956,7966073.958
99,1628726400000,16.949,17.164,16.221,16.313,3422446.71
