,time,Open,High,Low,Close,Volume
0,1594857600000,4.108,4.149,3.961,4.015,56801.022
1,1594944000000,4.019,4.153,3.98,4.119,62048.136
2,1595030400000,4.13,4.175,4.032,4.149,70399.797
3,1595116800000,4.152,4.174,4.07,4.098,54894.014
4,1595203200000,4.098,4.17,4.08,4.142,93724.541
5,1595289600000,4.126,4.653,4.056,4.12,463031.399
6,1595376000000,4.116,4.15,4.011,4.056,150007.116
7,1595462400000,4.058,4.114,4.03,4.066,90770.75
8,1595548800000,4.065,4.083,4.0,4.009,87098.433
9,1595635200000,4.025,4.083,4.001,4.011,84548.365
10,1595721600000,4.028,4.083,3.908,3.973,81298.679
11,1595808000000,3.973,5.93,3.921,4.114,360082.055
12,1595894400000,4.122,4.33,4.054,4.144,168131.221
13,1595980800000,4.144,4.175,4.1,4.138,102467.095
14,1596067200000,4.125,4.188,4.098,4.098,87681.538
15,1596153600000,4.101,4.135,4.045,4.073,89426.704
16,1596240000000,4.073,4.141,4.046,4.133,131552.77
17,1596326400000,4.128,4.236,3.91,3.983,205230.383
18,1596412800000,3.983,6.002,3.959,5.447,2019965.437
19,1596499200000,5.469,6.1,5.026,5.1,726237.591
20,1596585600000,5.096,5.385,4.953,5.329,285889.101
21,1596672000000,5.329,5.436,5.28,5.341,113719.777
22,1596758400000,5.322,5.422,5.199,5.302,94022.442
23,1596844800000,5.302,5.51,5.273,5.5,109985.349
24,1596931200000,5.5,5.541,5.438,5.49,76349.915
25,1597017600000,5.488,5.72,5.458,5.558,107473.426
26,1597104000000,5.544,5.596,5.199,5.314,69502.079
27,1597190400000,5.298,5.371,5.225,5.305,25105.625
28,1597276800000,5.303,5.394,5.191,5.374,36230.253
29,1597363200000,5.374,5.457,5.312,5.416,38334.819
30,1597449600000,5.416,5.553,5.416,5.54,44022.652
31,1597536000000,5.53,5.565,5.452,5.544,34441.01
32,1597622400000,5.558,5.75,5.497,5.688,60975.049
33,1597708800000,5.693,5.743,5.497,5.537,42404.137
34,1597795200000,5.516,5.541,5.29,5.378,58563.361
35,1597881600000,5.381,5.52,5.359,5.499,21972.742
36,1597968000000,5.52,5.898,5.447,5.554,147101.178
37,1598054400000,5.578,5.631,5.468,5.588,38435.728
38,1598140800000,5.59,5.827,5.51,5.613,61281.986
39,1598227200000,5.613,5.89,5.576,5.764,43746.066
40,1598313600000,5.764,5.855,5.463,5.554,47079.93
41,1598400000000,5.554,5.646,5.516,5.595,24626.612
42,1598486400000,5.583,5.699,5.488,5.561,35966.757
43,1598572800000,5.569,5.719,5.548,5.694,34984.69
44,1598659200000,5.694,5.754,5.65,5.727,34663.981
45,1598745600000,5.731,5.891,5.706,5.869,57191.415
46,1598832000000,5.869,6.01,5.831,5.883,89086.224
47,1598918400000,5.883,6.123,5.782,6.05,96490.821
48,1599004800000,6.067,6.147,5.618,5.705,45609.999
49,1599091200000,5.705,5.705,4.091,4.109,422388.383
50,1599177600000,4.126,4.43,4.081,4.269,137171.207
51,1599264000000,4.273,4.351,4.029,4.143,36671.809
52,1599350400000,4.133,4.3,4.06,4.269,39798.521
53,1599436800000,4.256,4.289,3.951,4.167,22535.953
54,1599523200000,4.187,4.193,3.948,4.096,19592.097
55,1599609600000,4.096,4.223,4.045,4.164,11283.047
56,1599696000000,4.165,4.241,4.121,4.163,29817.955
57,1599782400000,4.185,4.585,4.089,4.439,97555.676
58,1599868800000,4.423,4.517,4.378,4.51,35960.387
59,1599955200000,4.509,4.551,4.347,4.413,15436.57
60,1600041600000,4.413,4.68,4.365,4.656,53648.795
61,1600128000000,4.656,4.8,4.56,4.639,23028.313
62,1600214400000,4.638,4.722,4.577,4.65,10048.23
63,1600300800000,4.65,4.698,4.491,4.57,8342.258
64,1600387200000,4.573,4.67,4.521,4.546,21330.189
65,1600473600000,4.528,4.649,4.51,4.6,10575.983
66,1600560000000,4.601,4.601,4.392,4.488,16903.678
67,1600646400000,4.491,4.544,4.119,4.286,17098.408
68,1600732800000,4.28,4.348,4.259,4.295,6517.826
69,1600819200000,4.295,4.295,4.044,4.067,9019.498
70,1600905600000,4.067,4.284,4.067,4.284,6996.425
71,1600992000000,4.285,4.354,4.203,4.317,8984.018
72,1601078400000,4.338,4.356,4.176,4.236,8971.079
73,1601164800000,4.236,4.293,4.167,4.248,5795.379
74,1601251200000,4.285,4.333,4.19,4.212,5346.309
75,1601337600000,4.174,4.301,4.167,4.263,6367.89
76,1601424000000,4.263,4.296,4.157,4.197,6597.406
77,1601510400000,4.197,4.274,4.059,4.151,6324.489
78,1601596800000,4.151,4.151,4.015,4.099,5451.978
79,1601683200000,4.098,4.146,4.093,4.111,3229.585
80,1601769600000,4.094,4.165,4.015,4.164,4805.782
81,1601856000000,4.165,4.187,4.117,4.138,2761.642
82,1601942400000,4.138,4.139,4.015,4.069,4569.495
83,1602028800000,4.051,4.071,3.996,4.039,2986.486
84,1602115200000,4.043,4.143,3.96,4.124,4696.224
85,1602201600000,4.109,4.245,4.078,4.245,6012.888
86,1602288000000,4.237,4.364,4.171,4.242,5600.655
87,1602374400000,4.242,4.322,4.001,4.226,4906.12
88,1602460800000,4.221,4.366,4.135,4.331,8599.102
89,1602547200000,4.336,4.365,4.186,4.257,6375.987
90,1602633600000,4.246,4.274,4.087,4.087,4686.605
91,1602720000000,4.087,4.186,4.057,4.169,5870.745
92,1602806400000,4.163,4.171,3.752,3.81,18144.99
93,1602892800000,3.8,3.841,3.758,3.776,3228.212
94,1602979200000,3.761,3.786,3.494,3.498,37962.985
95,1603065600000,3.509,3.527,3.277,3.289,43183.062
96,1603152000000,3.289,3.635,3.26,3.451,39055.657
97,1603238400000,3.446,3.451,2.958,3.196,129110.0
98,1603324800000,3.191,3.214,2.719,2.826,231969.21
99,1603411200000,2.826,2.831,2.682,2.744,43778.407
