,time,Open,High,Low,Close,Volume
0,1621814400000,1.6071,2.58,1.6071,2.0469,19029012.03
1,1621900800000,2.0467,2.4949,1.8234,1.9558,11815748.24
2,1621987200000,1.9559,2.1,1.8696,1.9599,5852604.25
3,1622073600000,1.9496,2.1439,1.8485,2.052,6689587.81
4,1622160000000,2.0554,2.1,1.9,1.9892,5068999.97
5,1622246400000,1.9892,2.302,1.958,2.152,8382860.66
6,1622332800000,2.152,2.2959,2.0337,2.1349,5798695.4
7,1622419200000,2.1314,2.2529,2.0204,2.218,4792546.53
8,1622505600000,2.2172,2.78,2.1475,2.4704,17090208.59
9,1622592000000,2.4707,2.6574,2.41,2.4481,10554803.96
10,1622678400000,2.4482,2.5,2.31,2.3896,9390143.86
11,1622764800000,2.39,2.3944,2.0571,2.2358,8557726.26
12,1622851200000,2.2359,2.4418,2.12,2.2235,10049561.09
13,1622937600000,2.223,2.2626,2.0588,2.1432,4981720.37
14,1623024000000,2.141,2.2579,2.0741,2.0785,4874900.08
15,1623110400000,2.0765,2.2,1.8888,2.0552,6650709.65
16,1623196800000,2.0532,2.1775,1.9863,2.15,2717028.08
17,1623283200000,2.15,2.2,1.9785,2.0161,2057515.22
18,1623369600000,2.0159,2.13,1.95,2.0027,2660161.81
19,1623456000000,2.0026,2.0026,1.88,1.9076,1895259.85
20,1623542400000,1.907,1.9417,1.811,1.93,2066738.58
21,1623628800000,1.93,1.9965,1.9,1.9747,2645678.74
22,1623715200000,1.9747,2.009,1.9322,1.95,2313171.63
23,1623801600000,1.9488,2.0999,1.9109,1.9221,6985508.78
24,1623888000000,1.9196,2.08,1.9164,2.0236,5794179.37
25,1623974400000,2.026,2.1,1.9426,1.9814,5580963.85
26,1624060800000,1.9807,2.19,1.9468,2.058,6414412.92
27,1624147200000,2.058,2.15,1.96,2.044,8111668.43
28,1624233600000,2.044,2.0821,1.63,1.6465,10969547.24
29,1624320000000,1.6497,1.7721,1.4184,1.5947,6538825.95
30,1624406400000,1.5948,1.79,1.5409,1.6698,6160792.06
31,1624492800000,1.6714,1.6857,1.5756,1.6494,5860851.8
32,1624579200000,1.6494,1.6737,1.489,1.5231,8698020.93
33,1624665600000,1.5231,1.5382,1.4465,1.5228,8665885.43
34,1624752000000,1.5228,1.6077,1.5137,1.5951,5354280.52
35,1624838400000,1.5954,1.6319,1.5488,1.565,4617103.9
36,1624924800000,1.565,1.6705,1.5621,1.5869,6543263.28
37,1625011200000,1.5869,1.7818,1.5615,1.6514,8568646.08
38,1625097600000,1.6537,1.6725,1.5672,1.6354,13452730.85
39,1625184000000,1.6335,1.6845,1.58,1.6356,12333720.81
40,1625270400000,1.6373,1.7028,1.6235,1.6589,10195089.81
41,1625356800000,1.6573,1.7179,1.649,1.669,9041075.47
42,1625443200000,1.6691,1.6888,1.62,1.6316,8367203.11
43,1625529600000,1.632,1.7118,1.62,1.6498,9513977.73
44,1625616000000,1.6488,1.713,1.6418,1.6634,9284394.09
45,1625702400000,1.6598,1.7158,1.6203,1.672,7972991.44
46,1625788800000,1.673,1.7081,1.61,1.6757,7433037.79
47,1625875200000,1.6757,1.6863,1.6018,1.6175,6936969.95
48,1625961600000,1.6168,1.6383,1.5932,1.6114,5814832.2
49,1626048000000,1.6116,1.6349,1.49,1.5185,7024428.53
50,1626134400000,1.518,1.55,1.45,1.5312,8069765.57
51,1626220800000,1.5312,1.5802,1.4533,1.539,8096576.88
52,1626307200000,1.5389,1.5648,1.4538,1.4803,7513468.16
53,1626393600000,1.4809,1.5151,1.4424,1.47,7302245.54
54,1626480000000,1.47,1.515,1.4189,1.473,7737089.42
55,1626566400000,1.4728,1.5127,1.42,1.4341,5475470.17
56,1626652800000,1.4333,1.617,1.301,1.3217,12771252.11
57,1626739200000,1.3227,1.3313,1.1071,1.1247,11279656.95
58,1626825600000,1.1247,1.2377,1.0506,1.1447,10367517.07
59,1626912000000,1.1446,1.1704,1.1003,1.1031,8391799.62
60,1626998400000,1.103,1.1743,1.1,1.1634,8184152.39
61,1627084800000,1.1635,1.2864,1.1329,1.2509,11332615.45
62,1627171200000,1.2511,1.2511,1.157,1.1996,7048096.82
63,1627257600000,1.1996,1.2786,1.179,1.1833,10245631.58
64,1627344000000,1.1833,1.2218,1.15,1.1934,8819485.22
65,1627430400000,1.1903,1.1958,1.1466,1.1592,7140003.12
66,1627516800000,1.16,1.1638,1.0888,1.1093,7824107.49
67,1627603200000,1.1093,1.124,1.0541,1.1122,10749567.81
68,1627689600000,1.1119,1.2345,1.0884,1.1452,11512863.51
69,1627776000000,1.1465,1.1657,1.0928,1.0971,9056121.42
70,1627862400000,1.0972,1.1999,1.089,1.1386,11891820.46
71,1627948800000,1.1387,1.1699,1.1,1.1225,9042569.99
72,1628035200000,1.1232,1.195,1.1038,1.1842,9056720.26
73,1628121600000,1.1858,1.1899,1.1295,1.1756,7128886.2
74,1628208000000,1.1755,1.335,1.1596,1.2733,12775341.34
75,1628294400000,1.2733,1.4039,1.2617,1.3739,13446784.56
76,1628380800000,1.3719,1.3768,1.2616,1.29,7667061.87
77,1628467200000,1.29,1.3689,1.2354,1.3426,8600444.86
78,1628553600000,1.3422,1.3532,1.2724,1.2925,7462326.7
79,1628640000000,1.2928,1.4416,1.2833,1.375,11326239.14
80,1628726400000,1.3748,1.4139,1.3112,1.3432,3735116.46
