,time,Open,High,Low,Close,Volume
0,1620172800000,11.288,11.667,10.332,10.699,2348431.894
1,1620259200000,10.703,11.418,10.3,10.35,3067182.159
2,1620345600000,10.36,10.398,9.704,9.808,1376100.35
3,1620432000000,9.804,10.2,9.571,10.067,1066215.97
4,1620518400000,10.06,10.668,9.82,10.328,2661175.376
5,1620604800000,10.315,10.58,9.378,9.39,1906960.276
6,1620691200000,9.38,9.399,8.875,8.934,1135331.258
7,1620777600000,8.938,9.107,7.9,7.945,1444120.227
8,1620864000000,7.948,9.0,7.77,7.99,1416650.567
9,1620950400000,7.99,8.6,7.949,8.196,1232619.65
10,1621036800000,8.196,8.411,7.701,7.701,1200182.378
11,1621123200000,7.712,7.952,7.271,7.418,791020.7
12,1621209600000,7.41,7.937,7.006,7.712,1492994.373
13,1621296000000,7.716,7.811,7.34,7.467,809885.606
14,1621382400000,7.479,7.538,5.244,6.253,1921173.812
15,1621468800000,6.25,6.369,5.928,6.252,1070972.292
16,1621555200000,6.242,6.44,5.556,5.734,870304.059
17,1621641600000,5.728,5.777,4.605,4.616,1067671.618
18,1621728000000,4.617,4.697,3.263,3.514,1490131.163
19,1621814400000,3.508,4.382,3.403,4.168,4498402.306
20,1621900800000,4.167,4.68,3.882,4.54,1660570.094
21,1621987200000,4.538,5.432,4.515,5.394,1550591.102
22,1622073600000,5.394,5.398,4.8,4.853,1158971.095
23,1622160000000,4.85,6.108,4.433,5.168,3283849.678
24,1622246400000,5.173,5.23,4.535,4.656,1296141.322
25,1622332800000,4.65,4.8,4.504,4.692,834643.471
26,1622419200000,4.697,5.18,4.575,4.966,992201.358
27,1622505600000,4.961,5.151,4.744,4.79,834700.567
28,1622592000000,4.791,4.972,4.746,4.899,480982.639
29,1622678400000,4.897,4.95,4.76,4.914,796067.812
30,1622764800000,4.92,5.354,4.63,5.005,2196778.326
31,1622851200000,5.011,5.163,4.763,4.821,568042.459
32,1622937600000,4.815,4.857,4.701,4.772,545028.156
33,1623024000000,4.767,4.801,4.513,4.53,953076.075
34,1623110400000,4.524,4.552,4.1,4.214,529634.863
35,1623196800000,4.207,4.412,4.152,4.173,907116.335
36,1623283200000,4.172,4.189,3.967,3.993,627605.863
37,1623369600000,3.998,4.092,3.822,3.847,516850.189
38,1623456000000,3.844,3.854,3.577,3.742,264540.461
39,1623542400000,3.737,3.823,3.66,3.82,338183.87
40,1623628800000,3.82,4.004,3.817,3.933,599607.461
41,1623715200000,3.933,4.245,3.916,4.028,2634759.688
42,1623801600000,4.027,4.21,3.829,3.87,436981.446
43,1623888000000,3.871,5.0,3.871,4.7,4250787.191
44,1623974400000,4.7,7.4,4.694,5.141,20790298.43
45,1624060800000,5.131,5.161,4.601,4.613,2112546.227
46,1624147200000,4.611,4.685,4.308,4.498,1475463.014
47,1624233600000,4.491,5.316,4.348,4.562,8562266.014
48,1624320000000,4.562,5.129,4.418,4.688,4729327.313
