,time,Open,High,Low,Close,Volume
0,1625443200000,83.01,166.68,80.11,101.5,545392.13
1,1625529600000,101.13,120.46,100.2,101.08,184991.74
2,1625616000000,101.35,106.0,92.0,92.27,53473.79
3,1625702400000,92.27,93.33,81.15,83.21,39322.92
4,1625788800000,83.47,93.44,78.14,89.5,24703.61
5,1625875200000,89.54,103.5,88.44,93.59,90594.76
6,1625961600000,93.74,94.52,88.02,90.53,22146.18
7,1626048000000,90.74,91.58,84.29,85.58,12881.6
8,1626134400000,85.6,92.0,81.06,81.5,14450.12
9,1626220800000,81.52,87.47,76.6,80.93,18432.21
10,1626307200000,80.92,84.63,75.08,76.88,13842.61
11,1626393600000,76.82,89.97,74.48,76.33,42507.96
12,1626480000000,76.27,83.99,74.97,77.36,23985.97
13,1626566400000,77.11,79.01,75.01,76.2,8096.79
14,1626652800000,76.23,77.07,67.78,68.12,25321.29
15,1626739200000,68.24,68.36,63.0,64.47,11835.76
16,1626825600000,64.45,79.39,63.2,71.02,25619.46
17,1626912000000,71.38,73.39,68.62,70.29,13314.26
18,1626998400000,70.29,72.68,68.81,72.15,8651.77
19,1627084800000,72.17,75.5,69.01,70.38,10388.75
20,1627171200000,70.38,77.5,69.7,74.87,11177.4
21,1627257600000,74.55,80.0,70.92,71.14,14458.07
22,1627344000000,71.73,72.91,68.33,72.36,7205.99
23,1627430400000,72.36,74.37,70.51,72.52,9275.69
24,1627516800000,72.72,73.5,71.6,73.0,4815.87
25,1627603200000,73.02,83.67,71.9,78.58,21658.26
26,1627689600000,78.58,78.99,76.22,78.71,4642.12
27,1627776000000,78.66,98.54,77.47,83.56,71799.45
28,1627862400000,82.93,119.0,78.27,106.48,456740.31
29,1627948800000,106.74,130.61,101.91,105.31,435973.38
30,1628035200000,105.74,109.15,98.7,100.83,153669.7
31,1628121600000,100.85,102.63,92.45,94.42,68920.85
32,1628208000000,94.69,96.89,92.76,94.44,36484.63
33,1628294400000,94.44,99.67,93.74,95.44,32409.8
34,1628380800000,95.57,96.0,88.38,90.15,33952.16
35,1628467200000,90.26,95.5,87.7,92.05,23357.18
36,1628553600000,92.01,100.0,90.12,95.11,34632.0
37,1628640000000,94.92,102.23,92.9,94.95,59653.65
38,1628726400000,94.84,98.42,91.73,92.73,14546.62
