,time,Open,High,Low,Close,Volume
0,1620172800000,3.7136,3.9926,3.6127,3.975,3591873.79
1,1620259200000,3.9752,4.073,3.6673,3.8356,2905322.14
2,1620345600000,3.84,4.434,3.6002,4.0081,5644836.45
3,1620432000000,4.0066,4.55,3.8948,4.1831,6714111.91
4,1620518400000,4.18,4.2659,3.7401,3.9604,3620865.95
5,1620604800000,3.9604,4.4278,3.3281,3.6177,5455325.19
6,1620691200000,3.6182,3.988,3.6053,3.8962,3653769.47
7,1620777600000,3.898,4.0764,3.1957,3.2386,2638424.86
8,1620864000000,3.2313,3.5175,3.0194,3.293,2726703.66
9,1620950400000,3.3004,3.5602,3.237,3.4485,1545083.38
10,1621036800000,3.451,3.5957,3.0626,3.1301,2326934.68
11,1621123200000,3.1301,3.5642,2.9432,3.3937,3223704.28
12,1621209600000,3.3965,3.3973,2.8081,2.9911,3176610.89
13,1621296000000,2.9939,3.2873,2.9536,3.1151,2730083.06
14,1621382400000,3.1136,3.5311,1.5593,2.1141,8636768.87
15,1621468800000,2.1089,2.6517,2.0046,2.58,4180635.97
16,1621555200000,2.58,3.0381,2.084,2.6042,6109150.18
17,1621641600000,2.6003,3.0461,2.3149,2.5929,5992443.48
18,1621728000000,2.5929,2.5984,1.7252,2.1116,3129921.52
19,1621814400000,2.1054,2.4111,1.906,2.3937,3640568.08
20,1621900800000,2.3937,2.7,2.202,2.4345,3214889.85
21,1621987200000,2.4358,2.6438,2.3573,2.6346,2873890.25
22,1622073600000,2.6383,2.6383,2.4093,2.5254,1502033.2
23,1622160000000,2.5292,2.5478,2.1231,2.26,1765076.36
24,1622246400000,2.2607,2.4399,2.0223,2.1462,1411240.62
25,1622332800000,2.1346,2.19,1.9721,2.1268,1101282.14
26,1622419200000,2.1354,2.27,2.0185,2.2551,1031904.23
27,1622505600000,2.2535,2.2596,2.1168,2.2252,870772.48
28,1622592000000,2.2296,2.4597,2.1593,2.4034,2232943.11
29,1622678400000,2.4086,2.4899,2.3073,2.46,1158438.48
30,1622764800000,2.46,2.472,2.1179,2.2604,1440100.39
31,1622851200000,2.2654,2.3845,2.1245,2.2155,1023481.64
32,1622937600000,2.214,2.8662,2.208,2.4558,17546902.58
33,1623024000000,2.4537,3.6773,2.45,2.8945,24942224.38
34,1623110400000,2.8925,2.9015,2.2744,2.6488,11465166.1
35,1623196800000,2.662,2.6649,2.3653,2.5499,5563527.05
36,1623283200000,2.5529,2.7513,2.4428,2.623,6322696.29
37,1623369600000,2.6211,2.7477,2.2157,2.2608,5339042.95
38,1623456000000,2.2589,2.3517,1.9981,2.1025,3651812.71
39,1623542400000,2.1019,2.257,2.0216,2.184,1924089.86
40,1623628800000,2.1845,2.257,2.1178,2.2422,7613494.59
41,1623715200000,2.2407,2.2606,2.13,2.1774,2558639.46
42,1623801600000,2.1773,2.2084,2.0341,2.0653,2637766.28
43,1623888000000,2.0612,2.1833,1.987,2.0515,2130663.76
44,1623974400000,2.0483,2.0957,1.78,1.8429,2818677.84
45,1624060800000,1.8457,1.8788,1.75,1.7516,2068593.74
46,1624147200000,1.7561,1.8329,1.5327,1.6872,4470835.22
47,1624233600000,1.6892,1.7042,1.1548,1.1717,7065727.68
48,1624320000000,1.1663,1.2637,0.8972,1.0461,13761604.19
49,1624406400000,1.0492,1.1816,1.0022,1.1417,6860412.92
50,1624492800000,1.1451,1.3705,1.1229,1.3046,12531360.62
51,1624579200000,1.306,1.5094,1.2592,1.2616,12357373.73
52,1624665600000,1.2612,1.2971,1.1669,1.2553,4996059.12
53,1624752000000,1.2575,1.3627,1.2378,1.3393,4910043.66
54,1624838400000,1.3385,1.49,1.2909,1.4568,3103061.96
55,1624924800000,1.4575,1.6114,1.437,1.5766,3932976.48
56,1625011200000,1.5785,1.9,1.538,1.7561,9915610.61
57,1625097600000,1.758,1.7597,1.5465,1.6272,3257426.29
58,1625184000000,1.6277,1.8026,1.609,1.742,6604635.32
59,1625270400000,1.7433,1.8998,1.6992,1.8653,3071873.12
60,1625356800000,1.8661,1.8965,1.7561,1.8712,1936441.9
61,1625443200000,1.8706,1.8706,1.6789,1.7884,2612901.21
62,1625529600000,1.7893,1.832,1.7408,1.8041,2110737.14
63,1625616000000,1.8027,1.8333,1.7546,1.8204,1592391.84
64,1625702400000,1.8232,1.8294,1.5311,1.5693,1811905.02
65,1625788800000,1.5699,1.5874,1.45,1.5826,3084641.09
66,1625875200000,1.5833,1.6147,1.4838,1.532,1466560.68
67,1625961600000,1.5354,1.6837,1.5354,1.6243,3485279.96
68,1626048000000,1.6279,2.1393,1.603,2.0585,16791150.53
69,1626134400000,2.0584,2.0607,1.765,1.8361,8569686.47
70,1626220800000,1.8381,1.9006,1.5667,1.7061,4643218.2
71,1626307200000,1.7043,1.7768,1.5628,1.6186,2682040.31
72,1626393600000,1.6201,1.6236,1.4236,1.4465,2245593.67
73,1626480000000,1.448,1.5979,1.4365,1.553,2905746.43
74,1626566400000,1.5519,1.586,1.4695,1.501,1314037.97
75,1626652800000,1.501,1.501,1.3635,1.3868,1629926.94
76,1626739200000,1.3901,1.42,1.2295,1.3003,3809283.86
77,1626825600000,1.2987,1.43,1.2469,1.4065,2955848.34
78,1626912000000,1.408,1.61,1.3811,1.4784,5286690.72
79,1626998400000,1.4804,1.6375,1.4781,1.5722,2861766.73
80,1627084800000,1.5743,1.68,1.545,1.6189,3148636.69
81,1627171200000,1.616,1.7118,1.5576,1.6873,2659502.35
82,1627257600000,1.677,1.8098,1.6437,1.685,3419055.09
83,1627344000000,1.6845,1.7473,1.5774,1.7464,1528423.0
84,1627430400000,1.7458,1.7708,1.66,1.7266,1953218.24
85,1627516800000,1.7274,1.87,1.6681,1.8294,3715748.52
86,1627603200000,1.8288,2.0368,1.7749,1.9535,6341547.79
87,1627689600000,1.957,2.51,1.957,2.2653,13858626.83
88,1627776000000,2.2649,2.2705,1.9291,1.9933,4673028.47
89,1627862400000,1.9946,2.0293,1.9171,1.9928,2157334.75
90,1627948800000,1.9908,2.0414,1.8703,1.9433,1730546.62
91,1628035200000,1.9407,2.0145,1.8739,1.9985,1248040.71
92,1628121600000,1.9983,2.056,1.9,2.0488,1986327.09
93,1628208000000,2.0488,2.2989,1.9858,2.0896,3117506.76
94,1628294400000,2.0909,2.23,2.0647,2.1989,3025664.03
95,1628380800000,2.1959,2.336,2.1147,2.297,4669314.77
96,1628467200000,2.2974,2.45,2.1362,2.3502,5132764.0
97,1628553600000,2.3518,2.4722,2.27,2.3704,4417135.9
98,1628640000000,2.3741,3.324,2.3262,2.9409,25727773.12
99,1628726400000,2.9449,3.0859,2.7581,2.8503,7910571.92
