,time,Open,High,Low,Close,Volume
0,1620172800000,8.698,10.495,8.6222,9.7007,3831020.78
1,1620259200000,9.7103,10.49,9.2191,9.9782,3323429.1
2,1620345600000,9.9782,11.2398,9.3187,10.0879,4171444.15
3,1620432000000,10.0858,10.6018,9.6649,9.8405,2008714.05
4,1620518400000,9.8405,10.031,9.2481,9.4783,2097978.9
5,1620604800000,9.47,9.88,8.2,8.5631,2674604.44
6,1620691200000,8.5516,9.2946,8.0,8.9829,2603780.87
7,1620777600000,8.9994,13.9,8.03,9.9015,10605405.56
8,1620864000000,9.9016,17.7,8.3,11.6821,58134319.63
9,1620950400000,11.6515,13.6524,10.77,12.35,16025542.39
10,1621036800000,12.3816,12.4996,10.5666,10.6626,5717168.95
11,1621123200000,10.6706,11.7621,9.5401,10.4554,4120675.63
12,1621209600000,10.443,11.1391,9.2,10.0712,4150762.43
13,1621296000000,10.0716,11.4929,9.7401,9.9622,4251988.55
14,1621382400000,9.9623,10.1,4.6,6.3877,8039660.84
15,1621468800000,6.4206,10.3288,5.8,8.8853,10371066.93
16,1621555200000,8.9261,9.3918,6.1,7.4297,6084571.76
17,1621641600000,7.4313,7.737,6.3303,6.5666,3110700.97
18,1621728000000,6.5666,6.8682,4.66,5.7789,4385848.67
19,1621814400000,5.7531,7.8418,5.5097,7.4306,4563739.96
20,1621900800000,7.4306,7.68,6.4614,7.2621,2565360.72
21,1621987200000,7.262,8.55,7.0294,8.1982,2845324.59
22,1622073600000,8.1983,9.0,7.536,8.1574,2734486.64
23,1622160000000,8.1688,8.2757,6.69,6.9526,2338555.44
24,1622246400000,6.9525,7.348,6.2028,6.6352,1487176.13
25,1622332800000,6.6101,7.2,6.1692,6.883,1192628.16
26,1622419200000,6.883,7.49,6.525,7.3493,1344470.5
27,1622505600000,7.3492,7.6341,7.0049,7.1393,1114721.02
28,1622592000000,7.1554,7.5387,6.9695,7.3754,1073272.4
29,1622678400000,7.3771,9.25,7.2554,8.9442,3160731.89
30,1622764800000,8.9599,9.4694,7.6593,7.8092,6867363.54
31,1622851200000,7.8131,8.4076,7.3,7.5192,2690437.64
32,1622937600000,7.5144,7.7713,7.4541,7.5491,1161649.96
33,1623024000000,7.5491,7.84,6.7123,6.8562,1472274.91
34,1623110400000,6.8502,7.23,6.1925,6.9487,2060704.92
35,1623196800000,6.9448,7.233,6.5432,7.1576,1586177.48
36,1623283200000,7.1484,7.2113,6.4548,6.4806,1456053.18
37,1623369600000,6.485,6.7299,6.0204,6.0767,1514339.34
38,1623456000000,6.0828,6.388,5.7307,6.0786,1358110.39
39,1623542400000,6.0757,6.6083,5.9125,6.5341,1091943.3
40,1623628800000,6.5261,6.98,6.3333,6.9386,1262075.46
41,1623715200000,6.9412,6.9687,6.34,6.4237,1338691.75
42,1623801600000,6.428,6.5329,6.0,6.049,982313.51
43,1623888000000,6.0485,6.2876,5.9223,6.0255,962502.1
44,1623974400000,6.0318,6.077,5.6084,5.942,1379247.9
45,1624060800000,5.9367,6.0515,5.7055,5.7271,928045.65
46,1624147200000,5.7272,5.942,5.33,5.8493,1209781.16
47,1624233600000,5.8435,5.8841,4.5906,4.6128,2481707.61
48,1624320000000,4.6104,4.9874,3.7018,4.282,4013835.27
49,1624406400000,4.2778,4.92,4.0826,4.6493,1716633.47
50,1624492800000,4.6486,5.1,4.3425,5.0133,1639681.77
51,1624579200000,5.0125,5.6075,4.5623,4.5825,3297722.86
52,1624665600000,4.5797,4.7512,4.2605,4.6156,2614398.98
53,1624752000000,4.628,4.9292,4.42,4.9168,1317607.41
54,1624838400000,4.9146,5.0374,4.69,4.8801,1680679.54
55,1624924800000,4.8795,5.55,4.804,5.2495,2222890.18
56,1625011200000,5.2475,5.3447,4.7901,5.1732,2049848.77
57,1625097600000,5.1775,5.1783,4.6576,4.8419,1351087.45
58,1625184000000,4.8302,4.9394,4.5414,4.8773,713897.53
59,1625270400000,4.8855,5.0979,4.73,4.9451,585655.04
60,1625356800000,4.9537,5.0657,4.72,4.9341,778844.88
61,1625443200000,4.9299,4.935,4.4835,4.584,1099529.95
62,1625529600000,4.5853,4.778,4.4988,4.6217,815667.25
63,1625616000000,4.62,4.8225,4.5645,4.624,1040325.67
64,1625702400000,4.6193,4.647,4.2558,4.3573,879101.86
65,1625788800000,4.3594,4.5137,4.1914,4.4357,631914.98
66,1625875200000,4.4393,4.5563,4.2557,4.3161,445494.49
67,1625961600000,4.3209,5.08,4.2981,4.7744,2705032.22
68,1626048000000,4.7744,4.94,4.36,4.3881,1873293.8
69,1626134400000,4.3872,4.4313,4.1482,4.217,1855673.6
70,1626220800000,4.2169,4.2794,3.9317,4.154,816435.04
71,1626307200000,4.1628,4.279,3.9227,3.9929,722565.17
72,1626393600000,3.9903,4.07,3.7364,3.7513,1253352.14
73,1626480000000,3.749,3.874,3.6784,3.7562,795819.88
74,1626566400000,3.75,3.9412,3.7011,3.787,678330.55
75,1626652800000,3.7799,3.8051,3.5,3.5198,836119.0
76,1626739200000,3.5174,3.5645,3.1,3.2241,1632602.23
77,1626825600000,3.2223,3.7263,3.1156,3.5321,1534976.29
78,1626912000000,3.5335,3.6999,3.4157,3.5431,846406.12
79,1626998400000,3.542,3.8803,3.4645,3.8414,995046.28
80,1627084800000,3.847,4.0671,3.738,3.8869,1376506.05
81,1627171200000,3.8893,4.0,3.729,3.9166,1000297.3
82,1627257600000,3.9228,4.359,3.8944,4.0276,1830360.61
83,1627344000000,4.0131,4.3,3.8675,4.1218,1052582.21
