,time,Open,High,Low,Close,Volume
0,1620172800000,4.8169,5.25,4.7641,5.25,4166864.19
1,1620259200000,5.247,5.586,5.0204,5.2065,7337825.63
2,1620345600000,5.2107,5.5,5.0441,5.32,6971688.59
3,1620432000000,5.3201,5.5679,5.1475,5.2338,4863105.92
4,1620518400000,5.235,5.2686,4.8832,5.0636,4257476.5
5,1620604800000,5.0642,5.2826,4.36,4.6959,4889027.21
6,1620691200000,4.6963,4.9594,4.6142,4.9431,3722502.67
7,1620777600000,4.944,5.985,4.604,4.7424,15878010.07
8,1620864000000,4.7637,5.6399,4.51,5.4844,12914023.57
9,1620950400000,5.4845,5.9499,5.45,5.7383,9955827.19
10,1621036800000,5.7393,7.3355,5.6194,5.9421,25055681.16
11,1621123200000,5.9437,6.6099,5.5355,5.8717,11677332.1
12,1621209600000,5.8729,5.9671,5.01,5.7248,12650697.88
13,1621296000000,5.7244,6.2988,5.4851,5.6737,8546204.35
14,1621382400000,5.6792,5.8743,2.9,3.6014,22932160.55
15,1621468800000,3.6059,4.3782,3.2,4.19,14812707.83
16,1621555200000,4.1923,4.3889,3.03,3.4615,14350316.4
17,1621641600000,3.4624,3.5319,2.9679,3.1639,9347059.88
18,1621728000000,3.1664,3.37,2.2037,2.6575,16846351.12
19,1621814400000,2.6552,3.28,2.5702,3.2661,12629556.82
20,1621900800000,3.2684,3.434,2.8214,3.3345,10834305.0
21,1621987200000,3.3338,3.65,3.2383,3.537,14161499.32
22,1622073600000,3.5388,3.5403,3.1213,3.3049,10689164.84
23,1622160000000,3.3018,3.3346,2.705,2.9212,11612867.27
24,1622246400000,2.92,2.97,2.5279,2.6967,8775441.9
25,1622332800000,2.6987,3.3,2.5312,3.1149,11040633.55
26,1622419200000,3.1135,3.3762,2.8785,3.3548,10978931.99
27,1622505600000,3.3548,3.3829,2.9876,3.2351,9230154.98
28,1622592000000,3.2358,3.5893,3.1482,3.3134,8081483.75
29,1622678400000,3.3117,3.65,3.2688,3.6096,7906215.37
30,1622764800000,3.6116,3.6177,3.0029,3.1698,7768573.72
31,1622851200000,3.177,3.4326,2.9938,3.2835,7302328.12
32,1622937600000,3.2836,3.3184,3.1048,3.2047,3493377.64
33,1623024000000,3.2052,3.3126,2.91,2.9256,4733509.17
34,1623110400000,2.9248,2.9911,2.69,2.9,5871712.69
35,1623196800000,2.9,3.3335,2.781,3.2245,8556087.39
36,1623283200000,3.2245,3.2471,2.8811,2.9685,5751161.79
37,1623369600000,2.9693,3.1988,2.8965,3.0208,5656725.85
38,1623456000000,3.0221,3.0224,2.7857,2.9171,4326845.43
39,1623542400000,2.916,3.16,2.8612,3.1376,2883956.95
40,1623628800000,3.1355,3.3655,3.055,3.2217,5435125.75
41,1623715200000,3.2246,3.3224,3.1607,3.2185,4225092.52
42,1623801600000,3.2182,3.2432,2.981,3.0811,4690124.26
43,1623888000000,3.0748,3.2,3.0,3.0892,3740322.61
44,1623974400000,3.089,3.3418,2.8601,2.9316,9599915.22
45,1624060800000,2.9294,2.983,2.8487,2.8639,3717034.16
46,1624147200000,2.8618,2.9159,2.6535,2.8853,4309563.65
47,1624233600000,2.8857,2.9346,2.2399,2.2436,8108936.5
48,1624320000000,2.2449,2.4017,1.9228,2.1317,11122726.18
49,1624406400000,2.1307,2.4014,2.0208,2.1481,9836279.03
50,1624492800000,2.1485,2.2572,2.0227,2.171,6585298.97
51,1624579200000,2.1709,2.233,1.8782,1.8947,9077184.61
52,1624665600000,1.8942,1.922,1.7473,1.89,9026687.97
53,1624752000000,1.8875,1.97,1.8105,1.9643,5393261.48
54,1624838400000,1.9649,2.0619,1.9222,1.9773,6064774.48
55,1624924800000,1.9767,2.1901,1.9631,2.0957,7598840.01
56,1625011200000,2.0971,2.1197,1.9202,2.0907,6175072.23
57,1625097600000,2.0917,2.1689,1.9202,2.0738,6875322.57
58,1625184000000,2.0713,2.2,1.936,2.1026,8445830.42
59,1625270400000,2.1049,2.2926,2.0952,2.2583,7333361.72
60,1625356800000,2.2587,2.3485,2.1605,2.2931,5036401.9
61,1625443200000,2.2917,2.3077,2.1125,2.1706,5503787.63
62,1625529600000,2.1714,2.3261,2.1698,2.2573,5570173.44
63,1625616000000,2.2558,2.4049,2.2371,2.3103,6083421.33
64,1625702400000,2.3078,2.3143,2.045,2.0996,5066247.48
65,1625788800000,2.0982,2.1206,2.0101,2.0887,3495499.28
66,1625875200000,2.0903,2.1378,2.0308,2.1117,2882487.72
67,1625961600000,2.1128,2.2477,2.0775,2.1749,4702300.55
68,1626048000000,2.1733,2.2292,2.0345,2.092,2893770.68
69,1626134400000,2.09,2.0979,1.9202,1.9486,3431989.19
70,1626220800000,1.9449,2.0865,1.8618,1.9939,5092217.19
71,1626307200000,1.994,2.0252,1.8575,1.9249,8510383.14
72,1626393600000,1.9279,1.9847,1.8195,1.8404,5564754.22
73,1626480000000,1.8422,2.0398,1.8004,1.9368,8217062.75
74,1626566400000,1.9383,1.994,1.852,1.9071,4634244.11
75,1626652800000,1.9079,1.917,1.7156,1.7305,5448810.05
76,1626739200000,1.7304,1.76,1.546,1.6794,6681342.14
77,1626825600000,1.6793,1.8384,1.6228,1.8274,5211053.99
78,1626912000000,1.8274,1.9455,1.7683,1.9353,4859018.02
79,1626998400000,1.9352,1.945,1.8159,1.9396,3653552.64
80,1627084800000,1.9383,2.1984,1.9175,2.138,7829846.69
81,1627171200000,2.1376,2.3129,2.04,2.1578,9092351.59
82,1627257600000,2.1593,2.5146,2.1315,2.1476,11318676.76
83,1627344000000,2.1466,2.3545,2.0667,2.2354,6964593.18
84,1627430400000,2.2349,2.3074,2.1333,2.2264,5732985.88
85,1627516800000,2.2249,2.31,2.1855,2.2549,4150397.75
86,1627603200000,2.2566,2.3656,2.1458,2.3225,4892056.0
87,1627689600000,2.3264,2.5086,2.3008,2.4003,6469993.84
88,1627776000000,2.4023,2.55,2.3768,2.3916,5894344.75
89,1627862400000,2.3918,2.4641,2.3211,2.3513,4589924.21
90,1627948800000,2.3517,2.3971,2.2208,2.3404,3791509.93
91,1628035200000,2.3387,2.495,2.2563,2.4543,4811676.43
92,1628121600000,2.4579,2.5924,2.3261,2.516,6489159.69
93,1628208000000,2.5168,2.59,2.4256,2.525,5261709.54
94,1628294400000,2.525,2.7905,2.478,2.781,9853613.14
95,1628380800000,2.7815,2.7828,2.5195,2.5594,6542884.05
96,1628467200000,2.5609,2.75,2.4636,2.6889,5163708.22
97,1628553600000,2.688,2.9468,2.6471,2.8581,7915010.13
98,1628640000000,2.8611,3.0453,2.8178,2.9722,6305435.53
99,1628726400000,2.9731,3.4644,2.9601,3.2223,11364703.28
