,time,Open,High,Low,Close,Volume
0,1620172800000,96.468,116.868,95.222,114.883,2297326.648
1,1620259200000,114.883,128.0,109.511,122.794,3970508.937
2,1620345600000,122.825,141.0,110.3,117.784,4003658.177
3,1620432000000,117.716,121.433,111.524,116.473,1386749.831
4,1620518400000,116.366,122.56,110.259,119.599,1459595.443
5,1620604800000,119.599,122.0,96.146,104.943,1637967.497
6,1620691200000,104.76,116.665,100.186,115.724,1439359.15
7,1620777600000,115.695,116.5,92.0,94.286,1633828.369
8,1620864000000,94.037,102.138,88.23,96.686,1718237.34
9,1620950400000,96.559,103.694,94.984,100.862,897730.798
10,1621036800000,100.782,102.0,91.153,92.735,925963.323
11,1621123200000,92.612,101.375,86.508,92.911,1211720.548
12,1621209600000,92.9,92.958,79.777,85.634,1686361.261
13,1621296000000,85.644,92.237,84.216,87.421,927305.7
14,1621382400000,87.458,89.168,40.0,55.124,4061913.64
15,1621468800000,55.155,72.52,49.136,71.705,2288224.687
16,1621555200000,71.57,73.3,50.03,57.851,2462209.318
17,1621641600000,57.918,58.352,49.166,51.385,1670948.605
18,1621728000000,51.394,56.95,35.462,43.103,3326567.921
19,1621814400000,43.125,54.47,41.336,54.04,2166900.476
20,1621900800000,54.046,59.617,50.938,56.599,2234507.273
21,1621987200000,56.522,63.5,55.033,62.5,1280535.606
22,1622073600000,62.496,66.682,56.697,62.947,1561098.761
23,1622160000000,62.924,63.2,52.296,54.421,1357195.081
24,1622246400000,54.411,56.887,47.983,50.092,865195.365
25,1622332800000,50.156,53.577,46.831,51.579,735255.533
26,1622419200000,51.514,56.0,49.33,55.865,678376.733
27,1622505600000,55.868,56.799,52.2,53.951,648192.688
28,1622592000000,53.959,60.354,52.501,57.8,971493.575
29,1622678400000,57.757,62.7,57.477,61.321,1335133.857
30,1622764800000,61.332,62.573,53.131,56.25,1009496.423
31,1622851200000,56.242,60.677,53.924,55.635,791473.313
32,1622937600000,55.563,57.886,55.047,56.7,505841.877
33,1623024000000,56.694,58.369,50.58,51.08,643273.363
34,1623110400000,51.112,51.995,44.643,48.735,1075127.499
35,1623196800000,48.732,51.329,45.922,51.297,743161.406
36,1623283200000,51.326,54.99,49.609,50.561,1021835.872
37,1623369600000,50.547,51.0,46.595,47.443,565691.366
38,1623456000000,47.43,47.444,43.923,46.25,534805.637
39,1623542400000,46.248,49.555,44.571,49.201,459539.887
40,1623628800000,49.187,51.744,48.355,50.735,664071.27
41,1623715200000,50.752,52.0,49.122,50.139,551787.675
42,1623801600000,50.166,51.25,47.533,48.639,562499.898
43,1623888000000,48.652,50.678,47.692,48.623,408062.045
44,1623974400000,48.668,48.668,44.063,45.422,468756.711
45,1624060800000,45.447,46.552,44.31,44.445,273147.11
46,1624147200000,44.455,45.326,40.761,44.679,584767.768
47,1624233600000,44.701,44.949,31.85,32.046,1866102.054
48,1624320000000,32.047,34.418,25.908,30.115,3224149.73
49,1624406400000,30.127,35.062,28.614,33.453,1534060.699
50,1624492800000,33.472,35.5,31.542,34.978,735845.237
51,1624579200000,35.027,35.95,30.653,31.229,995422.639
52,1624665600000,31.219,32.651,29.319,31.167,960066.354
53,1624752000000,31.17,32.403,29.571,31.961,1204091.302
54,1624838400000,31.972,33.347,30.521,33.171,1195341.989
55,1624924800000,33.173,36.939,32.999,35.148,1495720.348
56,1625011200000,35.126,37.797,33.444,36.648,1798183.245
57,1625097600000,36.648,36.675,33.375,34.097,800890.527
58,1625184000000,34.094,35.521,33.369,35.438,817010.792
59,1625270400000,35.439,37.556,34.956,36.348,665897.658
60,1625356800000,36.335,38.755,35.481,37.545,703392.489
61,1625443200000,37.518,37.52,35.162,35.916,775188.849
62,1625529600000,35.962,37.987,35.838,36.88,510398.437
63,1625616000000,36.864,38.451,36.482,36.998,469757.283
64,1625702400000,37.018,37.052,33.179,34.018,745638.529
65,1625788800000,34.014,35.227,32.222,34.674,550068.036
66,1625875200000,34.69,35.446,33.193,34.062,395251.187
67,1625961600000,34.084,34.735,33.417,34.203,269254.341
68,1626048000000,34.22,35.242,32.704,33.747,526780.712
69,1626134400000,33.755,34.181,32.45,33.463,492492.716
70,1626220800000,33.484,33.596,30.781,32.839,537077.08
71,1626307200000,32.829,33.259,30.75,31.406,429366.716
72,1626393600000,31.407,31.918,29.543,29.665,538317.067
73,1626480000000,29.68,30.371,28.948,29.589,396060.755
74,1626566400000,29.591,30.782,28.986,29.733,409000.527
75,1626652800000,29.718,29.928,27.601,27.702,432757.358
76,1626739200000,27.707,28.21,25.023,25.845,759531.283
77,1626825600000,25.849,28.893,25.228,27.907,851131.608
78,1626912000000,27.907,29.482,27.341,28.93,592681.712
79,1626998400000,28.925,29.745,27.904,29.568,542722.148
80,1627084800000,29.58,31.253,29.127,30.712,724652.628
81,1627171200000,30.697,31.118,29.561,30.759,454504.153
82,1627257600000,30.756,35.596,30.548,32.451,1681426.4
83,1627344000000,32.45,34.252,31.363,34.072,747489.572
84,1627430400000,34.032,34.823,32.916,34.555,739357.903
85,1627516800000,34.548,35.55,33.54,35.231,448415.457
86,1627603200000,35.238,42.567,33.626,41.66,2267609.187
87,1627689600000,41.661,48.5,40.509,45.81,3374040.021
88,1627776000000,45.827,45.914,41.253,42.102,1393554.142
89,1627862400000,42.113,46.74,41.091,43.389,1361259.455
90,1627948800000,43.389,43.92,40.713,41.473,584770.191
91,1628035200000,41.49,44.782,40.822,43.64,699085.424
92,1628121600000,43.657,44.399,41.384,43.891,684350.151
93,1628208000000,43.897,45.5,42.983,44.473,855640.157
94,1628294400000,44.468,48.377,44.008,46.954,1281371.277
95,1628380800000,46.93,48.2,43.89,45.051,915999.555
96,1628467200000,45.075,46.937,43.444,46.501,657587.77
97,1628553600000,46.491,47.667,44.466,46.681,1018350.88
98,1628640000000,46.694,50.988,46.694,48.741,1158531.572
99,1628726400000,48.698,52.969,47.607,48.449,783352.233
