,time,Open,High,Low,Close,Volume
0,1620172800000,65.186,69.8,63.259,68.341,108911.106
1,1620259200000,68.378,71.992,66.991,68.766,61901.374
2,1620345600000,68.768,70.922,65.7,68.099,36054.755
3,1620432000000,68.099,69.58,65.599,66.01,43271.588
4,1620518400000,66.01,67.191,63.848,66.971,21225.236
5,1620604800000,67.113,68.172,59.0,59.715,47194.87
6,1620691200000,59.743,66.145,57.047,65.37,41400.474
7,1620777600000,65.37,72.89,57.942,58.288,105734.844
8,1620864000000,58.188,61.658,53.346,55.769,53552.623
9,1620950400000,55.825,61.0,55.496,58.267,23317.703
10,1621036800000,58.399,58.768,54.127,54.381,19160.229
11,1621123200000,54.288,97.7,54.183,76.2,1904697.699
12,1621209600000,76.047,88.998,63.01,66.793,887161.016
13,1621296000000,66.798,72.891,60.0,61.958,239173.27
14,1621382400000,61.837,62.633,38.0,40.511,169051.812
15,1621468800000,40.554,51.1,36.649,48.635,88822.813
16,1621555200000,48.576,52.874,37.5,40.392,87974.333
17,1621641600000,40.435,41.228,35.204,37.914,63726.117
18,1621728000000,37.93,43.559,27.969,34.332,212839.132
19,1621814400000,34.322,42.222,33.009,40.323,81966.789
20,1621900800000,40.467,42.853,38.273,42.513,53380.959
21,1621987200000,42.524,60.692,41.066,53.183,456603.677
22,1622073600000,53.247,54.325,45.087,47.723,829221.209
23,1622160000000,47.736,49.041,39.52,40.542,50893.721
24,1622246400000,40.593,69.0,39.724,54.604,1149115.843
25,1622332800000,54.599,66.8,50.2,52.68,698905.51
26,1622419200000,52.716,54.716,50.206,52.2,150416.007
27,1622505600000,52.221,53.296,48.354,49.232,94969.209
28,1622592000000,49.233,50.689,48.379,49.331,59096.826
29,1622678400000,49.289,54.0,48.645,50.174,95807.42
30,1622764800000,50.123,50.3,45.001,47.169,70198.972
31,1622851200000,47.199,56.5,46.036,48.756,270385.918
32,1622937600000,48.688,52.826,47.5,48.327,125274.655
33,1623024000000,48.267,49.559,43.023,43.587,52580.684
34,1623110400000,43.683,45.025,39.675,42.669,62816.84
35,1623196800000,42.588,50.236,40.6,45.728,507242.682
36,1623283200000,45.848,46.187,40.195,40.86,70796.793
37,1623369600000,40.986,42.618,38.657,39.169,53912.703
38,1623456000000,39.085,39.964,36.185,38.292,47286.564
39,1623542400000,38.397,40.032,36.506,39.456,49973.21
40,1623628800000,39.52,41.488,38.965,40.693,26974.291
41,1623715200000,40.693,43.9,40.293,40.739,43555.761
42,1623801600000,40.716,42.3,38.086,38.339,70129.004
43,1623888000000,38.403,42.21,38.294,38.655,42693.068
44,1623974400000,38.626,40.495,38.0,38.644,293073.071
45,1624060800000,38.599,38.928,36.226,36.545,163223.534
46,1624147200000,36.548,37.394,35.069,36.703,52612.591
47,1624233600000,36.584,36.728,30.001,30.393,39758.917
48,1624320000000,30.283,33.384,23.143,27.299,161930.381
49,1624406400000,27.359,31.103,26.602,28.77,57480.161
50,1624492800000,28.598,29.544,27.38,28.639,20719.877
