,time,Open,High,Low,Close,Volume
0,1620172800000,1.03,1.1323,1.0251,1.1233,4157308.41
1,1620259200000,1.1234,1.198,1.0947,1.1709,7249335.97
2,1620345600000,1.1703,1.5674,1.1663,1.2302,30682410.7
3,1620432000000,1.2301,1.49,1.201,1.3673,23179777.58
4,1620518400000,1.3655,1.3752,1.2106,1.288,6920026.52
5,1620604800000,1.2906,1.3141,1.0888,1.1437,4994722.36
6,1620691200000,1.1453,1.1962,1.1024,1.1779,3497510.02
7,1620777600000,1.1743,1.24,1.0114,1.0148,5751969.53
8,1620864000000,1.0148,1.0742,0.9249,0.9763,6872911.66
9,1620950400000,0.9763,1.052,0.9704,1.0041,3979085.19
10,1621036800000,1.0039,1.017,0.9227,0.9301,4343073.63
11,1621123200000,0.93,1.0003,0.8584,0.9045,4001227.34
12,1621209600000,0.9055,0.9089,0.81,0.829,5471551.63
13,1621296000000,0.8315,0.8809,0.8186,0.8473,4180622.14
14,1621382400000,0.8478,0.8573,0.48,0.6098,10606337.08
15,1621468800000,0.6157,0.7015,0.5884,0.6684,6369660.0
16,1621555200000,0.6705,0.7,0.5442,0.5938,7135894.89
17,1621641600000,0.5928,0.6533,0.5309,0.5519,5792107.55
18,1621728000000,0.5513,0.573,0.4288,0.4733,6284685.61
19,1621814400000,0.4746,0.5573,0.4604,0.5494,4950579.61
20,1621900800000,0.5508,0.5722,0.4908,0.5636,7084403.53
21,1621987200000,0.5635,0.6436,0.553,0.6416,5451938.36
22,1622073600000,0.642,0.6636,0.5832,0.6111,4706721.12
23,1622160000000,0.6111,0.627,0.532,0.5489,3946363.29
24,1622246400000,0.5483,0.5637,0.5026,0.5311,2453009.65
25,1622332800000,0.5291,0.5911,0.5068,0.5788,30299588.16
26,1622419200000,0.5776,0.6082,0.5474,0.5947,5701278.14
27,1622505600000,0.5947,0.6025,0.5628,0.579,1989111.13
28,1622592000000,0.579,0.6325,0.5675,0.6139,3817715.96
29,1622678400000,0.6137,0.6559,0.6068,0.6505,3581093.44
30,1622764800000,0.6505,0.651,0.5681,0.5863,2664991.52
31,1622851200000,0.5865,0.6133,0.5505,0.5619,1563291.79
32,1622937600000,0.5633,0.6978,0.5591,0.5927,10087573.79
33,1623024000000,0.591,0.6029,0.5283,0.531,2163802.23
34,1623110400000,0.5315,0.5403,0.478,0.5248,2850618.23
35,1623196800000,0.5248,0.546,0.5081,0.5432,2079744.41
36,1623283200000,0.5441,0.5552,0.5042,0.5144,2602612.95
37,1623369600000,0.5131,0.5249,0.4929,0.4995,1705190.61
38,1623456000000,0.4991,0.5166,0.4702,0.4843,3140533.42
39,1623542400000,0.4844,0.4996,0.4695,0.4948,2530129.33
40,1623628800000,0.4953,0.5123,0.488,0.5085,2321142.49
41,1623715200000,0.508,0.5201,0.4984,0.513,2532595.81
42,1623801600000,0.5131,0.523,0.4923,0.5034,3078963.41
43,1623888000000,0.5029,0.5167,0.4882,0.4981,2293847.84
44,1623974400000,0.4976,0.4997,0.4372,0.4628,2926571.48
45,1624060800000,0.4638,0.475,0.4502,0.452,1885906.36
46,1624147200000,0.4513,0.5788,0.4288,0.5034,27230304.26
47,1624233600000,0.5049,0.562,0.4195,0.4273,30834646.69
48,1624320000000,0.4273,0.4387,0.34,0.3695,6652384.7
49,1624406400000,0.3695,0.4199,0.3604,0.3801,3948036.79
50,1624492800000,0.3803,0.3875,0.3605,0.3769,2836331.74
51,1624579200000,0.3769,0.3928,0.3495,0.3533,4106053.44
52,1624665600000,0.3533,0.3743,0.3411,0.3637,4749306.33
53,1624752000000,0.3637,0.3727,0.3516,0.3685,3560752.06
54,1624838400000,0.3691,0.3782,0.3606,0.3738,2124587.21
55,1624924800000,0.3738,0.4098,0.3721,0.3952,3469367.24
56,1625011200000,0.3948,0.4022,0.3714,0.3888,2397953.09
57,1625097600000,0.3885,0.39,0.369,0.3813,1873516.57
58,1625184000000,0.3803,0.3847,0.3616,0.3758,1374315.61
59,1625270400000,0.3754,0.3896,0.3692,0.3845,1270304.84
60,1625356800000,0.3851,0.3942,0.3783,0.3869,1619157.32
61,1625443200000,0.3864,0.3864,0.3655,0.3731,1494576.11
62,1625529600000,0.372,0.4074,0.372,0.4007,3373393.91
63,1625616000000,0.4015,0.415,0.3964,0.3974,2841959.04
64,1625702400000,0.3974,0.3983,0.3651,0.3691,1399627.95
65,1625788800000,0.3683,0.3812,0.362,0.3727,1336047.83
66,1625875200000,0.3737,0.3771,0.3596,0.3664,935327.94
67,1625961600000,0.3661,0.455,0.3628,0.3811,18344496.52
68,1626048000000,0.3806,0.3861,0.3616,0.3714,2303083.48
69,1626134400000,0.3708,0.3712,0.3583,0.3639,1382319.03
70,1626220800000,0.364,0.375,0.3521,0.3737,1728975.64
71,1626307200000,0.3733,0.3763,0.3507,0.3554,1974627.99
72,1626393600000,0.3554,0.3829,0.3454,0.3579,4522634.52
73,1626480000000,0.358,0.3623,0.3496,0.3519,1383708.61
74,1626566400000,0.3513,0.3594,0.3453,0.3526,1432003.71
75,1626652800000,0.3524,0.3548,0.3301,0.3323,1399317.54
76,1626739200000,0.3329,0.3345,0.3125,0.3181,1223291.09
77,1626825600000,0.3171,0.347,0.313,0.337,3522395.65
78,1626912000000,0.3371,0.3473,0.3335,0.3405,1642772.56
79,1626998400000,0.3404,0.3599,0.338,0.3573,2121100.28
80,1627084800000,0.3579,0.3621,0.351,0.356,1311587.44
81,1627171200000,0.3559,0.3576,0.3446,0.3559,1230432.6
82,1627257600000,0.3562,0.3819,0.3548,0.3783,4202735.22
83,1627344000000,0.3776,0.4325,0.36,0.3896,12409975.14
84,1627430400000,0.3905,0.3928,0.3719,0.3782,3456793.47
85,1627516800000,0.3785,0.43,0.3719,0.4008,7376216.0
86,1627603200000,0.4012,0.4118,0.3835,0.4003,2677795.52
87,1627689600000,0.4013,0.4109,0.3932,0.4021,2698389.68
88,1627776000000,0.4019,0.416,0.3903,0.3924,2868201.5
89,1627862400000,0.3905,0.3998,0.3853,0.3883,1278489.18
90,1627948800000,0.3881,0.406,0.3802,0.3888,7807873.9
91,1628035200000,0.3887,0.4549,0.3872,0.4232,7954102.12
92,1628121600000,0.4236,0.444,0.4093,0.4392,4518567.2
93,1628208000000,0.4397,0.5484,0.4323,0.5248,12596988.1
94,1628294400000,0.5248,0.5393,0.4873,0.5034,7326442.92
95,1628380800000,0.5034,0.5053,0.4722,0.4789,3282613.61
96,1628467200000,0.4797,0.5027,0.4701,0.4965,3220813.83
97,1628553600000,0.4965,0.5135,0.4787,0.4952,4500100.11
98,1628640000000,0.4957,0.5318,0.4931,0.5156,4628639.33
99,1628726400000,0.5154,0.534,0.5138,0.5196,3280004.13
