,time,Open,High,Low,Close,Volume
0,1620172800000,1.2753,1.398,1.2658,1.383,12203900.55
1,1620259200000,1.3835,1.4576,1.33,1.3735,17005836.44
2,1620345600000,1.3747,1.5503,1.3154,1.4651,21210200.58
3,1620432000000,1.4663,1.4937,1.3708,1.4889,15820176.23
4,1620518400000,1.4889,1.5537,1.4011,1.518,18861150.94
5,1620604800000,1.5188,1.675,1.3,1.3569,37417340.26
6,1620691200000,1.3584,1.447,1.308,1.4181,14061786.69
7,1620777600000,1.4181,1.4729,1.1669,1.1898,31545818.31
8,1620864000000,1.1842,1.3049,1.1155,1.1974,22560928.65
9,1620950400000,1.1982,1.3102,1.1865,1.2371,14321786.23
10,1621036800000,1.2372,1.2648,1.0958,1.1085,16405918.53
11,1621123200000,1.1095,1.2,1.038,1.1059,21873780.43
12,1621209600000,1.1071,1.1074,0.9955,1.0427,24520347.78
13,1621296000000,1.0432,1.1408,1.0335,1.0748,17148166.73
14,1621382400000,1.0748,1.0903,0.5284,0.7397,52254629.33
15,1621468800000,0.7393,0.8773,0.6539,0.8119,30862446.34
16,1621555200000,0.8117,0.8499,0.5855,0.6688,35215503.76
17,1621641600000,0.6688,0.6794,0.5813,0.5928,27556180.34
18,1621728000000,0.5928,0.6247,0.4028,0.4972,53713964.22
19,1621814400000,0.4971,0.6344,0.4817,0.6237,36506109.33
20,1621900800000,0.6237,0.6412,0.5429,0.604,39172504.25
21,1621987200000,0.6041,0.7376,0.593,0.7221,37405358.72
22,1622073600000,0.7228,0.7288,0.6435,0.6801,26394283.69
23,1622160000000,0.6812,0.6884,0.5718,0.6006,28431266.08
24,1622246400000,0.6004,0.6203,0.5117,0.5383,22801068.62
25,1622332800000,0.5385,0.5848,0.5029,0.552,22879169.98
26,1622419200000,0.5514,0.6103,0.526,0.6037,21181259.38
27,1622505600000,0.6037,0.6376,0.586,0.6116,20770487.12
28,1622592000000,0.6118,0.6785,0.5949,0.6476,18613157.23
29,1622678400000,0.6482,0.764,0.6385,0.7358,31179534.32
30,1622764800000,0.7359,0.744,0.6006,0.6428,31899769.76
31,1622851200000,0.6429,0.6838,0.6029,0.6212,18165290.76
32,1622937600000,0.6205,0.6607,0.6157,0.6493,12159627.88
33,1623024000000,0.6497,0.7,0.5758,0.5897,20605435.29
34,1623110400000,0.5897,0.6012,0.5189,0.5733,21250256.81
35,1623196800000,0.5738,0.6104,0.5328,0.6023,18564206.14
36,1623283200000,0.6037,0.6104,0.5487,0.554,16425218.85
37,1623369600000,0.5545,0.5649,0.4886,0.5035,14931206.19
38,1623456000000,0.5041,0.5052,0.4609,0.4855,25162875.81
39,1623542400000,0.4862,0.5281,0.47,0.5242,19429882.14
40,1623628800000,0.5243,0.5731,0.512,0.5533,17061027.22
41,1623715200000,0.5541,0.5811,0.5388,0.5466,16882501.84
42,1623801600000,0.5458,0.5825,0.5301,0.5573,18037347.39
43,1623888000000,0.5583,0.5917,0.5384,0.5479,16546004.99
44,1623974400000,0.5493,0.5569,0.4857,0.501,17794600.38
45,1624060800000,0.5012,0.5106,0.4833,0.4859,8926444.43
46,1624147200000,0.4855,0.5042,0.456,0.4917,10183587.08
47,1624233600000,0.4921,0.4931,0.3858,0.3877,15922101.58
48,1624320000000,0.3874,0.4162,0.3224,0.3658,21607302.92
49,1624406400000,0.3668,0.4318,0.3533,0.4081,11629947.12
50,1624492800000,0.4075,0.4409,0.3801,0.4311,9390701.24
51,1624579200000,0.4316,0.4448,0.3867,0.3886,11957052.23
52,1624665600000,0.3883,0.4033,0.3682,0.4023,13669060.24
53,1624752000000,0.4015,0.415,0.3786,0.4128,10391211.95
54,1624838400000,0.4136,0.4364,0.4053,0.4271,7874591.67
55,1624924800000,0.4271,0.4657,0.4247,0.4533,10598939.5
56,1625011200000,0.4545,0.4676,0.4279,0.4614,10749540.24
57,1625097600000,0.4616,0.4667,0.4265,0.4376,8783010.75
58,1625184000000,0.4373,0.4475,0.4167,0.4382,7118119.52
59,1625270400000,0.4384,0.4574,0.4272,0.4452,5423634.45
60,1625356800000,0.4453,0.4647,0.4294,0.4551,5762958.84
61,1625443200000,0.4542,0.4749,0.4283,0.4342,10349779.43
62,1625529600000,0.4341,0.4855,0.4335,0.459,10529131.9
63,1625616000000,0.4598,0.5042,0.4504,0.4805,11854159.42
64,1625702400000,0.4797,0.4984,0.4,0.4314,15028263.11
65,1625788800000,0.4312,0.4425,0.4143,0.4388,6069766.94
66,1625875200000,0.439,0.4474,0.4169,0.43,9729923.76
67,1625961600000,0.4307,0.4608,0.4263,0.4462,10393842.31
68,1626048000000,0.4467,0.4582,0.4179,0.4279,6326501.64
69,1626134400000,0.428,0.4343,0.4114,0.4195,4951707.17
70,1626220800000,0.4189,0.4265,0.3853,0.4155,11089985.43
71,1626307200000,0.4161,0.4279,0.3958,0.4021,10529693.75
72,1626393600000,0.4024,0.417,0.3741,0.3755,7003008.92
73,1626480000000,0.3755,0.3939,0.3717,0.3815,5686278.0
74,1626566400000,0.3814,0.403,0.3771,0.3809,4958849.16
75,1626652800000,0.3805,0.3826,0.3537,0.3576,7518693.16
76,1626739200000,0.3577,0.3631,0.3258,0.3441,7677292.12
77,1626825600000,0.3443,0.3847,0.333,0.3732,8229499.87
78,1626912000000,0.3734,0.38,0.3636,0.3768,6180484.82
79,1626998400000,0.3768,0.3984,0.3701,0.3902,8945760.07
80,1627084800000,0.3911,0.4295,0.3855,0.4063,11106202.85
81,1627171200000,0.4069,0.4148,0.3869,0.4118,6739203.71
82,1627257600000,0.4117,0.4631,0.41,0.4188,20732110.79
83,1627344000000,0.4182,0.4392,0.4081,0.4309,16812779.78
84,1627430400000,0.4308,0.4555,0.4204,0.4381,14778841.87
85,1627516800000,0.4381,0.456,0.423,0.4504,10319852.88
86,1627603200000,0.4509,0.4745,0.4329,0.4623,10831036.98
87,1627689600000,0.4638,0.4973,0.4577,0.4883,11347942.13
88,1627776000000,0.4885,0.5526,0.4835,0.5222,22691261.03
89,1627862400000,0.5226,0.5626,0.5121,0.521,20116258.45
90,1627948800000,0.5215,0.5349,0.493,0.5277,13380407.13
91,1628035200000,0.5273,0.5995,0.513,0.5971,23273652.84
92,1628121600000,0.597,0.61,0.5581,0.5866,19836012.6
93,1628208000000,0.5867,0.6393,0.5709,0.5816,23527882.52
94,1628294400000,0.5817,0.625,0.5711,0.5954,23539679.08
95,1628380800000,0.5957,0.6022,0.5402,0.5493,14351258.89
96,1628467200000,0.5492,0.5856,0.5259,0.5744,11222252.86
97,1628553600000,0.5739,0.63,0.5664,0.5935,19244392.55
98,1628640000000,0.5937,0.7175,0.5924,0.667,27757629.86
99,1628726400000,0.6663,0.6796,0.5648,0.6331,14063342.05
