,time,Open,High,Low,Close,Volume
0,1620172800000,1.5682,1.8305,1.5544,1.7045,27067553.2
1,1620259200000,1.7051,1.747,1.5521,1.5863,21741914.44
2,1620345600000,1.5863,1.65,1.4996,1.5716,19544068.64
3,1620432000000,1.5716,1.6527,1.5382,1.5734,11444246.84
4,1620518400000,1.5734,1.6465,1.468,1.5596,16381195.62
5,1620604800000,1.5598,1.6273,1.251,1.3523,21606396.98
6,1620691200000,1.3523,1.4735,1.3074,1.4332,15707964.96
7,1620777600000,1.4331,1.6739,1.1811,1.21,31027827.79
8,1620864000000,1.21,1.36,1.1274,1.2707,25472028.14
9,1620950400000,1.271,1.4693,1.2656,1.38,19029070.82
10,1621036800000,1.3801,1.396,1.22,1.2517,15095284.91
11,1621123200000,1.2522,1.349,1.1102,1.1998,16108235.59
12,1621209600000,1.2005,1.2748,1.0266,1.1139,26313699.67
13,1621296000000,1.1153,1.24,1.1039,1.1302,16762102.04
14,1621382400000,1.1299,1.157,0.5,0.7058,46633252.77
15,1621468800000,0.7078,0.8739,0.638,0.8005,26170657.49
16,1621555200000,0.801,0.9812,0.6058,0.7047,26602456.86
17,1621641600000,0.7047,0.7548,0.6147,0.6834,21105105.09
18,1621728000000,0.6834,0.7382,0.4559,0.5696,30578022.7
19,1621814400000,0.5689,0.6966,0.5492,0.6853,20878468.15
20,1621900800000,0.6862,1.098,0.6389,1.066,51434571.08
21,1621987200000,1.0656,1.45,1.0178,1.203,141531897.95
22,1622073600000,1.2013,1.3328,1.0347,1.1109,55484846.36
23,1622160000000,1.1115,1.124,0.905,0.9413,37130241.34
24,1622246400000,0.9402,1.06,0.81,0.9031,25373413.93
25,1622332800000,0.9031,1.18,0.8235,1.1338,36759552.36
26,1622419200000,1.1321,1.1653,1.0161,1.086,28742686.0
27,1622505600000,1.0837,1.2001,1.0469,1.053,26259085.66
28,1622592000000,1.0539,1.1205,1.02,1.0427,19035544.96
29,1622678400000,1.0427,1.1088,1.0301,1.0732,18781644.75
30,1622764800000,1.0742,1.079,0.8896,0.9438,22763514.89
31,1622851200000,0.9433,0.9986,0.8539,0.9264,18921121.78
32,1622937600000,0.9263,0.963,0.9082,0.9459,9617615.3
33,1623024000000,0.9461,0.9956,0.8253,0.8427,13660710.95
34,1623110400000,0.8406,0.8813,0.75,0.8233,20391982.16
35,1623196800000,0.825,0.867,0.7693,0.8572,21367533.37
36,1623283200000,0.8572,0.8632,0.7459,0.7699,17077457.28
37,1623369600000,0.7712,0.9123,0.732,0.7721,41138432.81
38,1623456000000,0.772,0.772,0.6811,0.7241,17746179.57
39,1623542400000,0.7239,0.7931,0.6971,0.7756,13615491.76
40,1623628800000,0.7759,0.9477,0.7605,0.9205,36342054.24
41,1623715200000,0.9202,0.99,0.8932,0.9829,25010501.26
42,1623801600000,0.983,1.0834,0.8962,0.9179,38481401.88
43,1623888000000,0.9179,0.9895,0.8637,0.894,18244827.83
44,1623974400000,0.894,0.895,0.7618,0.8235,18417026.07
45,1624060800000,0.8234,0.9057,0.7859,0.8213,20101761.84
46,1624147200000,0.8217,0.9,0.76,0.8659,21583212.26
47,1624233600000,0.8674,0.9036,0.6693,0.6693,38419051.58
48,1624320000000,0.6691,0.737,0.5401,0.616,22931382.2
49,1624406400000,0.6167,0.7269,0.5916,0.6737,21089961.63
50,1624492800000,0.6737,0.7395,0.667,0.6868,20548797.93
51,1624579200000,0.6881,0.6999,0.6101,0.6115,16926213.83
52,1624665600000,0.6132,0.6369,0.5657,0.6222,16068088.66
53,1624752000000,0.6222,0.6975,0.5855,0.6832,15632208.23
54,1624838400000,0.6832,0.7126,0.658,0.6707,16832890.33
55,1624924800000,0.6704,0.7321,0.6671,0.6859,16337857.03
56,1625011200000,0.6858,0.7002,0.627,0.6885,13189234.23
57,1625097600000,0.6894,0.71,0.6345,0.6481,10055916.03
58,1625184000000,0.6478,0.6616,0.6114,0.6446,7163979.05
59,1625270400000,0.6444,0.674,0.6264,0.6564,6486139.17
60,1625356800000,0.6564,0.6979,0.6345,0.6727,14081164.58
61,1625443200000,0.6722,0.6779,0.6227,0.6365,14978040.36
62,1625529600000,0.6366,0.7075,0.6355,0.664,14391358.11
63,1625616000000,0.664,0.81,0.6573,0.7322,31738592.27
