,time,Open,High,Low,Close,Volume
0,1620172800000,8.631,9.249,8.593,9.109,250887.328
1,1620259200000,9.113,9.185,8.641,8.9,151370.872
2,1620345600000,8.895,9.219,8.367,8.844,207564.114
3,1620432000000,8.842,9.96,8.771,9.334,334833.521
4,1620518400000,9.336,9.359,8.376,8.595,211764.728
5,1620604800000,8.615,8.92,7.694,7.84,195204.9
6,1620691200000,7.834,7.991,7.5,7.932,180263.051
7,1620777600000,7.937,10.862,7.436,8.398,1235320.406
8,1620864000000,8.284,10.95,7.7,8.282,1800861.659
9,1620950400000,8.282,9.236,8.081,8.725,517927.029
10,1621036800000,8.725,12.98,8.698,11.646,2676067.794
11,1621123200000,11.647,16.5,11.2,12.116,4316569.471
12,1621209600000,12.117,13.764,10.044,10.106,1716986.814
13,1621296000000,10.123,14.45,10.06,12.883,2019595.34
14,1621382400000,12.835,13.251,6.643,7.701,1322142.669
15,1621468800000,7.701,9.382,6.9,8.591,816425.044
16,1621555200000,8.611,10.848,7.371,9.039,1313913.051
17,1621641600000,9.011,9.8,7.154,7.55,632725.584
18,1621728000000,7.53,7.682,4.5,5.429,848678.749
19,1621814400000,5.429,6.29,4.996,6.151,699956.126
20,1621900800000,6.151,6.448,5.126,5.705,444034.665
21,1621987200000,5.7,6.425,5.535,6.238,449338.395
22,1622073600000,6.215,7.293,5.555,6.916,855348.85
23,1622160000000,6.883,7.146,5.7,5.92,485612.219
24,1622246400000,5.92,6.277,5.186,5.956,1351429.872
25,1622332800000,5.956,6.305,5.503,5.881,1022909.648
26,1622419200000,5.881,6.445,5.551,6.119,369009.31
27,1622505600000,6.118,6.235,5.7,5.879,177143.941
28,1622592000000,5.88,6.384,5.741,6.064,203989.377
29,1622678400000,6.057,6.427,5.971,6.297,186725.434
30,1622764800000,6.297,6.35,5.641,5.746,238644.711
31,1622851200000,5.748,5.96,5.52,5.749,163526.986
32,1622937600000,5.749,5.91,5.522,5.649,129925.501
33,1623024000000,5.652,6.3,5.298,5.31,284897.893
34,1623110400000,5.311,5.379,4.48,5.001,221951.621
35,1623196800000,4.992,5.384,4.5,5.236,299232.88
36,1623283200000,5.233,6.227,5.029,6.054,448973.997
37,1623369600000,6.039,7.768,5.492,5.734,1689521.704
38,1623456000000,5.76,6.281,5.282,5.571,317429.579
39,1623542400000,5.587,5.699,5.065,5.532,247453.815
40,1623628800000,5.532,5.935,5.472,5.714,189621.336
41,1623715200000,5.713,6.276,5.561,5.794,370242.026
42,1623801600000,5.792,5.941,5.33,5.353,211731.067
43,1623888000000,5.372,6.26,5.347,5.748,444583.409
44,1623974400000,5.758,5.899,5.095,5.212,277798.008
45,1624060800000,5.201,5.7,5.06,5.324,214829.324
46,1624147200000,5.291,5.442,4.9,5.143,181464.258
47,1624233600000,5.161,5.172,3.999,4.016,255427.952
48,1624320000000,4.0,4.145,3.1,3.752,344024.395
49,1624406400000,3.752,4.197,3.686,4.084,225033.681
50,1624492800000,4.089,4.207,3.771,3.914,137065.826
51,1624579200000,3.914,4.011,3.445,3.676,157618.685
52,1624665600000,3.674,4.429,3.393,3.777,746883.79
53,1624752000000,3.776,3.965,3.676,3.925,158906.229
54,1624838400000,3.925,4.109,3.739,3.915,420451.18
55,1624924800000,3.941,4.227,3.918,3.974,388077.791
56,1625011200000,3.977,4.025,3.75,3.935,241590.135
57,1625097600000,3.931,4.4,3.699,3.891,670663.688
58,1625184000000,3.901,4.032,3.714,3.789,163536.882
59,1625270400000,3.789,4.099,3.738,3.846,240769.429
60,1625356800000,3.846,4.184,3.802,4.007,261494.673
61,1625443200000,4.008,4.044,3.745,3.859,485719.922
62,1625529600000,3.848,4.1,3.835,3.912,385420.506
63,1625616000000,3.909,4.22,3.909,4.058,314187.075
64,1625702400000,4.058,4.058,3.725,3.815,240709.724
65,1625788800000,3.813,3.882,3.617,3.793,210307.152
66,1625875200000,3.79,4.1,3.687,3.98,347059.421
67,1625961600000,3.988,4.374,3.92,3.949,500181.234
68,1626048000000,3.949,4.178,3.781,3.946,398626.445
69,1626134400000,3.946,4.289,3.823,4.06,314008.563
70,1626220800000,4.066,4.732,3.78,4.359,669365.543
71,1626307200000,4.368,4.986,4.05,4.114,678759.105
72,1626393600000,4.119,4.388,3.843,3.911,408849.175
73,1626480000000,3.925,4.117,3.8,3.909,175050.26
74,1626566400000,3.908,4.168,3.731,3.915,292583.39
75,1626652800000,3.914,4.096,3.741,3.83,312681.371
76,1626739200000,3.839,3.984,3.416,3.48,251725.81
77,1626825600000,3.47,4.05,3.4,3.84,424624.839
78,1626912000000,3.85,4.308,3.818,4.29,428612.884
79,1626998400000,4.292,4.38,3.964,4.323,321601.599
80,1627084800000,4.323,4.64,4.242,4.416,332243.392
81,1627171200000,4.416,4.481,4.014,4.45,507577.18
82,1627257600000,4.453,4.694,4.095,4.2,443229.674
83,1627344000000,4.193,4.276,4.0,4.2,282092.753
84,1627430400000,4.2,4.3,4.073,4.222,146460.976
85,1627516800000,4.227,4.269,4.112,4.198,153295.28
86,1627603200000,4.187,4.329,4.014,4.239,209415.193
87,1627689600000,4.255,4.6,4.082,4.362,358028.789
88,1627776000000,4.358,4.5,4.204,4.238,208476.015
