,time,Open,High,Low,Close,Volume
0,1620172800000,8.6885,10.2875,8.5892,9.9096,12770679.91
1,1620259200000,9.9059,13.2,9.5532,13.1372,19625308.23
2,1620345600000,13.1257,15.35,11.15,11.8693,42519386.68
3,1620432000000,11.8785,12.4975,11.2179,11.8305,11844601.62
4,1620518400000,11.8282,12.4917,10.86,11.6274,7927031.61
5,1620604800000,11.6224,12.1941,9.4,10.0599,9978148.59
6,1620691200000,10.0464,12.5658,9.563,12.3302,19169630.75
7,1620777600000,12.3238,12.3605,9.456,9.687,13026824.76
8,1620864000000,9.6534,10.4839,9.0,9.6622,11702264.27
9,1620950400000,9.6599,10.8999,9.601,10.2417,8985758.87
10,1621036800000,10.2404,10.5299,9.2839,9.3371,6853578.83
11,1621123200000,9.3357,10.5719,8.7153,9.3233,9763708.16
12,1621209600000,9.3147,9.3162,7.9593,8.4798,10353245.93
13,1621296000000,8.4825,9.2582,8.385,8.6829,8393577.94
14,1621382400000,8.6827,8.8567,4.1706,5.4215,20033595.14
15,1621468800000,5.4394,6.9771,4.8594,6.6563,14042874.03
16,1621555200000,6.6522,7.2756,4.8071,5.6492,14348281.54
17,1621641600000,5.6496,5.7115,4.7933,5.1675,9555506.34
18,1621728000000,5.1694,5.4846,3.3763,4.2821,16346142.23
19,1621814400000,4.2856,6.9775,4.2403,6.2693,31948823.21
20,1621900800000,6.2692,6.5409,5.4891,6.1447,12971737.79
21,1621987200000,6.1454,7.7,6.1422,7.2416,15539453.84
22,1622073600000,7.2424,7.9943,7.0744,7.2504,12412434.34
23,1622160000000,7.2587,7.3186,5.9319,6.2628,14293039.94
24,1622246400000,6.2646,6.7158,5.4609,5.8594,9670632.23
25,1622332800000,5.8612,6.5254,5.4299,6.066,7492657.72
26,1622419200000,6.0648,6.6302,5.8558,6.5988,7114244.04
27,1622505600000,6.5989,6.71,6.1507,6.3233,6831858.1
28,1622592000000,6.3249,6.797,6.1278,6.4511,6946317.69
29,1622678400000,6.4516,7.0915,6.3564,6.6996,6814210.37
30,1622764800000,6.7009,6.8811,5.7727,6.192,8845729.03
31,1622851200000,6.1925,6.461,5.6528,5.873,6422847.28
32,1622937600000,5.8708,6.1189,5.7973,6.0297,3947087.32
33,1623024000000,6.0324,6.1971,5.3023,5.364,4144100.35
34,1623110400000,5.3663,5.4999,4.7361,5.3592,7573468.64
35,1623196800000,5.3566,5.5365,5.0675,5.5175,6556982.99
36,1623283200000,5.5188,5.5816,4.9555,5.0767,5347415.33
37,1623369600000,5.0766,5.2803,4.6611,4.7734,4614846.99
38,1623456000000,4.7731,4.8596,4.35,4.6416,5445006.92
39,1623542400000,4.6416,5.1586,4.4536,5.05,5537640.99
40,1623628800000,5.0483,5.23,4.91,5.2056,5557486.16
41,1623715200000,5.2056,5.5803,5.0806,5.1827,5743485.84
42,1623801600000,5.1824,5.3688,4.9944,5.056,4841077.93
43,1623888000000,5.0555,5.4047,4.9315,5.0373,3782475.39
44,1623974400000,5.0369,5.119,4.5152,4.6319,4753499.45
45,1624060800000,4.632,4.7536,4.4578,4.4689,3056512.99
46,1624147200000,4.4697,4.6551,4.1493,4.5779,3510500.98
47,1624233600000,4.5793,4.6146,3.4427,3.4552,7989959.52
48,1624320000000,3.4566,3.7159,2.892,3.3235,12444272.75
49,1624406400000,3.3256,3.8616,3.1656,3.7162,6866315.0
50,1624492800000,3.7158,4.0544,3.5133,3.9014,4940062.56
51,1624579200000,3.9014,3.99,3.4852,3.5158,6741817.28
52,1624665600000,3.5146,3.6664,3.3192,3.5499,5789452.23
53,1624752000000,3.5509,3.7224,3.4265,3.7151,4296595.54
54,1624838400000,3.7156,3.8838,3.6153,3.8691,4145657.0
55,1624924800000,3.8691,4.3751,3.8472,4.2251,5300265.75
56,1625011200000,4.2254,4.5169,4.007,4.3747,7993195.12
57,1625097600000,4.3746,4.4513,4.0436,4.1368,5291191.28
58,1625184000000,4.1368,4.2216,3.87,4.1447,3101022.47
59,1625270400000,4.1455,4.6504,4.0336,4.5947,4318624.71
60,1625356800000,4.5953,4.6355,4.344,4.5299,4188158.53
61,1625443200000,4.5305,4.875,4.2637,4.4189,8656094.4
62,1625529600000,4.4192,4.7696,4.3747,4.5508,6664643.95
63,1625616000000,4.5493,4.7099,4.4616,4.5056,3771487.11
64,1625702400000,4.5057,4.5126,3.993,4.0768,5129233.93
65,1625788800000,4.0789,4.2407,3.8286,4.1638,4149970.86
66,1625875200000,4.1637,4.2857,3.9171,4.0625,3501630.74
67,1625961600000,4.0632,4.2716,4.0125,4.1632,3082719.52
68,1626048000000,4.164,4.2815,3.9766,4.0631,3574725.29
69,1626134400000,4.0632,4.0995,3.8272,3.8956,3393265.83
70,1626220800000,3.8956,3.9508,3.6242,3.8973,4974701.44
71,1626307200000,3.897,3.9639,3.6667,3.7647,5406637.88
72,1626393600000,3.7642,3.8925,3.5545,3.597,5153796.09
73,1626480000000,3.5976,3.7691,3.5744,3.6709,4963821.93
74,1626566400000,3.6712,3.899,3.6051,3.6544,5592166.41
75,1626652800000,3.6557,3.6732,3.3244,3.3424,5083975.9
76,1626739200000,3.343,3.4448,3.0413,3.1716,6372494.79
77,1626825600000,3.1723,3.5152,3.0848,3.464,5000649.77
78,1626912000000,3.4642,3.6158,3.3821,3.587,4982537.89
79,1626998400000,3.5863,3.7216,3.4568,3.7027,3819612.92
80,1627084800000,3.7041,3.8096,3.6442,3.7241,3874730.72
81,1627171200000,3.725,3.7871,3.5953,3.7793,3037165.63
82,1627257600000,3.7793,4.1605,3.7786,3.7911,7543064.65
83,1627344000000,3.7908,3.9331,3.6801,3.9307,4175696.01
84,1627430400000,3.9267,4.0084,3.8001,3.9391,4154957.59
85,1627516800000,3.9399,4.1287,3.824,4.1039,4208810.16
86,1627603200000,4.1042,4.263,3.92,4.2468,5359463.86
87,1627689600000,4.2475,4.5128,4.1743,4.4565,5258020.62
88,1627776000000,4.4574,4.7784,4.2571,4.2991,6620797.8
89,1627862400000,4.2999,4.45,4.1797,4.3664,4292576.01
90,1627948800000,4.3666,4.4432,4.0665,4.2018,3881006.3
91,1628035200000,4.2024,4.3735,4.06,4.3333,3535406.0
92,1628121600000,4.3328,4.4979,4.15,4.4661,4426837.23
93,1628208000000,4.4667,4.7721,4.3379,4.728,4748635.1
94,1628294400000,4.731,5.3631,4.6575,5.0656,11250412.0
95,1628380800000,5.0661,5.1501,4.7023,4.7677,6225426.38
96,1628467200000,4.768,5.215,4.6008,4.9782,5576772.82
97,1628553600000,4.9785,5.2081,4.8989,5.1233,4613897.85
98,1628640000000,5.1248,5.4731,5.0925,5.2565,4594255.07
99,1628726400000,5.2564,5.4981,4.9765,5.0295,3897375.81
