,time,Open,High,Low,Close,Volume
0,1620172800000,0.3436,0.3764,0.343,0.367,7820154.96
1,1620259200000,0.3667,0.387,0.3382,0.3482,8802513.68
2,1620345600000,0.3478,0.3878,0.3332,0.3604,11127301.86
3,1620432000000,0.3604,0.374,0.3459,0.3497,6434497.72
4,1620518400000,0.3497,0.3536,0.3297,0.3372,5429928.06
5,1620604800000,0.3372,0.353,0.2924,0.296,9745391.53
6,1620691200000,0.296,0.3199,0.2919,0.3118,8486323.35
7,1620777600000,0.3123,0.3227,0.26,0.2607,9726724.24
8,1620864000000,0.2607,0.2896,0.25,0.2633,10555157.96
9,1620950400000,0.2624,0.4451,0.2589,0.383,156545312.25
10,1621036800000,0.383,0.3973,0.2976,0.301,59751412.95
11,1621123200000,0.3009,0.3497,0.2726,0.2937,40626262.95
12,1621209600000,0.2937,0.2971,0.2527,0.2653,16483669.92
13,1621296000000,0.2648,0.2904,0.2637,0.2713,11020591.05
14,1621382400000,0.2717,0.2769,0.1428,0.1754,20562317.54
15,1621468800000,0.1755,0.2149,0.1527,0.2003,11540835.27
16,1621555200000,0.2003,0.2318,0.1479,0.1637,20375804.03
17,1621641600000,0.1637,0.2666,0.1492,0.1965,117316919.15
18,1621728000000,0.196,0.25,0.145,0.1615,118501226.58
19,1621814400000,0.1615,0.202,0.1486,0.185,51190809.56
20,1621900800000,0.185,0.194,0.1566,0.1843,26585152.94
21,1621987200000,0.185,0.2047,0.1772,0.196,17975652.62
22,1622073600000,0.196,0.21,0.1751,0.1881,17713518.88
23,1622160000000,0.1888,0.1937,0.156,0.1657,15630019.17
24,1622246400000,0.166,0.205,0.1585,0.1669,54426165.96
25,1622332800000,0.1669,0.1827,0.158,0.1744,18948298.31
26,1622419200000,0.1744,0.1849,0.161,0.183,13533841.65
27,1622505600000,0.1826,0.1853,0.169,0.1752,9300737.25
28,1622592000000,0.1752,0.1884,0.1727,0.1834,9370963.22
29,1622678400000,0.1834,0.21,0.1786,0.1949,30594958.43
30,1622764800000,0.1949,0.196,0.1636,0.1715,12869809.04
31,1622851200000,0.1715,0.1777,0.1544,0.1648,9460177.91
32,1622937600000,0.1648,0.1988,0.1612,0.1719,32231770.67
33,1623024000000,0.1711,0.1772,0.1557,0.1568,10981051.35
34,1623110400000,0.1568,0.1621,0.1384,0.1564,9639336.8
35,1623196800000,0.1559,0.1868,0.148,0.1674,36935522.56
36,1623283200000,0.1676,0.1687,0.1519,0.1563,12251586.26
37,1623369600000,0.1561,0.1698,0.1505,0.1544,12845711.69
38,1623456000000,0.1546,0.1553,0.1403,0.141,8250844.4
39,1623542400000,0.141,0.1549,0.1374,0.1541,13331961.09
40,1623628800000,0.1542,0.1592,0.1454,0.1532,10095436.37
41,1623715200000,0.1528,0.1611,0.1501,0.1552,9374353.76
42,1623801600000,0.1551,0.1688,0.1426,0.1442,18231125.24
43,1623888000000,0.1444,0.1586,0.1439,0.1527,18000654.13
44,1623974400000,0.1527,0.1649,0.138,0.1415,71646366.12
45,1624060800000,0.1415,0.146,0.1375,0.1396,6451132.72
46,1624147200000,0.1392,0.1432,0.1253,0.1347,12838241.11
47,1624233600000,0.1349,0.1356,0.1104,0.1108,12889041.09
48,1624320000000,0.1113,0.1171,0.084,0.0959,22738836.39
49,1624406400000,0.0967,0.1118,0.0935,0.1062,8357472.77
50,1624492800000,0.1062,0.1235,0.0997,0.1134,10209419.0
51,1624579200000,0.1138,0.1168,0.0981,0.101,9151918.79
52,1624665600000,0.1006,0.103,0.0902,0.0959,11642520.53
53,1624752000000,0.096,0.134,0.0954,0.108,89341514.85
54,1624838400000,0.1081,0.115,0.1052,0.1101,21841333.41
55,1624924800000,0.1099,0.1173,0.1067,0.1103,18469776.93
56,1625011200000,0.1103,0.1117,0.1005,0.106,15684534.91
57,1625097600000,0.1061,0.1098,0.0984,0.1031,12840201.08
58,1625184000000,0.1029,0.1064,0.098,0.1011,10214177.91
59,1625270400000,0.1013,0.1084,0.1,0.1029,10456521.97
60,1625356800000,0.1027,0.11,0.1009,0.1055,14781162.41
61,1625443200000,0.1054,0.1075,0.101,0.1039,9737685.23
62,1625529600000,0.1042,0.1187,0.1042,0.1118,26314433.51
63,1625616000000,0.1117,0.1215,0.1099,0.1141,21144458.5
64,1625702400000,0.1139,0.1143,0.1,0.1041,9249604.07
65,1625788800000,0.1039,0.11,0.1003,0.1074,7433275.86
66,1625875200000,0.1073,0.1084,0.1012,0.1033,6195213.07
