,time,Open,High,Low,Close,Volume
0,1620172800000,0.8667,0.9998,0.8632,0.9898,13087127.35
1,1620259200000,0.9898,1.1178,0.9372,1.0975,10555726.27
2,1620345600000,1.0963,1.2,0.99,1.0584,14468782.98
3,1620432000000,1.06,1.1656,1.0047,1.0369,4375254.42
4,1620518400000,1.0369,1.045,0.9318,1.0338,4039073.7
5,1620604800000,1.0338,1.04,0.8863,0.8988,3006756.37
6,1620691200000,0.9011,0.9733,0.856,0.9724,2966766.42
7,1620777600000,0.9732,0.9979,0.788,0.7956,2821598.31
8,1620864000000,0.7938,0.8376,0.7263,0.8062,5127643.84
9,1620950400000,0.8083,0.947,0.7921,0.8414,4514582.01
10,1621036800000,0.8415,0.8432,0.766,0.7817,1767688.54
11,1621123200000,0.7788,0.8303,0.7324,0.7794,1525999.51
12,1621209600000,0.7796,0.7932,0.6541,0.6959,3740058.88
13,1621296000000,0.6981,0.7942,0.6981,0.7277,5400447.27
14,1621382400000,0.7255,0.8895,0.4112,0.5153,22887127.46
15,1621468800000,0.5164,3.3,0.4639,2.4318,129781136.32
16,1621555200000,2.4318,3.3,1.1689,1.3506,154636997.74
17,1621641600000,1.3506,1.3528,0.8348,0.8925,59986939.46
18,1621728000000,0.8894,1.2396,0.5732,0.7534,61062753.6
19,1621814400000,0.7454,1.15,0.7267,0.9185,48690240.57
20,1621900800000,0.9191,1.066,0.7659,1.0436,26969888.59
21,1621987200000,1.0467,1.3,0.93,1.1722,28410733.25
22,1622073600000,1.1734,1.1835,1.0126,1.065,10667951.67
23,1622160000000,1.0616,1.35,0.9998,1.1689,36467402.04
24,1622246400000,1.1689,1.1961,0.9513,1.0449,11306606.23
25,1622332800000,1.0406,1.0495,0.9038,1.0348,9881252.85
26,1622419200000,1.0352,1.0755,0.93,1.0609,6229951.56
27,1622505600000,1.0608,1.0688,0.9849,1.0147,5834007.79
28,1622592000000,1.0191,1.0992,1.0,1.0517,5566265.8
29,1622678400000,1.0546,1.1489,1.0397,1.0986,6587594.29
30,1622764800000,1.0989,1.0989,0.9362,1.0087,4053272.12
31,1622851200000,1.0042,1.0212,0.9278,0.9579,2380552.75
32,1622937600000,0.9538,1.2493,0.9537,1.0378,23306911.77
33,1623024000000,1.0355,1.0643,0.9186,0.935,5880860.49
34,1623110400000,0.9351,1.0074,0.7899,0.9221,6573153.44
35,1623196800000,0.923,1.0504,0.9041,0.9842,13038143.56
36,1623283200000,0.9842,0.9873,0.9107,0.9379,5430247.76
37,1623369600000,0.9393,0.9405,0.8454,0.8579,4555190.1
38,1623456000000,0.8599,0.8599,0.7267,0.784,3977812.53
39,1623542400000,0.7834,0.8799,0.7625,0.8681,9492940.12
40,1623628800000,0.872,0.95,0.8417,0.8912,6166282.03
41,1623715200000,0.8913,0.8913,0.8442,0.8658,2780910.1
42,1623801600000,0.8652,0.8652,0.8002,0.8172,2625789.42
43,1623888000000,0.8185,0.8457,0.7936,0.8242,1631036.18
44,1623974400000,0.8218,0.824,0.7358,0.7619,2364823.56
45,1624060800000,0.7605,0.8,0.7236,0.7464,2588771.06
46,1624147200000,0.7465,0.7465,0.6441,0.7205,2870202.67
47,1624233600000,0.7206,0.7242,0.4893,0.5021,6044203.87
48,1624320000000,0.5011,0.5928,0.3837,0.4694,9769277.98
49,1624406400000,0.4694,0.5475,0.4353,0.5098,4582436.58
50,1624492800000,0.5112,0.5833,0.496,0.5747,4510076.72
51,1624579200000,0.5753,0.5814,0.5024,0.514,3552000.1
52,1624665600000,0.5147,0.602,0.5,0.5552,7034314.89
53,1624752000000,0.5556,0.5638,0.5243,0.5636,2951457.6
54,1624838400000,0.5635,0.5995,0.5362,0.5991,3111309.3
55,1624924800000,0.598,0.6821,0.5829,0.6821,5209848.33
56,1625011200000,0.6808,0.965,0.6675,0.8245,42602362.6
57,1625097600000,0.8251,0.8256,0.6854,0.735,11365625.82
58,1625184000000,0.7329,0.7442,0.6553,0.7143,5050948.3
59,1625270400000,0.7141,0.7448,0.679,0.7438,3099864.82
60,1625356800000,0.7446,0.765,0.701,0.7595,3868702.01
61,1625443200000,0.7577,0.8038,0.6875,0.8009,3253433.72
62,1625529600000,0.8003,0.8099,0.7514,0.7976,3696452.1
63,1625616000000,0.7974,0.9094,0.7969,0.8286,6207626.57
64,1625702400000,0.8264,0.8264,0.7,0.7214,4038619.75
65,1625788800000,0.7215,0.7497,0.6701,0.7407,3104045.61
66,1625875200000,0.7407,0.7896,0.7132,0.7434,3719626.59
67,1625961600000,0.7412,0.7664,0.7116,0.7617,2265440.56
68,1626048000000,0.7622,0.8028,0.7322,0.7601,3668891.19
69,1626134400000,0.7602,0.897,0.734,0.8291,11369922.38
70,1626220800000,0.8289,0.8459,0.7043,0.767,7362028.33
71,1626307200000,0.7671,0.7755,0.7067,0.726,3586992.62
72,1626393600000,0.7246,0.8092,0.7177,0.753,6420799.53
73,1626480000000,0.7545,0.7576,0.6752,0.7084,3600304.09
74,1626566400000,0.7085,0.7296,0.6848,0.7055,2326167.08
75,1626652800000,0.7049,0.7086,0.6393,0.6591,1500261.19
76,1626739200000,0.6584,0.6591,0.5617,0.6001,3538468.82
77,1626825600000,0.5989,0.6549,0.5719,0.6524,2869972.45
78,1626912000000,0.6543,0.6711,0.6294,0.6707,2031232.84
79,1626998400000,0.6689,0.6831,0.6454,0.6797,1554403.78
80,1627084800000,0.681,0.727,0.6623,0.7003,2893758.72
81,1627171200000,0.7014,0.715,0.6726,0.7075,1881988.31
82,1627257600000,0.7057,0.862,0.6975,0.7453,10908616.94
83,1627344000000,0.7447,0.7653,0.7034,0.7566,4846268.86
84,1627430400000,0.7548,0.8089,0.729,0.7575,3036199.87
85,1627516800000,0.7585,0.8,0.7338,0.7966,6189468.09
86,1627603200000,0.7958,0.9643,0.7631,0.8208,10574733.38
87,1627689600000,0.8206,0.8316,0.7905,0.8193,3246151.8
88,1627776000000,0.819,0.8239,0.7676,0.7825,2578107.48
89,1627862400000,0.7811,0.7927,0.7539,0.7883,1894093.73
90,1627948800000,0.7883,0.7883,0.751,0.7709,1657492.82
91,1628035200000,0.7709,0.7987,0.7544,0.7965,1640467.37
92,1628121600000,0.7966,0.8032,0.76,0.8006,1633766.61
93,1628208000000,0.8006,0.8747,0.7775,0.8346,4964966.27
94,1628294400000,0.8351,0.8989,0.8255,0.8649,4491205.38
95,1628380800000,0.8644,0.94,0.8265,0.85,4081299.17
96,1628467200000,0.8524,0.9,0.8191,0.8785,2827560.21
97,1628553600000,0.8791,0.8816,0.8519,0.8747,2589199.08
98,1628640000000,0.8747,0.9283,0.8445,0.9151,5591729.95
99,1628726400000,0.9156,0.9325,0.857,0.8608,2135527.33
