,time,Open,High,Low,Close,Volume
0,1620172800000,1.76,2.17,1.7455,2.1424,77793652.75
1,1620259200000,2.1439,2.8287,2.057,2.67,219329328.55
2,1620345600000,2.67,2.9583,2.305,2.4568,178202655.23
3,1620432000000,2.4583,2.6195,2.31,2.4528,76383980.82
4,1620518400000,2.453,2.798,2.3611,2.6934,127727876.49
5,1620604800000,2.6929,2.738,2.1026,2.318,84941441.81
6,1620691200000,2.3176,2.565,2.2,2.5568,75556946.34
7,1620777600000,2.5587,2.67,2.04,2.0971,80004422.94
8,1620864000000,2.0971,2.2893,1.9127,2.1275,96534391.43
9,1620950400000,2.1264,2.2664,2.0905,2.1795,53727428.96
10,1621036800000,2.1796,2.2013,1.957,1.9754,51597850.65
11,1621123200000,1.9753,2.189,1.8566,1.978,59792692.37
12,1621209600000,1.9779,1.9798,1.6918,1.815,77525462.69
13,1621296000000,1.8148,1.9541,1.7883,1.8707,53825653.92
14,1621382400000,1.8722,1.9042,0.765,1.1288,152739728.09
15,1621468800000,1.1268,1.82,0.9906,1.6427,133046552.4
16,1621555200000,1.6428,1.6996,1.0629,1.2773,153084346.81
17,1621641600000,1.2751,1.2855,1.0771,1.1244,74869517.2
18,1621728000000,1.1252,1.2094,0.7373,0.9174,130880416.54
19,1621814400000,0.9172,1.15,0.874,1.1379,89571512.79
20,1621900800000,1.1395,1.2336,1.0228,1.1588,84132630.78
21,1621987200000,1.1576,1.3288,1.122,1.3034,65467595.35
22,1622073600000,1.3039,1.3187,1.1457,1.2378,56407704.31
23,1622160000000,1.2387,1.2736,1.0256,1.0874,70028452.07
24,1622246400000,1.0877,1.1324,0.9598,1.0248,49387617.12
25,1622332800000,1.0251,1.1038,0.9564,1.055,39134937.52
26,1622419200000,1.0549,1.1509,0.9977,1.1439,40539728.65
27,1622505600000,1.1437,1.156,1.0693,1.1142,35122561.25
28,1622592000000,1.1141,1.198,1.087,1.1757,35553000.9
29,1622678400000,1.1756,1.2658,1.1566,1.2259,40994671.79
30,1622764800000,1.2263,1.2356,1.0606,1.1125,35716007.92
31,1622851200000,1.1127,1.1583,1.0277,1.06,28797526.25
32,1622937600000,1.0597,1.1456,1.0481,1.1057,25879705.49
33,1623024000000,1.106,1.1297,0.9771,0.9891,26546160.14
34,1623110400000,0.9891,1.0052,0.866,0.9635,42993194.23
35,1623196800000,0.9638,1.0116,0.9148,1.0116,31112815.92
36,1623283200000,1.0118,1.0521,0.9559,0.9709,30616940.88
37,1623369600000,0.9713,0.9975,0.9092,0.927,23245064.88
38,1623456000000,0.9266,0.9266,0.8503,0.8992,26785528.3
39,1623542400000,0.8992,0.9571,0.8621,0.9511,19769823.21
40,1623628800000,0.9505,0.9741,0.9222,0.9641,21404049.91
41,1623715200000,0.9645,0.9888,0.929,0.9624,20405233.15
42,1623801600000,0.9623,0.9645,0.8967,0.9165,20062060.38
43,1623888000000,0.9157,0.956,0.8898,0.9082,14431740.8
44,1623974400000,0.9087,0.909,0.8181,0.8492,22293039.5
45,1624060800000,0.8492,0.8742,0.8323,0.8346,13769142.33
46,1624147200000,0.8346,0.8462,0.7729,0.8325,21843231.08
47,1624233600000,0.8323,0.8384,0.6191,0.6215,48424312.02
48,1624320000000,0.6215,0.6669,0.5088,0.5813,85502755.61
49,1624406400000,0.5825,0.654,0.5554,0.6275,43894966.28
50,1624492800000,0.6273,0.6723,0.6009,0.66,30179038.18
51,1624579200000,0.6606,0.6756,0.5858,0.5981,37858570.38
52,1624665600000,0.598,0.6285,0.5687,0.612,25554777.6
53,1624752000000,0.6125,0.631,0.5904,0.6298,18377185.06
54,1624838400000,0.6299,0.6591,0.6245,0.6576,22125404.8
55,1624924800000,0.6571,0.7309,0.6541,0.7183,36419185.0
56,1625011200000,0.7186,0.7643,0.6807,0.7495,43328935.96
57,1625097600000,0.7492,0.7498,0.6821,0.7018,23151666.93
58,1625184000000,0.7016,0.7154,0.6677,0.7089,16332527.06
59,1625270400000,0.7092,0.7245,0.69,0.7132,23213784.91
60,1625356800000,0.7134,0.7387,0.693,0.7206,15075258.93
61,1625443200000,0.7209,0.7242,0.6795,0.7149,23064070.29
62,1625529600000,0.715,0.7426,0.7092,0.7297,24650760.62
63,1625616000000,0.7297,0.7864,0.7255,0.7668,30426349.61
64,1625702400000,0.7668,0.7671,0.6833,0.7025,27446595.94
65,1625788800000,0.702,0.71,0.6628,0.6995,21211228.7
66,1625875200000,0.6996,0.7142,0.6705,0.6881,15735216.31
67,1625961600000,0.6881,0.7158,0.6746,0.7031,16118153.92
68,1626048000000,0.7032,0.722,0.6752,0.6922,18577429.36
69,1626134400000,0.6921,0.7208,0.6752,0.7143,24391623.46
70,1626220800000,0.7145,0.7157,0.646,0.6909,27713726.85
71,1626307200000,0.6909,0.701,0.6422,0.6536,24577711.21
72,1626393600000,0.6537,0.6669,0.6146,0.6227,21218994.57
73,1626480000000,0.6227,0.6465,0.6105,0.634,23145141.77
74,1626566400000,0.6342,0.6655,0.6208,0.6611,17447279.06
75,1626652800000,0.6611,0.6667,0.5938,0.6055,29876596.51
76,1626739200000,0.6054,0.6168,0.5475,0.5684,29237364.96
77,1626825600000,0.5686,0.6208,0.5519,0.6127,25836413.46
78,1626912000000,0.6127,0.6317,0.5969,0.6268,23597279.57
79,1626998400000,0.6265,0.6458,0.6124,0.6447,21802212.61
80,1627084800000,0.6449,0.6749,0.6383,0.6589,21047391.12
81,1627171200000,0.6591,0.6749,0.639,0.6699,21417245.84
82,1627257600000,0.6698,0.7365,0.6653,0.6763,43262937.58
83,1627344000000,0.6764,0.7063,0.6572,0.7047,21924971.84
84,1627430400000,0.705,0.7171,0.6858,0.7072,23101647.91
85,1627516800000,0.7071,0.7515,0.6905,0.7457,20195163.37
86,1627603200000,0.7456,0.8788,0.7452,0.8147,76235816.36
87,1627689600000,0.8146,0.8669,0.7875,0.8577,46171238.37
88,1627776000000,0.858,0.8685,0.7857,0.7994,30961056.88
89,1627862400000,0.7995,0.8294,0.7849,0.8183,21037944.64
90,1627948800000,0.8183,0.8245,0.773,0.8212,18110390.23
91,1628035200000,0.8216,0.9305,0.7888,0.8502,31815469.02
92,1628121600000,0.8497,0.8551,0.805,0.8545,34103952.83
93,1628208000000,0.8545,0.8966,0.8297,0.8824,32814570.01
94,1628294400000,0.8826,0.9399,0.8682,0.9176,37127134.81
95,1628380800000,0.9191,0.9388,0.8474,0.8723,25870471.4
96,1628467200000,0.8726,0.9511,0.8606,0.917,34216631.34
97,1628553600000,0.9171,0.9474,0.8962,0.936,26427731.67
98,1628640000000,0.9365,1.0608,0.9365,1.0174,40933825.81
99,1628726400000,1.017,1.0566,0.9553,0.9648,22435884.85
