,time,Open,High,Low,Close,Volume
0,1620172800000,14.192,16.334,13.893,15.834,708274.204
1,1620259200000,15.84,16.142,14.411,14.804,628146.073
2,1620345600000,14.79,16.3,14.11,15.766,693166.332
3,1620432000000,15.767,17.65,15.52,16.371,1617664.097
4,1620518400000,16.392,16.66,15.25,15.597,716384.087
5,1620604800000,15.61,16.284,12.5,14.343,899337.681
6,1620691200000,14.346,14.675,13.223,14.242,561239.254
7,1620777600000,14.216,14.812,11.7,11.945,684965.694
8,1620864000000,11.945,13.407,11.557,12.493,875793.415
9,1620950400000,12.493,14.4,12.414,13.231,473304.339
10,1621036800000,13.226,13.39,12.137,12.257,517649.525
11,1621123200000,12.257,13.313,11.0,12.369,710962.644
12,1621209600000,12.383,12.44,10.436,10.737,729865.679
13,1621296000000,10.743,11.95,10.539,11.677,586497.871
14,1621382400000,11.678,11.881,4.922,7.988,1580466.425
15,1621468800000,7.98,9.87,7.276,8.805,1014742.856
16,1621555200000,8.794,9.343,6.461,7.96,1088853.032
17,1621641600000,7.959,8.469,6.6,7.444,796554.69
18,1621728000000,7.438,7.72,5.3,6.558,1084853.124
19,1621814400000,6.553,8.457,6.412,8.203,927200.354
20,1621900800000,8.204,8.44,7.01,7.813,676177.915
21,1621987200000,7.848,9.5,7.704,8.586,880344.413
22,1622073600000,8.588,8.6,7.747,7.894,443165.713
23,1622160000000,7.919,8.066,6.501,6.842,1155126.08
24,1622246400000,6.839,7.242,6.145,6.523,689402.84
25,1622332800000,6.522,7.413,6.109,7.124,383657.464
26,1622419200000,7.123,8.0,6.769,7.947,382090.538
27,1622505600000,7.939,8.23,7.322,7.553,349110.388
28,1622592000000,7.558,8.4,7.352,7.961,337156.416
29,1622678400000,7.973,8.5,7.9,8.367,269382.061
30,1622764800000,8.364,8.4,7.03,7.395,358500.194
31,1622851200000,7.394,7.8,6.75,7.075,305543.959
32,1622937600000,7.038,7.529,6.924,7.354,205905.827
33,1623024000000,7.397,8.0,6.805,6.854,508058.516
34,1623110400000,6.855,7.094,5.75,6.49,824665.673
35,1623196800000,6.479,8.55,6.163,8.255,1452426.921
36,1623283200000,8.283,8.313,7.201,7.354,972124.741
37,1623369600000,7.4,7.767,6.72,6.9,426402.543
38,1623456000000,6.927,7.263,6.4,6.696,452115.625
39,1623542400000,6.699,7.45,6.653,7.319,259279.501
40,1623628800000,7.316,8.35,7.233,8.288,521625.767
41,1623715200000,8.266,9.95,8.205,9.853,1633990.379
42,1623801600000,9.856,10.0,8.854,8.981,1437515.294
43,1623888000000,9.004,9.121,8.007,8.257,867099.333
44,1623974400000,8.252,8.324,7.154,7.4,667724.528
45,1624060800000,7.409,7.469,6.968,6.979,371771.083
