,time,Open,High,Low,Close,Volume
0,1620172800000,0.599,0.66,0.5977,0.6585,12424956.68
1,1620259200000,0.6577,0.7099,0.6443,0.6676,21440301.57
2,1620345600000,0.6676,0.7362,0.6348,0.6726,21908392.86
3,1620432000000,0.6721,0.6961,0.6469,0.6669,9583306.36
4,1620518400000,0.667,0.6694,0.6286,0.6516,10204468.46
5,1620604800000,0.6506,0.6681,0.5788,0.6017,15755399.22
6,1620691200000,0.6016,0.6398,0.569,0.6187,12894563.85
7,1620777600000,0.62,0.6625,0.5501,0.5599,17217273.8
8,1620864000000,0.5548,0.6053,0.531,0.5482,13543933.9
9,1620950400000,0.5482,0.5974,0.547,0.5759,7895470.05
10,1621036800000,0.5768,0.6283,0.5516,0.5528,19279358.09
11,1621123200000,0.5537,0.6674,0.5468,0.6146,38786887.23
12,1621209600000,0.615,0.62,0.5135,0.5313,21781378.21
13,1621296000000,0.5322,0.5624,0.5204,0.5324,14418092.26
14,1621382400000,0.533,0.5401,0.3031,0.3775,23622277.23
15,1621468800000,0.3768,0.4324,0.322,0.4184,14323085.72
16,1621555200000,0.4184,0.5012,0.3338,0.3726,20635983.02
17,1621641600000,0.3726,0.465,0.3371,0.4237,23617885.84
18,1621728000000,0.4237,0.4279,0.2762,0.3299,17836879.38
19,1621814400000,0.3299,0.3806,0.3163,0.3782,17166485.86
20,1621900800000,0.3776,0.536,0.3517,0.4396,101370412.41
21,1621987200000,0.4403,0.5247,0.4288,0.4851,53073046.81
22,1622073600000,0.4867,0.4975,0.436,0.4417,21381417.05
23,1622160000000,0.4427,0.4492,0.373,0.3978,16904411.87
24,1622246400000,0.3979,0.4249,0.3501,0.3715,31401597.24
25,1622332800000,0.3719,0.4319,0.351,0.397,15677408.84
26,1622419200000,0.397,0.4218,0.3755,0.41,7075568.31
27,1622505600000,0.4101,0.4173,0.3877,0.3938,10648388.95
28,1622592000000,0.3941,0.4164,0.389,0.4042,7548839.67
29,1622678400000,0.403,0.425,0.3993,0.4062,6639731.68
30,1622764800000,0.4066,0.4077,0.3555,0.3745,9374220.11
31,1622851200000,0.3753,0.418,0.359,0.3655,7673228.07
32,1622937600000,0.3656,0.405,0.3649,0.3754,13038843.74
33,1623024000000,0.3745,0.4082,0.3502,0.3559,14057359.75
34,1623110400000,0.3569,0.3687,0.3083,0.3378,8025328.52
35,1623196800000,0.3378,0.3661,0.3233,0.3468,8583817.79
36,1623283200000,0.3469,0.3821,0.3269,0.3313,75621000.32
37,1623369600000,0.3308,0.3455,0.3038,0.3068,12384351.02
38,1623456000000,0.3067,0.3299,0.2916,0.3088,6802399.69
39,1623542400000,0.3098,0.3267,0.2963,0.3248,5830332.19
40,1623628800000,0.3247,0.342,0.3132,0.3294,8958390.91
41,1623715200000,0.3296,0.3428,0.3246,0.3286,34307315.64
42,1623801600000,0.3283,0.3325,0.3115,0.3119,27259006.85
43,1623888000000,0.3118,0.3304,0.3103,0.3142,18656956.63
44,1623974400000,0.3142,0.3149,0.288,0.2949,3699494.76
45,1624060800000,0.295,0.301,0.2886,0.2917,4112908.57
46,1624147200000,0.2916,0.2934,0.2718,0.2835,6001901.34
47,1624233600000,0.2835,0.2853,0.2312,0.234,27888732.83
48,1624320000000,0.2346,0.2441,0.1965,0.2173,63143000.28
49,1624406400000,0.2176,0.25,0.2079,0.2384,65860953.92
50,1624492800000,0.2382,0.2569,0.226,0.2469,34419299.54
51,1624579200000,0.2469,0.2675,0.2284,0.2337,31085071.6
52,1624665600000,0.2341,0.2412,0.224,0.237,19213129.77
53,1624752000000,0.2371,0.2494,0.2328,0.2486,12022094.23
54,1624838400000,0.2486,0.2636,0.2431,0.2547,6959944.17
55,1624924800000,0.2552,0.273,0.2519,0.2618,4872460.46
56,1625011200000,0.2622,0.2644,0.2442,0.261,5862431.9
57,1625097600000,0.2607,0.3189,0.2433,0.2893,21734638.77
58,1625184000000,0.289,0.2945,0.2643,0.2756,17599043.63
59,1625270400000,0.2756,0.2877,0.2703,0.2731,10043068.97
60,1625356800000,0.2731,0.2888,0.2689,0.2775,7969894.93
61,1625443200000,0.2771,0.2771,0.2593,0.2659,5566054.97
62,1625529600000,0.2663,0.2948,0.2657,0.277,9387235.69
63,1625616000000,0.2766,0.2925,0.2753,0.2769,7164419.01
64,1625702400000,0.277,0.3923,0.2638,0.3197,93043251.22
65,1625788800000,0.3202,0.3792,0.3104,0.326,65070432.75
66,1625875200000,0.3258,0.345,0.2972,0.3047,20256999.33
67,1625961600000,0.3043,0.3473,0.2981,0.3315,22816646.92
68,1626048000000,0.3317,0.3449,0.3057,0.3103,22443311.22
69,1626134400000,0.3104,0.3417,0.31,0.3172,19749922.02
70,1626220800000,0.3172,0.3189,0.2907,0.3,11668345.8
71,1626307200000,0.3004,0.309,0.2827,0.2867,15421360.36
72,1626393600000,0.2868,0.2983,0.264,0.2655,9594609.75
73,1626480000000,0.265,0.2727,0.261,0.262,4150517.64
74,1626566400000,0.262,0.298,0.2518,0.2608,13981395.31
75,1626652800000,0.2611,0.2639,0.2441,0.248,5073771.25
76,1626739200000,0.2478,0.2501,0.2229,0.2315,11667564.31
77,1626825600000,0.2313,0.2513,0.2265,0.2481,7190016.47
78,1626912000000,0.2483,0.3212,0.2449,0.2969,29982436.06
79,1626998400000,0.2967,0.2979,0.2656,0.285,18031317.82
80,1627084800000,0.2849,0.2857,0.275,0.2784,9418455.0
81,1627171200000,0.2784,0.2813,0.2709,0.2777,4320025.14
82,1627257600000,0.278,0.297,0.2739,0.274,9610490.8
