,time,Open,High,Low,Close,Volume
0,1620172800000,0.9996,1.0055,0.9973,0.9987,15356752.53
1,1620259200000,0.9987,1.0016,0.993,0.9993,10276623.28
2,1620345600000,0.9992,0.9997,0.9984,0.9991,8404200.62
3,1620432000000,0.999,0.9993,0.9977,0.9987,11407557.53
4,1620518400000,0.9987,1.0013,0.9982,0.9989,9982588.85
5,1620604800000,0.999,0.9998,0.9979,0.9991,15553975.7
6,1620691200000,0.9991,1.0021,0.9981,0.9985,12045062.13
7,1620777600000,0.9987,1.0019,0.9981,1.0,16728800.6
8,1620864000000,1.0,1.0025,0.9984,0.9998,15887940.87
9,1620950400000,0.9997,0.9998,0.9978,0.9987,9808451.75
10,1621036800000,0.9991,1.0001,0.9986,0.9996,7884877.55
11,1621123200000,0.9996,1.0007,0.999,0.9995,12241716.06
12,1621209600000,0.9995,1.0007,0.9986,0.9997,12021459.98
13,1621296000000,0.9997,1.0,0.998,0.9993,11031324.86
14,1621382400000,0.9993,1.0131,0.9961,0.9982,22518811.53
15,1621468800000,0.9982,1.0042,0.9966,0.9978,13187170.42
16,1621555200000,0.9978,1.0103,0.9962,0.9983,8893055.02
17,1621641600000,0.9983,1.0028,0.9983,0.999,9025315.15
18,1621728000000,0.999,0.9998,0.9984,0.9986,8294619.12
19,1621814400000,0.9985,0.9994,0.998,0.9989,9181016.83
20,1621900800000,0.9989,0.9993,0.9979,0.9989,13064338.02
21,1621987200000,0.9989,0.9991,0.998,0.9986,8426877.56
22,1622073600000,0.9986,0.9993,0.9983,0.9989,4569683.73
23,1622160000000,0.9989,1.0095,0.9986,0.9994,7884448.12
24,1622246400000,0.9994,1.0015,0.9991,0.9992,5328229.62
25,1622332800000,0.9993,0.9998,0.9986,0.9995,4590872.19
26,1622419200000,0.9995,0.9999,0.9991,0.9995,5282284.55
27,1622505600000,0.9995,1.001,0.9995,1.0,4407461.67
28,1622592000000,1.0,1.0005,0.9998,0.9999,7753628.74
29,1622678400000,0.9999,1.0003,0.9992,0.9999,5333815.69
30,1622764800000,0.9999,1.0006,0.9992,0.9995,5911590.2
31,1622851200000,0.9995,1.0,0.9992,0.9997,4585581.6
32,1622937600000,0.9997,1.1237,0.9986,0.9997,3855455.16
33,1623024000000,0.9997,1.0,0.9992,0.9996,6628194.46
34,1623110400000,0.9996,0.9999,0.999,0.9992,10236465.0
35,1623196800000,0.9993,0.9999,0.9987,0.9996,6938020.51
36,1623283200000,0.9995,1.0017,0.999,0.9995,5959836.15
37,1623369600000,0.9995,1.0957,0.9992,1.0,4300401.04
38,1623456000000,1.0,1.0003,0.9993,0.9998,4890199.45
39,1623542400000,0.9997,1.0003,0.9996,1.0,3721556.53
40,1623628800000,1.0,1.011,0.9995,0.9997,7498332.64
41,1623715200000,0.9997,1.0019,0.999,0.9999,4781666.48
42,1623801600000,0.9999,1.0006,0.9993,1.0001,5175085.01
43,1623888000000,1.0002,1.0004,0.9918,1.0001,3752289.92
44,1623974400000,1.0001,1.0002,0.9988,0.9996,6695377.82
45,1624060800000,0.9995,1.0015,0.9993,0.9998,6825753.19
46,1624147200000,0.9997,1.0007,0.999,1.0003,4014220.0
47,1624233600000,1.0003,1.0006,0.999,1.0002,5131894.38
48,1624320000000,1.0002,1.0005,0.9982,0.9996,9074057.19
49,1624406400000,0.9996,1.0003,0.9994,0.9999,6672578.76
50,1624492800000,0.9999,1.0019,0.9992,1.0001,4143751.34
51,1624579200000,1.0001,1.0007,0.9998,1.0,4841522.98
52,1624665600000,0.9999,1.0003,0.9997,1.0,2611620.23
53,1624752000000,1.0,1.0004,0.9995,0.9997,3916915.72
54,1624838400000,0.9996,1.0002,0.9995,0.9998,2840124.07
55,1624924800000,0.9998,1.0001,0.9992,1.0,2490492.23
56,1625011200000,1.0,1.0001,0.9995,0.9998,3891404.48
57,1625097600000,0.9997,1.0001,0.9997,0.9998,2690958.61
58,1625184000000,0.9998,1.001,0.9997,0.9998,4073235.7
59,1625270400000,0.9999,1.0019,0.9997,0.9999,3033280.57
60,1625356800000,0.9999,1.0002,0.9996,0.9999,2991495.06
61,1625443200000,0.9999,1.0012,0.9993,0.9997,4970802.25
62,1625529600000,0.9997,1.0004,0.9985,1.0,3847912.14
63,1625616000000,1.0,1.0003,0.9987,0.9999,4089289.55
64,1625702400000,0.9999,1.0003,0.999,1.0,2637082.95
65,1625788800000,1.0,1.0004,0.9998,1.0001,2725639.82
66,1625875200000,1.0001,1.0011,0.9997,1.0,2314252.07
67,1625961600000,1.0,1.0005,0.9998,0.9999,1621706.28
68,1626048000000,0.9999,1.0004,0.9997,1.0,3437300.11
69,1626134400000,0.9999,1.0004,0.9997,1.0002,3056172.97
70,1626220800000,1.0002,1.004,0.9996,0.9999,3308563.11
71,1626307200000,0.9998,1.0039,0.9996,1.0001,5436573.35
72,1626393600000,1.0,1.0002,0.9997,0.9997,3089338.21
73,1626480000000,0.9997,1.0003,0.9996,0.9999,3576109.16
74,1626566400000,0.9999,1.0001,0.9996,1.0,3701584.13
75,1626652800000,0.9999,1.0006,0.9998,1.0,3676498.95
76,1626739200000,1.0,1.0037,0.9996,1.0,4229629.67
77,1626825600000,1.0,1.001,0.9996,1.0,4722677.81
78,1626912000000,0.9999,1.0028,0.9901,0.9999,4906473.45
79,1626998400000,0.9999,1.0016,0.9997,0.9997,3724428.37
80,1627084800000,0.9997,1.0,0.9992,0.9994,2590919.18
81,1627171200000,0.9995,1.0,0.9992,0.9993,2618888.79
82,1627257600000,0.9993,999.0,0.9987,0.9996,12459529.55
83,1627344000000,0.9997,1.0003,0.9989,0.9998,6531000.72
84,1627430400000,0.9998,1.001,0.997,0.9997,5908695.39
85,1627516800000,0.9997,1.0001,0.9996,0.9997,3584301.84
86,1627603200000,0.9997,0.9999,0.9996,0.9996,5982924.51
87,1627689600000,0.9997,1.0,0.9994,0.9994,10748430.25
88,1627776000000,0.9994,0.9997,0.9994,0.9997,2719736.15
89,1627862400000,0.9996,0.9999,0.9996,0.9998,6171300.33
90,1627948800000,0.9998,1.0002,0.9998,1.0001,6449985.74
91,1628035200000,1.0002,1.0002,1.0001,1.0001,3522744.1
92,1628121600000,1.0001,1.0004,0.9994,0.9994,11762266.35
93,1628208000000,0.9994,0.9997,0.9994,0.9996,7309662.46
94,1628294400000,0.9996,0.9997,0.9993,0.9994,9087768.59
95,1628380800000,0.9993,0.9994,0.9992,0.9993,4958096.41
96,1628467200000,0.9993,0.9998,0.9993,0.9996,7323577.02
97,1628553600000,0.9996,0.9998,0.9996,0.9997,5011170.58
98,1628640000000,0.9997,0.9998,0.9996,0.9996,6292131.36
99,1628726400000,0.9996,0.9997,0.9996,0.9996,1495237.38
