,time,Open,High,Low,Close,Volume
0,1620172800000,0.14225,0.162,0.14037,0.15338,32907364.7
1,1620259200000,0.15366,0.15403,0.14008,0.14458,32202047.4
2,1620345600000,0.14458,0.14651,0.13717,0.14,33382834.5
3,1620432000000,0.13997,0.14453,0.13774,0.1418,21591819.9
4,1620518400000,0.14198,0.144,0.135,0.1375,21850950.6
5,1620604800000,0.13755,0.157,0.12416,0.13655,92267576.4
6,1620691200000,0.13622,0.1599,0.13455,0.14344,114909294.5
7,1620777600000,0.14305,0.1445,0.11542,0.1158,41259770.1
8,1620864000000,0.11581,0.12652,0.10499,0.11367,39555254.1
9,1620950400000,0.11367,0.12868,0.11226,0.11956,28694142.2
10,1621036800000,0.1191,0.12094,0.10647,0.11027,21160620.3
11,1621123200000,0.11027,0.12016,0.10199,0.10851,22349578.8
12,1621209600000,0.10851,0.10851,0.09415,0.09983,35897492.3
13,1621296000000,0.09959,0.118,0.09904,0.11342,63682289.5
14,1621382400000,0.11391,0.117,0.05987,0.06874,120032496.2
15,1621468800000,0.06874,0.0837,0.06103,0.07713,47937165.8
16,1621555200000,0.07678,0.08187,0.0541,0.0626,57473926.8
17,1621641600000,0.06276,0.06408,0.05365,0.05702,23631428.7
18,1621728000000,0.0571,0.06177,0.037,0.04614,45646441.6
19,1621814400000,0.04651,0.05635,0.04563,0.05552,27622680.4
20,1621900800000,0.05552,0.06448,0.05001,0.064,70613165.4
21,1621987200000,0.064,0.069,0.06083,0.06781,48645661.3
22,1622073600000,0.06744,0.0712,0.05903,0.06804,49943289.3
23,1622160000000,0.06757,0.06861,0.05372,0.05698,38613894.2
24,1622246400000,0.0573,0.05948,0.04904,0.05168,18568041.4
25,1622332800000,0.05168,0.05628,0.04879,0.05399,13995712.0
26,1622419200000,0.05399,0.0586,0.05098,0.05855,20446210.9
27,1622505600000,0.05846,0.06138,0.05612,0.06115,22652349.2
28,1622592000000,0.06115,0.06596,0.0586,0.06245,31092220.7
29,1622678400000,0.06245,0.06537,0.06101,0.06357,19887180.0
30,1622764800000,0.06377,0.06383,0.05431,0.05621,17148699.6
31,1622851200000,0.05621,0.06127,0.05284,0.055,13955279.5
32,1622937600000,0.05515,0.123,0.05515,0.07465,367785217.6
33,1623024000000,0.07451,0.07841,0.05815,0.05956,188125409.9
34,1623110400000,0.05944,0.0755,0.05269,0.06189,279300584.8
35,1623196800000,0.06189,0.07972,0.05764,0.07118,244633446.4
36,1623283200000,0.0712,0.07164,0.06182,0.06396,93861310.2
37,1623369600000,0.06414,0.07259,0.06134,0.064,61673912.3
38,1623456000000,0.06375,0.06426,0.05686,0.05986,35655183.4
39,1623542400000,0.06008,0.065,0.058,0.06406,23456487.5
40,1623628800000,0.06407,0.0725,0.06242,0.06957,58077743.1
41,1623715200000,0.06951,0.1075,0.06685,0.09315,662520226.3
42,1623801600000,0.09316,0.1264,0.08867,0.10556,838585507.0
43,1623888000000,0.10566,0.122,0.09802,0.10052,452849633.0
44,1623974400000,0.10047,0.13478,0.094,0.10725,711420396.1
45,1624060800000,0.10725,0.11,0.09257,0.09275,185928323.6
46,1624147200000,0.09273,0.09462,0.08328,0.08756,214748811.9
47,1624233600000,0.08756,0.0884,0.06304,0.0633,166469244.4
48,1624320000000,0.06349,0.07127,0.05042,0.06045,126353155.3
49,1624406400000,0.06025,0.07042,0.05746,0.06618,97600238.1
50,1624492800000,0.06597,0.06976,0.06269,0.06671,54806952.1
51,1624579200000,0.06671,0.069,0.058,0.0588,58647601.9
52,1624665600000,0.05864,0.061,0.05426,0.05888,44419312.6
53,1624752000000,0.059,0.06129,0.05616,0.06089,45612494.4
54,1624838400000,0.06109,0.06762,0.0591,0.06469,67390592.7
55,1624924800000,0.06462,0.087,0.06426,0.07412,234293013.5
56,1625011200000,0.07399,0.0761,0.06514,0.07051,201769723.8
57,1625097600000,0.07051,0.07051,0.06214,0.06412,70304835.2
58,1625184000000,0.06401,0.074,0.05969,0.06811,170843133.3
59,1625270400000,0.06815,0.07086,0.066,0.06713,53119508.3
60,1625356800000,0.06709,0.06985,0.06581,0.06609,57023343.8
61,1625443200000,0.0661,0.0664,0.0614,0.06315,38429891.2
62,1625529600000,0.06307,0.07,0.0629,0.06895,85933076.2
63,1625616000000,0.06897,0.07105,0.06638,0.06678,68237769.6
64,1625702400000,0.0668,0.06745,0.06214,0.06388,32369430.4
65,1625788800000,0.06376,0.06577,0.0603,0.06393,27219442.7
66,1625875200000,0.06393,0.06538,0.0611,0.06203,22344788.3
67,1625961600000,0.06204,0.06549,0.06188,0.0639,20936087.5
68,1626048000000,0.06381,0.0685,0.06279,0.06551,47332552.1
69,1626134400000,0.06546,0.06573,0.06019,0.06145,41208159.6
70,1626220800000,0.06158,0.06239,0.05675,0.06106,25449881.4
71,1626307200000,0.06109,0.06229,0.05788,0.06096,35181109.1
72,1626393600000,0.06097,0.06701,0.05708,0.0574,89697082.5
73,1626480000000,0.05735,0.05823,0.05508,0.05591,19153621.6
74,1626566400000,0.05596,0.05875,0.05565,0.0561,18120373.7
75,1626652800000,0.0561,0.05635,0.05055,0.05071,16159591.2
76,1626739200000,0.05071,0.05144,0.04526,0.048,20337602.0
77,1626825600000,0.0479,0.0565,0.04688,0.05491,41189556.6
78,1626912000000,0.05481,0.05635,0.05356,0.05423,17970116.1
79,1626998400000,0.05432,0.05896,0.05341,0.05753,42890941.1
80,1627084800000,0.05755,0.0602,0.05628,0.05833,30342258.7
81,1627171200000,0.0584,0.06,0.05488,0.05812,28586306.1
82,1627257600000,0.05811,0.0646,0.05749,0.05753,72985349.3
83,1627344000000,0.05753,0.06098,0.05521,0.0601,41951434.0
84,1627430400000,0.06004,0.06339,0.05846,0.06097,44017306.1
85,1627516800000,0.06112,0.06388,0.0595,0.06258,25215370.2
86,1627603200000,0.06273,0.066,0.06121,0.06494,34658376.1
87,1627689600000,0.06498,0.06564,0.06317,0.06404,13760595.6
88,1627776000000,0.06419,0.0667,0.06241,0.06245,17181509.3
89,1627862400000,0.06255,0.06516,0.06153,0.06358,10813964.9
90,1627948800000,0.06368,0.06588,0.0621,0.06322,27332641.6
91,1628035200000,0.06336,0.06498,0.06063,0.06433,25323150.9
92,1628121600000,0.06428,0.0785,0.06235,0.07179,188549270.0
93,1628208000000,0.07176,0.08384,0.07099,0.07838,136021708.3
94,1628294400000,0.07838,0.088,0.07552,0.07952,91328947.6
95,1628380800000,0.07958,0.0808,0.07137,0.07347,52760835.8
96,1628467200000,0.0733,0.088,0.07177,0.08316,130909469.0
97,1628553600000,0.08316,0.089,0.07861,0.08337,90925237.1
98,1628640000000,0.08344,0.09599,0.08332,0.08798,123086034.9
99,1628726400000,0.08786,0.09413,0.0835,0.08409,47750607.2
