,time,Open,High,Low,Close,Volume
0,1620172800000,8.488,9.173,8.459,9.034,637724.903
1,1620259200000,9.034,9.04,8.099,8.12,537674.816
2,1620345600000,8.122,8.187,7.801,8.03,445892.915
3,1620432000000,8.017,8.369,7.994,8.305,248555.257
4,1620518400000,8.312,8.527,7.937,8.067,231504.382
5,1620604800000,8.066,8.24,7.547,7.76,269467.387
6,1620691200000,7.759,7.888,7.257,7.671,495464.248
7,1620777600000,7.683,8.19,7.51,7.534,452857.857
8,1620864000000,7.51,8.19,7.147,7.898,642932.293
9,1620950400000,7.893,11.575,7.87,10.927,2803442.325
10,1621036800000,10.928,12.678,9.407,9.704,1773449.407
11,1621123200000,9.691,10.35,8.953,9.265,659135.211
12,1621209600000,9.25,10.2,8.316,9.394,1168362.35
13,1621296000000,9.386,12.526,9.378,11.805,1937190.685
14,1621382400000,11.82,12.359,7.5,10.859,2182417.806
15,1621468800000,10.837,14.76,9.657,13.34,3522582.783
16,1621555200000,13.34,14.0,9.5,10.313,1428593.676
17,1621641600000,10.301,10.7,8.751,10.241,1118961.746
18,1621728000000,10.246,11.061,6.8,7.83,1480544.305
19,1621814400000,7.83,10.522,7.826,10.491,921474.05
20,1621900800000,10.491,10.816,8.85,10.451,781863.536
21,1621987200000,10.451,11.432,9.647,10.286,793158.461
22,1622073600000,10.286,10.299,8.963,8.977,637822.905
23,1622160000000,8.997,9.025,7.436,7.88,729245.34
24,1622246400000,7.884,8.149,7.108,7.257,463795.465
25,1622332800000,7.251,8.439,6.882,7.679,462953.067
26,1622419200000,7.675,8.7,7.358,8.55,518815.382
27,1622505600000,8.559,8.912,7.855,8.9,443461.085
28,1622592000000,8.9,11.49,8.892,10.616,1280931.0
29,1622678400000,10.605,10.914,9.9,10.4,867043.424
30,1622764800000,10.396,10.413,9.468,9.973,345700.601
31,1622851200000,9.973,11.3,9.629,9.85,549808.893
32,1622937600000,9.852,10.361,9.706,9.841,316196.239
33,1623024000000,9.842,10.161,8.898,8.9,340986.618
34,1623110400000,8.9,8.969,7.722,8.49,1070943.127
35,1623196800000,8.501,9.076,8.219,9.0,471540.142
36,1623283200000,8.999,9.052,8.165,8.304,423508.585
37,1623369600000,8.304,8.324,7.336,7.521,651915.544
38,1623456000000,7.521,7.907,7.2,7.641,417460.977
39,1623542400000,7.652,8.725,7.463,8.548,353136.738
40,1623628800000,8.55,9.641,8.312,9.461,583651.203
41,1623715200000,9.461,9.89,8.4,8.411,572091.249
42,1623801600000,8.411,8.471,7.402,7.436,945106.92
43,1623888000000,7.436,7.74,7.248,7.542,1137526.424
44,1623974400000,7.542,7.578,6.624,7.003,830514.786
45,1624060800000,7.019,7.06,6.102,6.108,800084.768
46,1624147200000,6.102,6.366,5.6,6.028,979815.373
47,1624233600000,6.028,6.078,4.44,4.442,1123908.175
48,1624320000000,4.442,5.879,3.618,4.861,2745308.958
49,1624406400000,4.864,5.8,4.821,5.25,1247186.936
50,1624492800000,5.251,5.57,4.554,5.334,1452590.639
51,1624579200000,5.346,5.74,4.284,4.503,2197210.834
52,1624665600000,4.498,4.607,3.942,4.122,1907678.826
53,1624752000000,4.119,4.739,3.784,4.385,3416764.392
54,1624838400000,4.39,5.845,4.241,5.518,4858529.03
55,1624924800000,5.518,6.5,5.27,5.882,3130392.58
56,1625011200000,5.87,9.05,5.591,8.253,8534743.732
57,1625097600000,8.266,8.78,7.162,7.433,2698559.026
58,1625184000000,7.43,7.77,7.14,7.691,823909.094
59,1625270400000,7.687,8.2,7.607,7.985,1035837.747
60,1625356800000,7.974,8.8,7.896,8.59,885545.593
61,1625443200000,8.591,9.74,8.071,9.276,1919521.074
62,1625529600000,9.281,11.9,9.271,11.05,2279477.638
63,1625616000000,11.043,11.45,9.919,10.584,1218746.658
64,1625702400000,10.592,10.6,8.604,9.15,2376140.291
65,1625788800000,9.151,9.423,8.726,8.87,2175050.044
66,1625875200000,8.878,9.139,8.3,8.334,674505.804
67,1625961600000,8.334,9.027,8.159,8.864,695153.376
68,1626048000000,8.876,9.5,8.094,8.318,753983.627
69,1626134400000,8.306,8.543,7.443,7.594,871003.096
70,1626220800000,7.594,8.394,7.12,8.091,791244.207
71,1626307200000,8.082,8.124,7.315,7.991,1146504.813
72,1626393600000,8.001,8.656,7.441,7.452,636503.934
73,1626480000000,7.45,8.428,7.217,8.17,474068.529
74,1626566400000,8.168,8.571,7.66,7.68,440822.114
75,1626652800000,7.693,7.887,6.442,6.636,865991.557
76,1626739200000,6.635,6.94,6.1,6.829,812559.565
77,1626825600000,6.844,8.096,6.739,7.583,923966.419
78,1626912000000,7.582,8.12,7.277,7.901,717585.749
79,1626998400000,7.901,9.25,7.869,9.237,908038.489
80,1627084800000,9.24,9.758,9.046,9.256,584590.63
81,1627171200000,9.251,9.304,8.643,9.162,378890.35
82,1627257600000,9.155,11.276,9.114,9.983,1147341.882
83,1627344000000,9.983,10.438,8.9,9.947,1363286.542
84,1627430400000,9.957,11.5,9.594,10.709,1284709.846
85,1627516800000,10.726,14.373,10.517,13.733,2608738.698
86,1627603200000,13.733,16.2,13.097,14.7,2743494.281
87,1627689600000,14.701,15.588,14.084,14.763,902166.699
88,1627776000000,14.763,15.9,13.764,13.937,836436.715
89,1627862400000,13.926,14.652,13.7,14.285,548454.507
90,1627948800000,14.28,17.4,14.041,15.923,1576826.946
91,1628035200000,15.925,17.9,15.556,16.977,1317730.269
92,1628121600000,16.976,17.076,15.25,15.949,882449.157
93,1628208000000,15.925,16.204,14.886,15.658,857223.953
94,1628294400000,15.658,16.895,15.481,15.98,584671.881
95,1628380800000,16.003,16.672,14.055,14.482,770307.602
96,1628467200000,14.482,16.496,13.54,15.906,1023765.457
97,1628553600000,15.906,16.076,15.2,15.602,573805.605
98,1628640000000,15.602,17.1,15.45,15.629,967406.643
99,1628726400000,15.626,16.49,14.58,14.68,488822.121
