,time,Open,High,Low,Close,Volume
0,1624579200000,0.6199,0.74,0.6199,0.646,3720369.0
1,1624665600000,0.6441,0.6661,0.614,0.6478,1699474.0
2,1624752000000,0.647,0.6633,0.635,0.6633,5064115.0
3,1624838400000,0.6639,0.6929,0.6471,0.6823,3191609.0
4,1624924800000,0.6835,0.7776,0.6805,0.7547,2677467.0
5,1625011200000,0.757,0.9022,0.7511,0.8942,9954113.0
6,1625097600000,0.8935,0.899,0.806,0.8755,6884109.0
7,1625184000000,0.8743,0.8868,0.7925,0.8667,5915084.0
8,1625270400000,0.8653,0.8864,0.8482,0.8691,5527351.0
9,1625356800000,0.8675,0.8798,0.84,0.8463,4869737.0
10,1625443200000,0.8444,0.8464,0.8,0.8161,5367437.0
11,1625529600000,0.8163,0.84,0.7883,0.8073,2783866.0
12,1625616000000,0.8079,0.8162,0.7813,0.7845,3607000.0
13,1625702400000,0.7861,0.8547,0.7281,0.7641,4674703.0
14,1625788800000,0.7641,0.8011,0.7355,0.7904,1732555.0
15,1625875200000,0.7902,0.8036,0.7501,0.7663,2190753.0
16,1625961600000,0.7648,0.8,0.7513,0.7809,2822960.0
17,1626048000000,0.7814,0.85,0.776,0.8263,3149088.0
18,1626134400000,0.8265,0.975,0.8023,0.9233,15107459.0
19,1626220800000,0.9248,0.9295,0.83,0.8525,9225569.0
20,1626307200000,0.8525,0.8538,0.7569,0.7677,4713934.0
21,1626393600000,0.7715,0.7928,0.7424,0.7482,4453218.0
22,1626480000000,0.7482,0.7579,0.7304,0.745,1851994.0
23,1626566400000,0.7449,0.7762,0.7421,0.75,2720162.0
24,1626652800000,0.7481,0.7556,0.7,0.7012,1973058.0
25,1626739200000,0.7013,0.7064,0.6189,0.6252,3533599.0
26,1626825600000,0.6238,0.7189,0.6139,0.683,3262319.0
27,1626912000000,0.6823,0.6999,0.64,0.6419,2834690.0
28,1626998400000,0.6414,0.6775,0.6342,0.67,4319599.0
29,1627084800000,0.6704,0.69,0.6569,0.674,2738430.0
30,1627171200000,0.6736,0.6799,0.65,0.6695,1955167.0
31,1627257600000,0.6695,0.73,0.6657,0.6846,3719178.0
32,1627344000000,0.684,0.787,0.6794,0.7571,7415512.0
33,1627430400000,0.7531,0.758,0.7,0.7429,1805742.0
34,1627516800000,0.7395,0.76,0.719,0.7457,1913726.0
35,1627603200000,0.7458,0.76,0.7183,0.7557,1828805.0
36,1627689600000,0.7548,0.78,0.7408,0.7602,2531187.0
37,1627776000000,0.7644,0.826,0.7538,0.7697,3041920.0
38,1627862400000,0.7701,0.82,0.7571,0.7886,3044003.0
39,1627948800000,0.7883,0.8084,0.75,0.7793,2147551.0
40,1628035200000,0.7783,0.7834,0.7584,0.7621,1810468.0
41,1628121600000,0.764,0.7778,0.7396,0.7603,2642096.0
42,1628208000000,0.7625,0.7902,0.7546,0.778,2637899.0
43,1628294400000,0.7772,0.8259,0.77,0.7922,3712290.0
44,1628380800000,0.793,0.8019,0.7696,0.7749,2193893.0
45,1628467200000,0.775,0.8431,0.7669,0.8244,4148839.0
46,1628553600000,0.8225,0.8675,0.812,0.8328,3460606.0
47,1628640000000,0.8318,0.8674,0.8315,0.8567,4005444.0
48,1628726400000,0.8558,0.865,0.8159,0.8287,2059713.0
